"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fosb",4.52099970339968e-48,3.01848695157193,0.531,0.159,8.61657333470945e-44,"MOL_1","Fosb"
"Fos",2.27843929696933e-43,2.43683036685143,0.679,0.304,4.34247745609386e-39,"MOL_1","Fos"
"Egr1",4.96475106979791e-42,2.46886735459074,0.658,0.272,9.46231906392784e-38,"MOL_1","Egr1"
"Mag",1.10408191991897e-40,0.646529405375323,0.997,0.997,2.10426973117356e-36,"MOL_1","Mag"
"Nfasc",7.10762530824954e-39,0.847020002032253,0.974,0.941,1.35464230749928e-34,"MOL_1","Nfasc"
"Enpp2",1.00160664963616e-34,0.447045565129023,0.997,0.998,1.90896211354155e-30,"MOL_1","Enpp2"
"Cntn2",1.98134569575291e-33,0.760135244777671,0.981,0.964,3.77624676153546e-29,"MOL_1","Cntn2"
"Serinc5",3.38418911637849e-28,0.7928035795242,0.911,0.832,6.44992603690576e-24,"MOL_1","Serinc5"
"Abca2",2.41889198700919e-25,0.583196862824643,0.974,0.972,4.61016623804082e-21,"MOL_1","Abca2"
"Dusp1",1.77586314288036e-24,2.09398529112953,0.544,0.301,3.38461756401568e-20,"MOL_1","Dusp1"
"Ncam1",5.6405392604277e-21,0.553199425432533,0.964,0.957,1.07503037764492e-16,"MOL_1","Ncam1"
"Ptprd",6.76264277931499e-21,0.571539713368772,0.981,0.98,1.28889208730964e-16,"MOL_1","Ptprd"
"Edil3",8.15101019329613e-20,0.470464462868242,0.976,0.974,1.55350103274031e-15,"MOL_1","Edil3"
"Plxnb3",2.15806844168569e-19,0.873528550062218,0.881,0.795,4.11306264300875e-15,"MOL_1","Plxnb3"
"Slc38a2",2.68935946890397e-19,0.843354294792579,0.914,0.851,5.12565021178408e-15,"MOL_1","Slc38a2"
"Slc12a2",6.01111557736006e-19,0.359958943686544,0.975,0.977,1.14565851788905e-14,"MOL_1","Slc12a2"
"Mcam",9.86428490797698e-19,0.827491930561383,0.849,0.74,1.88003406061133e-14,"MOL_1","Mcam"
"App",3.32674375728226e-18,0.367107556401741,0.997,0.998,6.34044092700426e-14,"MOL_1","App"
"Nr4a1",3.9998634195234e-18,2.17196834615734,0.457,0.225,7.62333969126964e-14,"MOL_1","Nr4a1"
"Junb",4.03874422604384e-17,1.93013215136415,0.314,0.107,7.69744262041695e-13,"MOL_1","Junb"
"Npc1",1.02727169628432e-16,0.497698779257946,0.921,0.903,1.95787712594828e-12,"MOL_1","Npc1"
"Myrf",2.9469172012314e-16,0.414672949573001,0.955,0.947,5.61652949382692e-12,"MOL_1","Myrf"
"Sox2",5.37809971541074e-16,1.54731152922195,0.547,0.346,1.02501202476013e-11,"MOL_1","Sox2"
"Btg2",9.97695200032644e-16,2.04081182883354,0.379,0.163,1.90150728174222e-11,"MOL_1","Btg2"
"Sort1",1.13181334446448e-15,0.439880949313937,0.945,0.944,2.15712305321486e-11,"MOL_1","Sort1"
"Gjc3",2.11917359778347e-15,0.475585061580452,0.955,0.937,4.03893296001552e-11,"MOL_1","Gjc3"
"Syt11",1.69535697118859e-14,0.302980304652372,0.981,0.991,3.23118085138833e-10,"MOL_1","Syt11"
"Aplp1",1.90401944544575e-14,0.252901451424107,0.997,0.999,3.62887066107506e-10,"MOL_1","Aplp1"
"Jun",2.66739676642763e-14,1.38400290654192,0.773,0.715,5.08379149713442e-10,"MOL_1","Jun"
"Phldb1",5.03361225566093e-14,0.436556490074356,0.985,0.985,9.59356159806416e-10,"MOL_1","Phldb1"
"Gpr37",1.04962043877943e-13,0.359775495056062,0.964,0.972,2.00047159426972e-09,"MOL_1","Gpr37"
"Sez6l2",3.01585512150181e-13,0.41649994012054,0.979,0.978,5.74791827607031e-09,"MOL_1","Sez6l2"
"Ddx17",5.87269992337189e-13,0.705669546268614,0.858,0.781,1.11927787839545e-08,"MOL_1","Ddx17"
"Rrs1",5.90739751747308e-13,0.727247613309875,0.93,0.908,1.12589089285519e-08,"MOL_1","Rrs1"
"Lgi3",7.62652826494695e-13,0.373913037564102,0.958,0.954,1.45354002201624e-08,"MOL_1","Lgi3"
"Psap",1.30477841078168e-12,0.500109680216017,0.877,0.855,2.48677717310881e-08,"MOL_1","Psap"
"Clasrp",1.337807246569e-12,0.983505261499087,0.629,0.496,2.54972683123586e-08,"MOL_1","Clasrp"
"Slc24a2",1.66187960616128e-12,0.526304716646564,0.929,0.9,3.16737634138278e-08,"MOL_1","Slc24a2"
"Ano4",2.56418213225923e-12,0.705057532975264,0.822,0.726,4.88707472587287e-08,"MOL_1","Ano4"
"Tyro3",1.08841936920241e-11,0.463938291678787,0.909,0.888,2.07441847576288e-07,"MOL_1","Tyro3"
"Dock9",1.84050931003141e-11,0.854717989266797,0.776,0.679,3.50782669398887e-07,"MOL_1","Dock9"
"Arhgap23",3.07947521858345e-11,0.629952408864312,0.811,0.745,5.8691718190982e-07,"MOL_1","Arhgap23"
"Dnajb1",3.36238756241188e-11,2.26377140100735,0.522,0.35,6.4083744552008e-07,"MOL_1","Dnajb1"
"Kndc1",3.59814304062055e-11,0.501419360349217,0.872,0.843,6.8577008211187e-07,"MOL_1","Kndc1"
"Atp1a1",3.69555896365898e-11,0.606892401648565,0.871,0.829,7.04336582883765e-07,"MOL_1","Atp1a1"
"Abca8a",4.81590478014849e-11,0.749069036029432,0.61,0.517,9.17863292048501e-07,"MOL_1","Abca8a"
"Pnisr",5.39867536848083e-11,0.791757929038375,0.625,0.526,1.02893353847876e-06,"MOL_1","Pnisr"
"Appl2",6.04012462387342e-11,0.727172930716735,0.822,0.746,1.15118735206404e-06,"MOL_1","Appl2"
"Ttyh2",2.67716621033237e-10,0.354073796740725,0.97,0.973,5.10241108027247e-06,"MOL_1","Ttyh2"
"Slc22a17",2.68195239095744e-10,0.455207186817528,0.729,0.701,5.11153306192578e-06,"MOL_1","Slc22a17"
"Leng8",3.32823051797709e-10,0.81893066042204,0.763,0.672,6.34327454421254e-06,"MOL_1","Leng8"
"Luc7l2",4.59573096867033e-10,0.740508537246609,0.68,0.6,8.75900365318879e-06,"MOL_1","Luc7l2"
"Trf",8.89717559000857e-10,0.295415461381856,0.998,0.998,1.69571269569973e-05,"MOL_1","Trf"
"Slc15a4",4.45531568212702e-09,0.656979712149749,0.557,0.487,8.49138615856589e-05,"MOL_1","Slc15a4"
"Sec14l5",5.73050401522271e-09,0.911566623529201,0.751,0.662,0.00010921767602613,"MOL_1","Sec14l5"
"Pcdh9",5.9378883442592e-09,0.40018704951109,0.952,0.946,0.000113170213953236,"MOL_1","Pcdh9"
"Ccnl1",7.04037835614596e-09,0.751210928604408,0.398,0.326,0.000134182571089786,"MOL_1","Ccnl1"
"Kcna6",9.89631952567348e-09,0.51070626123478,0.914,0.9,0.000188613953839811,"MOL_1","Kcna6"
