"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2ry12",1.26917908514164e-70,0.933802513148853,0.989,0.97,2.41892841837145e-66,"Microglia_1","P2ry12"
"P2ry13",2.23872430661164e-51,0.897308413037738,0.965,0.896,4.26678465597113e-47,"Microglia_1","P2ry13"
"Elmo1",4.75543913183722e-49,0.895699731200228,0.967,0.884,9.06339144136855e-45,"Microglia_1","Elmo1"
"Ccr5",1.77524101519203e-43,0.997573736653727,0.938,0.793,3.38343185085448e-39,"Microglia_1","Ccr5"
"Adap2",8.14447016395283e-31,0.673382049255549,0.94,0.853,1.55225456854777e-26,"Microglia_1","Adap2"
"Slc2a5",1.47542502233106e-28,0.937864299318644,0.857,0.66,2.81201255006077e-24,"Microglia_1","Slc2a5"
"Otulinl",3.91724738084776e-28,0.796172916742894,0.904,0.789,7.46588178315774e-24,"Microglia_1","Otulinl"
"Adrb2",1.36239125392987e-27,0.949937961934841,0.866,0.725,2.59658149086495e-23,"Microglia_1","Adrb2"
"Gpr165",8.61483002316686e-27,1.71030116617985,0.481,0.171,1.64190045411537e-22,"Microglia_1","Gpr165"
"Phyhd1",1.55947472799831e-26,0.731930859111956,0.871,0.753,2.97220288409198e-22,"Microglia_1","Phyhd1"
"Dusp7",1.23071950393432e-25,0.946545685195642,0.78,0.59,2.34562830254842e-21,"Microglia_1","Dusp7"
"Slco2b1",3.07587911453907e-25,0.539342894045276,0.977,0.938,5.86231800440001e-21,"Microglia_1","Slco2b1"
"Ubc",8.32291840894732e-25,0.593391501937277,0.958,0.941,1.58626501956127e-20,"Microglia_1","Ubc"
"Tmem173",2.8072471213041e-24,0.78855978315503,0.744,0.595,5.35033228849349e-20,"Microglia_1","Tmem173"
"Tjp1",4.90206370850126e-24,0.934425680520462,0.725,0.55,9.34284322203255e-20,"Microglia_1","Tjp1"
"Numb",7.19479818477055e-23,0.730044247196722,0.857,0.734,1.37125658603542e-18,"Microglia_1","Numb"
"Fchsd2",1.65286402734059e-22,0.812967330409692,0.793,0.652,3.15019354970843e-18,"Microglia_1","Fchsd2"
"Mef2a",3.04077918602092e-22,0.634461795304981,0.89,0.812,5.79542105063727e-18,"Microglia_1","Mef2a"
"Ifngr1",4.83533185210259e-22,0.612747500781317,0.93,0.87,9.21565897692233e-18,"Microglia_1","Ifngr1"
"Sall1",5.77138065766523e-20,0.601712564283843,0.957,0.89,1.09996743954442e-15,"Microglia_1","Sall1"
