"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"6668","Cnp","Astro-TE",-0.819840209147608,7.0349110702119,211.802708567183,1.57375441306879e-08,0.000161451465236727,0.000161451465236727,"genotype_num"
"5851","Abhd17a","Astro-TE",-0.465279053060327,5.722886128923,51.5361237013735,1.80486773122224e-05,0.092580690273045,0.092580690273045,"genotype_num"
"8262","Shisal1","Astro-TE",-0.519469189042907,5.30928893018392,38.8053134151244,6.45619434891106e-05,0.220780326084929,0.220780326084929,"genotype_num"
"2375","Rsrp1","Astro-TE",-0.316094838083491,8.8996902569329,30.3435398011492,0.000184151280384618,0.263942277718925,0.263942277718925,"genotype_num"
"2389","Id3","Astro-TE",-0.289100235186698,9.07535962019256,28.6867283540073,0.000232017865041145,0.263942277718925,0.263942277718925,"genotype_num"
"4090","Abhd2","Astro-TE",-0.562246941806383,5.57643827209319,30.8039396739034,0.000172994831194787,0.263942277718925,0.263942277718925,"genotype_num"
"4972","Abcb10","Astro-TE",-0.79653219842044,4.16945867580599,27.9684724300349,0.000257278757889585,0.263942277718925,0.263942277718925,"genotype_num"
"5421","Ephb1","Astro-TE",-0.342951592359572,5.76839674786428,27.9714222230978,0.000257155841780606,0.263942277718925,0.263942277718925,"genotype_num"
"7156","Cipc","Astro-TE",-0.316429809995542,6.38211914474186,29.1072874812377,0.000218597574358555,0.263942277718925,0.263942277718925,"genotype_num"
"8199","Csnk1e","Astro-TE",-0.338313951949623,5.97137292870693,31.4498690026919,0.000158657353516688,0.263942277718925,0.263942277718925,"genotype_num"
"963","Cd44","Astro-TE",-0.617306292922573,4.03572749603896,25.4829121652507,0.000373722007538664,0.294924159641474,0.294924159641474,"genotype_num"
"5384","Zic4","Astro-TE",-1.52957899621154,1.88706377849819,25.8079805889189,0.000357282928435679,0.294924159641474,0.294924159641474,"genotype_num"
"7391","Cap2","Astro-TE",0.302907036143003,7.06016062909134,26.1592952572233,0.000336735668016882,0.294924159641474,0.294924159641474,"genotype_num"
"5446","Abhd14b","Astro-TE",-0.279647608454574,6.54724834412402,24.3576955527172,0.000446426914436521,0.318723212291945,0.318723212291945,"genotype_num"
"6262","P4ha2","Astro-TE",0.493320085589594,5.06735648718476,23.8641793710656,0.000483553231157572,0.318723212291945,0.318723212291945,"genotype_num"
"7630","Emb","Astro-TE",-3.78454394703943,1.19953135562413,23.5058814091065,0.000497082697794241,0.318723212291945,0.318723212291945,"genotype_num"
"620","Arhgap21","Astro-TE",0.246181309840056,7.0958170947761,22.3940760601585,0.000617844182407248,0.33360334038505,0.33360334038505,"genotype_num"
"3217","Cav1","Astro-TE",-0.475043383611822,4.88070538600668,22.7815938953117,0.000578578516335331,0.33360334038505,0.33360334038505,"genotype_num"
"8129","Lynx1","Astro-TE",-0.336264465497273,5.43760407671818,22.6198723710415,0.000594590070720901,0.33360334038505,0.33360334038505,"genotype_num"
"186","Rnf25","Astro-TE",0.376656791605084,5.52261332815565,21.4639383700465,0.000725772244674559,0.338440793550741,0.338440793550741,"genotype_num"
"8308","Abcd2","Astro-TE",-0.289424035242312,7.54953733227015,21.7990553561969,0.000684488609966811,0.338440793550741,0.338440793550741,"genotype_num"
"8648","Abhd10","Astro-TE",-0.413292562494186,5.38158633880905,21.6557549659875,0.000701796036525767,0.338440793550741,0.338440793550741,"genotype_num"
"3009","Ubc","Astro-TE",-0.323668296779516,8.65240952944788,21.0287191880607,0.000783858797773247,0.349635104624163,0.349635104624163,"genotype_num"
"4836","Ciao2b","Astro-TE",-0.586177558358081,3.65934933819717,20.1982764424994,0.00091081055126368,0.373760217816564,0.373760217816564,"genotype_num"
"8306","Cpne8","Astro-TE",-0.754009948838288,3.09538717815611,20.4082204207933,0.000876652617220867,0.373760217816564,0.373760217816564,"genotype_num"
"4272","Syt17","Astro-TE",-0.461836472267418,4.4433936474811,19.9269453787778,0.000957410761797545,0.377772192510808,0.377772192510808,"genotype_num"
"152","Adam23","Astro-TE",-0.254721019981167,7.35575980810527,18.6175358117976,0.00122645401686049,0.388626574565199,0.388626574565199,"genotype_num"
