"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"5002","Dusp1","CHOR",-13.3463861149582,8.00923530372021,102.492182518025,2.13580148580244e-06,0.0123684264042819,0.0123684264042819,"genotype_num"
"5357","Mbp","CHOR",9.66894686911227,4.30058920656043,80.7112154128717,6.01912734714178e-06,0.017428383233649,0.017428383233649,"genotype_num"
"4047","Fos","CHOR",-10.8849334049528,7.58328196370941,51.3839193726914,3.98633131138253e-05,0.0769494820807207,0.0769494820807207,"genotype_num"
"70","Clk1","CHOR",-3.29850970437518,4.92116448576448,23.207877367753,0.000767836326471091,0.945192458664859,0.945192458664859,"genotype_num"
"2553","Tenm3","CHOR",-3.4775598533944,4.14562134733783,20.3186290958935,0.000979304913139208,0.945192458664859,0.945192458664859,"genotype_num"
"3717","Wfikkn2","CHOR",-2.71873573170213,7.06678871822767,21.3059710021788,0.00082305687339147,0.945192458664859,0.945192458664859,"genotype_num"
"1","Lypla1","CHOR",0.39660622921812,7.18087987591088,0.733413291395049,0.410942728777612,1,1,"genotype_num"
"2","Tcea1","CHOR",-0.113705065292754,7.52552498991989,0.0615988610693218,0.808779400354683,1,1,"genotype_num"
"3","Atp6v1h","CHOR",-0.0850729555908529,7.66463390219583,0.036192351836408,0.852752150356257,1,1,"genotype_num"
"4","Rb1cc1","CHOR",0.0570078093032115,5.79496387577049,0.00889432911881689,0.926621834197847,1,1,"genotype_num"
"5","Pcmtd1","CHOR",0.0934735834228747,6.75056256466931,0.0360871231034447,0.852966066818178,1,1,"genotype_num"
"6","Rrs1","CHOR",1.7776832508989,4.05650137269827,2.29803706555564,0.157562499990962,1,1,"genotype_num"
"7","Vcpip1","CHOR",-0.968287938549464,5.18223048933155,3.98537430170262,0.072210600933696,1,1,"genotype_num"
"8","Sgk3","CHOR",0.338416821994259,7.85986973656484,0.580494819955011,0.462918658357725,1,1,"genotype_num"
"9","Cops5","CHOR",0.0183589445063072,7.2540869768391,0.00168666469062001,0.968013001944041,1,1,"genotype_num"
"10","Arfgef1","CHOR",0.138878760932293,6.7664145037385,0.0891757695444043,0.77106868914912,1,1,"genotype_num"
"11","Sulf1","CHOR",-0.229159244276253,9.23122255947847,0.178649877370498,0.681065558438541,1,1,"genotype_num"
"12","Ncoa2","CHOR",0.571392838603204,6.15664201272128,1.43272222546834,0.257437608441289,1,1,"genotype_num"
"13","Tram1","CHOR",-0.573273059852891,7.95923962270037,1.32132168744546,0.275883125480802,1,1,"genotype_num"
"14","Lactb2","CHOR",0.453828731599676,6.58951092005224,0.946805796195983,0.352390761032527,1,1,"genotype_num"
"15","Rdh10","CHOR",-0.142009636945847,6.17624007243119,0.0477773789793113,0.83117584598225,1,1,"genotype_num"
"16","Stau2","CHOR",0.211188975666723,6.24973033086605,0.168685058901078,0.68951059219072,1,1,"genotype_num"
"17","Ube2w","CHOR",-0.200187373363004,6.34615409578986,0.140949245593057,0.714824714693868,1,1,"genotype_num"
"18","Eloc","CHOR",0.092307417493799,6.34875285301812,0.031160191701581,0.86324969095472,1,1,"genotype_num"
"19","Tmem70","CHOR",-0.314585221995449,6.55447540220239,0.383980701636259,0.548726137662974,1,1,"genotype_num"
"20","Jph1","CHOR",0.787251350984117,5.42757679295177,2.07857209573628,0.177821365252518,1,1,"genotype_num"
"21","Efhc1","CHOR",0.454244985330388,5.9565897906477,0.885474685572401,0.36750952212043,1,1,"genotype_num"
"22","Tmem14a","CHOR",0.788580630851174,4.82135935354947,1.63484969985091,0.225877334978559,1,1,"genotype_num"
"23","Smap1","CHOR",0.666931721704131,5.44370701112435,2.05310698988563,0.179709907828762,1,1,"genotype_num"
"24","Sdhaf4","CHOR",0.37371001825055,6.97176858706883,0.521105842069398,0.486174736989867,1,1,"genotype_num"
"25","Fam135a","CHOR",-0.754610274448576,5.12016033278319,1.99918043666369,0.185877058100018,1,1,"genotype_num"
"26","Lmbrd1","CHOR",-0.784384032050854,7.9183874703463,2.08060384174697,0.178362597456766,1,1,"genotype_num"
"27","Phf3","CHOR",-0.52760083344066,5.53800444627484,1.11209134674695,0.315238076259737,1,1,"genotype_num"
"28","Zfp451","CHOR",-0.316345890541886,5.04817261836303,0.449535759252057,0.516743706718366,1,1,"genotype_num"
"29","Imp4","CHOR",-0.0732237689155928,5.53560959515124,0.0232722656024038,0.881612900390352,1,1,"genotype_num"
"30","Fam168b","CHOR",0.0772714781416784,6.04581059011678,0.0242440775618697,0.879219051373783,1,1,"genotype_num"
"31","Plekhb2","CHOR",-0.0544938290286086,8.87735685965733,0.0156136600675616,0.902920761629276,1,1,"genotype_num"
"32","Hs6st1","CHOR",-0.512641747817215,5.65489214898099,0.864004010626099,0.373451077123445,1,1,"genotype_num"
"33","Uggt1","CHOR",-0.245249160190978,6.23764925265714,0.217251924818218,0.650687056194909,1,1,"genotype_num"
"34","Kansl3","CHOR",0.249478313084072,5.51453600757146,0.282274547818382,0.606022796052733,1,1,"genotype_num"
"35","Lman2l","CHOR",0.0570758367331,5.79056602571216,0.0130966272486476,0.911041413968613,1,1,"genotype_num"
"36","Cox5b","CHOR",0.247034441226532,9.14672655497764,0.301564029138216,0.594394777358022,1,1,"genotype_num"
"37","Actr1b","CHOR",-0.0604566333470238,7.14963338728575,0.0163932594877302,0.90054450635172,1,1,"genotype_num"
"38","Tmem131","CHOR",0.636727190971965,5.30706319357015,1.76556669664782,0.211076203960764,1,1,"genotype_num"
"39","Inpp4a","CHOR",-0.905600820361816,4.95195542462064,2.8772712241957,0.118600217540532,1,1,"genotype_num"
"40","Coa5","CHOR",0.624095878034391,6.76156368646516,1.8816914124468,0.198687868777524,1,1,"genotype_num"
