"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Atp6v1h","DG-PIR Ex IMN",0.0607767307487652,8.96094557333763,0.027584378597344,0.869970635452979,0.998163792725125,0.998163792725125,"genotype_num"
"2","Rb1cc1","DG-PIR Ex IMN",0.102602459495212,8.56523319563943,0.0453158468699914,0.833859771648763,0.998163792725125,0.998163792725125,"genotype_num"
"3","Arfgef1","DG-PIR Ex IMN",0.562673794547501,8.74215229151401,1.88974231232493,0.186397474669048,0.998163792725125,0.998163792725125,"genotype_num"
"4","Stau2","DG-PIR Ex IMN",-0.141088490289602,8.69488931773535,0.130550334685046,0.722142093318116,0.998163792725125,0.998163792725125,"genotype_num"
"5","Paqr8","DG-PIR Ex IMN",0.035383929286047,8.63750830480131,0.00584118462370971,0.939935573356831,0.998163792725125,0.998163792725125,"genotype_num"
"6","Lmbrd1","DG-PIR Ex IMN",0.348725605737751,8.33150258213928,0.379221456372914,0.545838235475095,0.998163792725125,0.998163792725125,"genotype_num"
"7","Zfp451","DG-PIR Ex IMN",0.266558334135502,8.98987279198628,0.590331851707578,0.452398516361054,0.998163792725125,0.998163792725125,"genotype_num"
"8","Dst","DG-PIR Ex IMN",0.318528643575003,9.7175464970879,1.22927428956024,0.282340825780029,0.998163792725125,0.998163792725125,"genotype_num"
"9","Fam168b","DG-PIR Ex IMN",0.313586160577011,9.75010655249538,1.19579055948967,0.288778431400186,0.998163792725125,0.998163792725125,"genotype_num"
"10","Sema4c","DG-PIR Ex IMN",0.344755227183871,8.65385950545584,0.666985865542525,0.424964576339202,0.998163792725125,0.998163792725125,"genotype_num"
"11","Tmem131","DG-PIR Ex IMN",-0.350601599254525,8.66906764081865,0.85222005707527,0.368351035205398,0.998163792725125,0.998163792725125,"genotype_num"
"12","Inpp4a","DG-PIR Ex IMN",-0.236910169924703,8.26805698377375,0.179214093461055,0.677152075658286,0.998163792725125,0.998163792725125,"genotype_num"
"13","Aff3","DG-PIR Ex IMN",0.421574731995916,8.50903640279113,0.740108844838583,0.401100435730407,0.998163792725125,0.998163792725125,"genotype_num"
"14","Chst10","DG-PIR Ex IMN",-0.230918073818518,8.68065336600859,0.311947587541023,0.583490504487204,0.998163792725125,0.998163792725125,"genotype_num"
"15","Map4k4","DG-PIR Ex IMN",0.0172433884857916,9.88152571369522,0.00315588707472744,0.955827737627321,0.998163792725125,0.998163792725125,"genotype_num"
"16","Pou3f3","DG-PIR Ex IMN",-0.103757252392074,10.1618651085455,0.174265551572886,0.681350680132959,0.998163792725125,0.998163792725125,"genotype_num"
"18","Pgap1","DG-PIR Ex IMN",0.255813533037401,9.4283103089971,0.660940395187997,0.427000485141584,0.998163792725125,0.998163792725125,"genotype_num"
"19","Sf3b1","DG-PIR Ex IMN",-0.129552769229017,10.0044711064407,0.228304490078092,0.638612103437052,0.998163792725125,0.998163792725125,"genotype_num"
"20","Bzw1","DG-PIR Ex IMN",-0.0743005554714628,9.26441316382414,0.0526400342331,0.821156208870235,0.998163792725125,0.998163792725125,"genotype_num"
"21","Clk1","DG-PIR Ex IMN",-0.0258909964798045,9.8640949717701,0.00803209983086869,0.929590656056174,0.998163792725125,0.998163792725125,"genotype_num"
"22","Nop58","DG-PIR Ex IMN",-0.825390997678437,8.51877647706474,3.1024003003635,0.0953261906612719,0.998163792725125,0.998163792725125,"genotype_num"
"23","Bmpr2","DG-PIR Ex IMN",0.338205611323191,8.68065005252397,0.763555601001084,0.393927844699689,0.998163792725125,0.998163792725125,"genotype_num"
"24","Fam117b","DG-PIR Ex IMN",-0.148520992351618,8.73645566806218,0.128825081037704,0.723901871802509,0.998163792725125,0.998163792725125,"genotype_num"
"25","Abi2","DG-PIR Ex IMN",-0.626121882829707,9.03394079402411,2.93952229287083,0.103878865120284,0.998163792725125,0.998163792725125,"genotype_num"
"26","Nrp2","DG-PIR Ex IMN",-0.116939028017459,8.67665390337909,0.077688890648023,0.783682842865303,0.998163792725125,0.998163792725125,"genotype_num"
"27","Eef1b2","DG-PIR Ex IMN",-0.134693927059817,8.81919786942379,0.107056613742626,0.747359047802231,0.998163792725125,0.998163792725125,"genotype_num"
"28","Klf7","DG-PIR Ex IMN",0.209544059400277,8.56610236710041,0.193091969959343,0.665680857063857,0.998163792725125,0.998163792725125,"genotype_num"
"29","Creb1","DG-PIR Ex IMN",-0.25056565299154,8.76890848282184,0.414770197886156,0.527818354792359,0.998163792725125,0.998163792725125,"genotype_num"
"30","Map2","DG-PIR Ex IMN",-0.018416511529379,10.3521596223584,0.00603264637377692,0.938958588757344,0.998163792725125,0.998163792725125,"genotype_num"
"31","Kansl1l","DG-PIR Ex IMN",0.0886107283403315,8.36615049546682,0.0319608387245338,0.860147644017763,0.998163792725125,0.998163792725125,"genotype_num"
"32","Epha4","DG-PIR Ex IMN",0.313821654991534,10.2507586785738,1.58598612007417,0.224197634578103,0.998163792725125,0.998163792725125,"genotype_num"
"33","Cul3","DG-PIR Ex IMN",-0.154885665273843,9.0268540587719,0.188482145368857,0.669422569612866,0.998163792725125,0.998163792725125,"genotype_num"
"34","Irs1","DG-PIR Ex IMN",-0.20794394466102,8.84286446098329,0.257522889077152,0.618094094218997,0.998163792725125,0.998163792725125,"genotype_num"
"35","Mff","DG-PIR Ex IMN",0.224231484707526,8.95428568164325,0.363916535685233,0.553987405788744,0.998163792725125,0.998163792725125,"genotype_num"
"36","Agfg1","DG-PIR Ex IMN",0.211694574393234,9.01972956949575,0.316307300848972,0.580884919121494,0.998163792725125,0.998163792725125,"genotype_num"
"37","Trip12","DG-PIR Ex IMN",0.0597402924884294,9.65810294899496,0.0478896602269617,0.829273229012626,0.998163792725125,0.998163792725125,"genotype_num"
