"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1503","S100a10","Endo",0.52886717170101,5.98181455713168,49.9010203632524,5.74807825680213e-05,0.222830693008619,0.222830693008619,"genotype_num"
"3509","Pglyrp1","Endo",0.487541590626925,9.89713695604195,47.4181376976995,7.00505165069533e-05,0.222830693008619,0.222830693008619,"genotype_num"
"6111","Slfn3","Endo",0.458738180354575,6.84409032652002,50.9811465070442,5.28777052907445e-05,0.222830693008619,0.222830693008619,"genotype_num"
"2","Lypla1","Endo",0.195260055733373,6.51246608313308,8.96138644827285,0.0150310523491017,0.54299457324107,0.54299457324107,"genotype_num"
"49","Kansl3","Endo",0.267649693479864,5.8744700689902,10.9239318630691,0.00909266599079371,0.54299457324107,0.54299457324107,"genotype_num"
"51","Cnnm4","Endo",-0.507325852478684,3.67659549836464,6.66503591611501,0.029504327403688,0.54299457324107,0.54299457324107,"genotype_num"
"69","Pdcl3","Endo",0.249790881884643,7.03609860445161,16.907777203183,0.00260176787816599,0.54299457324107,0.54299457324107,"genotype_num"
"75","Il1r1","Endo",0.419471348894608,6.1206139375368,7.07431850872165,0.0259480851900701,0.54299457324107,0.54299457324107,"genotype_num"
"112","Hspe1","Endo",0.461035118795858,5.18695751640625,20.3655386236388,0.00144357112383103,0.54299457324107,0.54299457324107,"genotype_num"
"136","Fam117b","Endo",0.492869305502272,7.74899254848526,9.45032548807283,0.0131882041733999,0.54299457324107,0.54299457324107,"genotype_num"
"155","Idh1","Endo",-0.256865700586403,5.20064891997084,8.55574592806668,0.0168062557318247,0.54299457324107,0.54299457324107,"genotype_num"
"177","Rnf25","Endo",0.337901560186785,4.91413631535348,6.92638802331794,0.0271681357611883,0.54299457324107,0.54299457324107,"genotype_num"
"179","Cnppd1","Endo",0.177594821464341,6.43820681716285,6.62105223707983,0.0299174662524334,0.54299457324107,0.54299457324107,"genotype_num"
"184","Ankzf1","Endo",-0.436426146319,3.51765224108856,7.75733888029993,0.0211252242113445,0.54299457324107,0.54299457324107,"genotype_num"
"193","Sgpp2","Endo",-0.235574466355796,7.95730803940483,6.89085664355436,0.0274708557354271,0.54299457324107,0.54299457324107,"genotype_num"
"232","Ube2f","Endo",0.222476286401031,5.88481555722147,9.25997193385199,0.013870812021353,0.54299457324107,0.54299457324107,"genotype_num"
"238","Asb1","Endo",0.444755609955188,3.80516521488833,6.60944394221327,0.0300312602858779,0.54299457324107,0.54299457324107,"genotype_num"
"241","Cops9","Endo",0.218032621966368,7.27900025003261,6.45210676238954,0.031587624776415,0.54299457324107,0.54299457324107,"genotype_num"
"270","Bcl2","Endo",0.531823698216981,4.98533875754837,6.71225603146608,0.0290619383596471,0.54299457324107,0.54299457324107,"genotype_num"
"287","Actr3","Endo",0.30952845733379,6.73901270408494,18.4472184833139,0.0019822857240134,0.54299457324107,0.54299457324107,"genotype_num"
"288","Slc35f5","Endo",0.199121719851041,6.54726759560484,7.45806972465527,0.023086170818207,0.54299457324107,0.54299457324107,"genotype_num"
