"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"6475","Cnp","Microglia",-1.00884023618687,5.44339502132451,256.69371826012,1.96832893898619e-08,0.000195415697062549,0.000195415697062549,"genotype_num"
"497","Ifi204","Microglia",-0.76167632889449,3.85540558862282,47.0502253090928,4.51917101965996e-05,0.116198319769781,0.116198319769781,"genotype_num"
"2466","Abcb4","Microglia",-0.540428549384604,4.62439920807017,46.0196129430488,4.95622416416511e-05,0.116198319769781,0.116198319769781,"genotype_num"
"2500","Abcf2","Microglia",-0.43026095051494,5.22305795413816,44.2129883166257,5.85205075391726e-05,0.116198319769781,0.116198319769781,"genotype_num"
"6225","Xaf1","Microglia",-0.42433394192562,4.89486350114354,46.5176714975094,4.73879249423678e-05,0.116198319769781,0.116198319769781,"genotype_num"
"4267","Ifitm3","Microglia",-0.607276761648954,4.51047872508794,39.9965431194224,8.82660316599912e-05,0.125971278514043,0.125971278514043,"genotype_num"
"7635","Phf11b","Microglia",-0.506278326204232,4.84689005066326,39.9349458567288,8.88193946009571e-05,0.125971278514043,0.125971278514043,"genotype_num"
"3980","Abhd17c","Microglia",-0.290120479888337,7.06627156905157,37.3526762529171,0.000116343391377259,0.128339687732602,0.128339687732602,"genotype_num"
"4037","Pde2a","Microglia",0.417633787723578,6.15386082643838,37.9464266337613,0.000109197709354774,0.128339687732602,0.128339687732602,"genotype_num"
"9460","Ifit2","Microglia",-0.808911867545123,3.85038053402197,33.4229450032106,0.000180893440624045,0.179591007851552,0.179591007851552,"genotype_num"
"2804","Oasl2","Microglia",-1.05976951095144,3.4149958052833,30.7331471936978,0.000250748885935675,0.199110278732164,0.199110278732164,"genotype_num"
"5897","Dbnl","Microglia",-0.252521537825785,7.57810062812058,29.4054265532336,0.000297020063027977,0.199110278732164,0.199110278732164,"genotype_num"
"6925","Ylpm1","Microglia",0.289473100331878,5.98733382091498,31.1698440343947,0.000237423741820997,0.199110278732164,0.199110278732164,"genotype_num"
"8285","Rtp4","Microglia",-0.511500067798518,4.78666678761712,29.6308531593662,0.000288480287384749,0.199110278732164,0.199110278732164,"genotype_num"
"9411","Psat1","Microglia",0.262840599012377,5.65900561796785,29.3073748907643,0.000300831404208548,0.199110278732164,0.199110278732164,"genotype_num"
"8332","Parp14","Microglia",-0.215466587918785,6.62265211726814,28.5139364333648,0.00033393129258051,0.207204367046206,0.207204367046206,"genotype_num"
"1681","Mov10","Microglia",-0.363137805200146,4.3917657362219,27.5688244670795,0.000379270411802213,0.208202539005047,0.208202539005047,"genotype_num"
"2214","Hpca","Microglia",-0.773547066409834,2.50620473128981,27.6350472365447,0.000375934666936607,0.208202539005047,0.208202539005047,"genotype_num"
"2445","Isg15","Microglia",-0.534292833733644,5.22374373010847,27.2088393306065,0.000398453690682504,0.208202539005047,0.208202539005047,"genotype_num"
"7405","Plk2","Microglia",-0.5433350280826,3.40847688701961,26.6037723821326,0.000433433992728711,0.215156633990532,0.215156633990532,"genotype_num"
"1899","Ddx58","Microglia",-0.331334306169465,4.78199628192403,26.0704436209011,0.000467322588017161,0.220932316849256,0.220932316849256,"genotype_num"
"8289","P3h2","Microglia",0.22419464194138,6.53880666849823,25.6000974745987,0.000499901725722963,0.225592015135344,0.225592015135344,"genotype_num"
"1331","Zbp1","Microglia",-0.940643579104131,2.77726284778905,19.9797600744089,0.00121270297227958,0.281153650117109,0.281153650117109,"genotype_num"
"1528","Cct3","Microglia",0.21448268558651,6.22649988451737,19.8415686114978,0.0012419236542456,0.281153650117109,0.281153650117109,"genotype_num"
"2117","Prdx1","Microglia",0.204569045392118,6.76963713147043,19.9926119167018,0.00120986663018748,0.281153650117109,0.281153650117109,"genotype_num"
