"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"52","Degs1","Monocytes",-1.37248163930221,8.60934285002128,11.7754625812256,0.00579887196205553,0.447040311256645,0.447040311256645,"genotype_num"
"131","S100a8","Monocytes",-0.725538212797909,16.7865482770197,12.173356508923,0.00519968995729934,0.447040311256645,0.447040311256645,"genotype_num"
"132","S100a9","Monocytes",-0.699400108688009,16.916705102303,11.8222450592648,0.00568093719216887,0.447040311256645,0.447040311256645,"genotype_num"
"173","Slc2a1","Monocytes",1.50858060437379,8.74380872240516,11.7858183749818,0.00564694225854437,0.447040311256645,0.447040311256645,"genotype_num"
"220","Cxcl2","Monocytes",1.08506755064348,10.9478585071218,18.7992245857246,0.00123330391514207,0.447040311256645,0.447040311256645,"genotype_num"
"279","Clec4a2","Monocytes",-1.79563216629274,8.23628083367149,13.1637153018294,0.00413780811867214,0.447040311256645,0.447040311256645,"genotype_num"
"330","Emp3","Monocytes",-1.98274421557117,8.18685612174676,16.6632409422634,0.00149756862119222,0.447040311256645,0.447040311256645,"genotype_num"
"489","Ckap4","Monocytes",-1.58018159074036,8.8949646492154,13.3273165683882,0.00395904526154073,0.447040311256645,0.447040311256645,"genotype_num"
"498","Lyz2","Monocytes",-1.44099054364817,11.7351701204612,13.1182288088757,0.00412794508191114,0.447040311256645,0.447040311256645,"genotype_num"
"547","Wfdc21","Monocytes",-1.09620210276779,11.0377682420178,15.7091477286564,0.00229853262787091,0.447040311256645,0.447040311256645,"genotype_num"
"636","Plk2","Monocytes",-1.71605201978345,8.31907315190347,12.9937091137947,0.00399251887421392,0.447040311256645,0.447040311256645,"genotype_num"
"196","Padi4","Monocytes",-0.979366756003872,9.45555800880122,11.3306311097151,0.00646445686773201,0.456821618653062,0.456821618653062,"genotype_num"
"33","Ptgs2","Monocytes",0.979172615972878,11.1922826140067,10.2974753637565,0.00850373074770087,0.515083119575024,0.515083119575024,"genotype_num"
"488","Gadd45b","Monocytes",0.992550162053576,10.1343292269827,10.3837024686816,0.00831652708196547,0.515083119575024,0.515083119575024,"genotype_num"
"95","Cds2","Monocytes",-0.902289978132818,9.09111451530491,8.50710791003184,0.0143095500970485,0.556282448919008,0.556282448919008,"genotype_num"
"192","Rsrp1","Monocytes",-1.02904926913812,8.81653979564301,9.64512413743239,0.0102692164184765,0.556282448919008,0.556282448919008,"genotype_num"
"308","Cd177","Monocytes",-1.05483239176205,9.65095120558617,8.93761065921512,0.012417518754298,0.556282448919008,0.556282448919008,"genotype_num"
"346","Pde2a","Monocytes",-1.80943067498872,8.00568857035369,8.96688002601082,0.012015553022266,0.556282448919008,0.556282448919008,"genotype_num"
"372","Ifitm6","Monocytes",-1.30754997739385,11.3638795347502,8.75060664146762,0.0132539836082742,0.556282448919008,0.556282448919008,"genotype_num"
"640","Tkt","Monocytes",-0.884114958457772,9.50568711427598,8.5612694040182,0.0140501486417886,0.556282448919008,0.556282448919008,"genotype_num"
"803","Fth1","Monocytes",0.602031927507547,12.1800405460938,9.33199041114736,0.011163224256212,0.556282448919008,0.556282448919008,"genotype_num"
"808","Anxa1","Monocytes",-0.966207879954104,11.1331991790131,8.46842873825785,0.0144318559861063,0.556282448919008,0.556282448919008,"genotype_num"
"198","Tnfrsf1b","Monocytes",0.99938398281892,9.50178627691752,7.98712542032651,0.0168068956130875,0.607366726235254,0.607366726235254,"genotype_num"
"451","Ngp","Monocytes",-1.41767510837313,13.2707676375792,8.09432078123107,0.0171896243274129,0.607366726235254,0.607366726235254,"genotype_num"
"57","Fam107b","Monocytes",-1.02522193493521,9.09433120107242,7.58728283218842,0.0190668550869315,0.614279713045448,0.614279713045448,"genotype_num"
"290","Arhgdib","Monocytes",-0.698078710993731,11.4871037837865,7.50079358023852,0.0195584342597018,0.614279713045448,0.614279713045448,"genotype_num"
"366","Itgam","Monocytes",-0.64134369040991,10.8740595489008,7.55563813294186,0.0192160415545685,0.614279713045448,0.614279713045448,"genotype_num"
"289","Plbd1","Monocytes",-0.74458619278293,9.9487964512028,7.17036061299686,0.0218032922363358,0.660328279157597,0.660328279157597,"genotype_num"
"26","Rassf5","Monocytes",0.686776526613965,9.36547308361979,5.95629226399024,0.0332175174669587,0.721482006030501,0.721482006030501,"genotype_num"
"67","Sh2d3c","Monocytes",-0.877447149963032,8.92130557753282,5.86258430201466,0.0343957052459956,0.721482006030501,0.721482006030501,"genotype_num"
"97","Dstn","Monocytes",-0.909823471770996,8.82218874169006,5.81717930859382,0.0349906375515586,0.721482006030501,0.721482006030501,"genotype_num"
"232","Aldh2","Monocytes",-0.966462411792827,9.83865732620173,5.91272626877729,0.0336997172742413,0.721482006030501,0.721482006030501,"genotype_num"
"242","Pilra","Monocytes",-0.621670110612234,9.34611336582184,5.752909249604,0.0357337786005672,0.721482006030501,0.721482006030501,"genotype_num"
"260","Asprv1","Monocytes",0.889298730695829,9.16848058518261,5.76192081268953,0.0356702440265822,0.721482006030501,0.721482006030501,"genotype_num"
"309","Arhgef1","Monocytes",-0.88645493876626,8.46245191169048,6.1091404568055,0.0315446815989074,0.721482006030501,0.721482006030501,"genotype_num"
"442","Cyb5r4","Monocytes",-0.955243624764569,8.81855492819139,6.40883112721282,0.0283041768055407,0.721482006030501,0.721482006030501,"genotype_num"
"467","Marcks","Monocytes",0.680884196173707,10.0565578948911,6.2350023059021,0.0300317775834776,0.721482006030501,0.721482006030501,"genotype_num"
"577","Ubald2","Monocytes",-0.783335170953951,9.01146071432587,6.42327231658637,0.0281764865486387,0.721482006030501,0.721482006030501,"genotype_num"
"598","Rdh12","Monocytes",1.05346596733293,8.28064735426832,6.47579081310018,0.0273100426691456,0.721482006030501,0.721482006030501,"genotype_num"
