"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"6776","Cnp","OPC",-1.15946622624078,7.39523843261455,203.907560275632,3.17345266799126e-09,3.30578564424649e-05,3.30578564424649e-05,"genotype_num"
"1166","Pcna","OPC",0.535655184170665,6.83663121529954,24.7890030663824,0.000266162659498152,0.484521981112508,0.484521981112508,"genotype_num"
"4137","Abhd2","OPC",-0.469052847129789,9.58675229600625,24.2263704050155,0.000294028143576352,0.484521981112508,0.484521981112508,"genotype_num"
"4397","Fus","OPC",-0.396691046990559,8.03547863717063,27.613813801073,0.000165103773548289,0.484521981112508,0.484521981112508,"genotype_num"
"5024","Cdt1","OPC",1.13350260126342,4.2274563693878,24.0684338038155,0.000302702360824036,0.484521981112508,0.484521981112508,"genotype_num"
"5892","Agpat3","OPC",-0.366224740233653,7.67022930028805,27.5747330082957,0.000166158533246774,0.484521981112508,0.484521981112508,"genotype_num"
"6690","Trim25","OPC",-0.563340562213244,6.15294047173683,23.6595964050061,0.000325588352480326,0.484521981112508,0.484521981112508,"genotype_num"
"7388","Klf6","OPC",-0.39212415797509,7.44682745918111,22.8385224530222,0.00037852358388473,0.492885021665904,0.492885021665904,"genotype_num"
"6332","Gfpt2","OPC",0.558383962662879,6.05310920629315,21.4310250966085,0.000494362421173817,0.572197037929739,0.572197037929739,"genotype_num"
"124","Hspe1","OPC",0.342129159935224,6.50388735227242,13.6176178442636,0.00279898213013458,0.689469897575878,0.689469897575878,"genotype_num"
"267","Per2","OPC",0.455721580973026,6.69540271277354,14.6250220950796,0.00217409674657582,0.689469897575878,0.689469897575878,"genotype_num"
"648","Arhgap21","OPC",0.335690049809549,7.38838370417343,16.6594423508306,0.00134428957130199,0.689469897575878,0.689469897575878,"genotype_num"
"1423","Oprl1","OPC",0.278142648519323,7.43033343497403,14.085011302431,0.00248616966008329,0.689469897575878,0.689469897575878,"genotype_num"
"2070","Abca1","OPC",-0.258280221264342,8.12735470912875,15.4261850465868,0.00179106697446188,0.689469897575878,0.689469897575878,"genotype_num"
"2581","Abcb1b","OPC",-1.07339234719903,3.96076649317655,14.5998961442254,0.00218877742405614,0.689469897575878,0.689469897575878,"genotype_num"
"2582","Abcb4","OPC",-0.695873178763445,5.20618162612383,16.4490984610292,0.00141048227226153,0.689469897575878,0.689469897575878,"genotype_num"
"2708","Sorcs2","OPC",-0.854456996915099,4.49118996633883,19.2435391844121,0.000766897235146875,0.689469897575878,0.689469897575878,"genotype_num"
"3348","Pdia4","OPC",0.475579248983593,7.57472336354298,17.0837969881031,0.00122154022759328,0.689469897575878,0.689469897575878,"genotype_num"
"3516","Klf15","OPC",0.48222003135195,5.88690292455402,16.1136740184902,0.00152384724859982,0.689469897575878,0.689469897575878,"genotype_num"
"3587","Slc6a11","OPC",0.279326872883853,7.50147453903208,13.8027499286855,0.0026698829813946,0.689469897575878,0.689469897575878,"genotype_num"
"3972","Arhgap33","OPC",-0.432496221124404,6.06998960709211,13.7011713191683,0.00273985596018222,0.689469897575878,0.689469897575878,"genotype_num"
"4179","Abhd17c","OPC",-0.515821039123685,6.41609789716561,16.6728194708654,0.00134022011866193,0.689469897575878,0.689469897575878,"genotype_num"
"4412","Htra1","OPC",0.398733994460825,7.9746957422776,14.4790922443583,0.00225368660231621,0.689469897575878,0.689469897575878,"genotype_num"
"4431","Adam12","OPC",-0.348652927519042,7.61250403625332,14.5406143265382,0.00221971707386015,0.689469897575878,0.689469897575878,"genotype_num"
"4602","Erlin2","OPC",-0.321631187609098,6.85750333716803,13.5525605321126,0.00284604066389198,0.689469897575878,0.689469897575878,"genotype_num"
"4706","Cope","OPC",0.288934564084113,7.22954644667373,14.7923174309624,0.00208680825361053,0.689469897575878,0.689469897575878,"genotype_num"
"5255","Zbtb16","OPC",1.42244387406026,6.3507220105567,16.3261460271437,0.00145084436691019,0.689469897575878,0.689469897575878,"genotype_num"
"5322","Ubl7","OPC",-0.34033543541074,6.60025545906268,13.8431563134837,0.00264266031767704,0.689469897575878,0.689469897575878,"genotype_num"
"5749","Cdk19","OPC",-0.412307978856255,6.22542561963976,15.8757159996882,0.00161073123016744,0.689469897575878,0.689469897575878,"genotype_num"
"5922","Cirbp","OPC",-0.378420807474707,7.11324185202507,15.3802015292001,0.00181081696614758,0.689469897575878,0.689469897575878,"genotype_num"
"6011","Ascl1","OPC",-0.397436448200275,7.56445476209653,16.6310247155594,0.00135300450744606,0.689469897575878,0.689469897575878,"genotype_num"
"6632","Asic2","OPC",0.360028076879287,6.71675736571417,15.9749842677826,0.00157379318093468,0.689469897575878,0.689469897575878,"genotype_num"
"7269","Cipc","OPC",-0.306185413975402,7.50491884917988,13.831161336328,0.00265069142217582,0.689469897575878,0.689469897575878,"genotype_num"
"7319","Serpina3n","OPC",0.292899105126809,6.93245811636539,13.7015953747244,0.00273954428160435,0.689469897575878,0.689469897575878,"genotype_num"
"7435","Hist1h2bc","OPC",-0.361405085572151,6.50656153169788,15.2473476764556,0.00186929108972184,0.689469897575878,0.689469897575878,"genotype_num"
"8610","Dgcr6","OPC",-0.519904052888499,5.96599436649786,14.9972425387453,0.00198542006997203,0.689469897575878,0.689469897575878,"genotype_num"
"8748","Abhd10","OPC",-0.585673063997144,5.48475617708706,14.4974506889572,0.00224355024857417,0.689469897575878,0.689469897575878,"genotype_num"
"8844","Wrb","OPC",0.385006804589802,6.160078036604,14.3056236843984,0.0023527915068885,0.689469897575878,0.689469897575878,"genotype_num"
"8965","Fam173a","OPC",-0.33478388875322,7.2765524611369,16.9121991315006,0.00126954183584157,0.689469897575878,0.689469897575878,"genotype_num"
"9494","Pcdhgb4","OPC",-0.4392334145827,6.31781364701448,14.7396094212878,0.00211387701439836,0.689469897575878,0.689469897575878,"genotype_num"
"9528","Kcnn2","OPC",0.833131538553777,4.77968411506962,18.8101889070897,0.000839646931956936,0.689469897575878,0.689469897575878,"genotype_num"
"9534","Cdo1","OPC",0.230320376849924,9.35370490642682,16.0751675910095,0.00153749705412792,0.689469897575878,0.689469897575878,"genotype_num"
"10314","Plp1","OPC",1.60207919613183,6.10424960414465,16.0224326832693,0.00156199214007432,0.689469897575878,0.689469897575878,"genotype_num"
"464","Mpzl1","OPC",-0.228318055054979,8.41961200320194,13.3749872329444,0.00297925254024716,0.689663860261215,0.689663860261215,"genotype_num"
"7767","Slc4a7","OPC",-0.516010316197706,5.5132842990308,13.4614723875778,0.00291355394821136,0.689663860261215,0.689663860261215,"genotype_num"
"4406","Plpp4","OPC",0.254130608694227,8.19299677319273,13.1067462874197,0.00319452129906183,0.716205036927203,0.716205036927203,"genotype_num"
"6562","Rpa1","OPC",0.421299367613859,5.84144245306033,13.0629557823285,0.00323141372137646,0.716205036927203,0.716205036927203,"genotype_num"
"1043","Ivd","OPC",0.297717514841037,6.83462765162442,12.869133075868,0.00340046778662948,0.717421940729412,0.717421940729412,"genotype_num"
"4785","Zfp330","OPC",-0.441588135138381,5.78413721516874,12.7285930691158,0.00352955511269393,0.717421940729412,0.717421940729412,"genotype_num"
"6120","B4galnt1","OPC",-0.429378194046384,6.02667433952893,12.6804720543575,0.00357503969283215,0.717421940729412,0.717421940729412,"genotype_num"
"6925","Foxj1","OPC",-1.86797223662946,2.88605724656227,12.6908757363182,0.00358125572793793,0.717421940729412,0.717421940729412,"genotype_num"
"7760","Fam107a","OPC",2.05297613937341,2.70508831711422,11.7726138680371,0.0035806713495387,0.717421940729412,0.717421940729412,"genotype_num"
"106","Gls","OPC",-0.239051817878355,7.23427561183502,10.0913344888616,0.0074340237070069,0.718648497096241,0.718648497096241,"genotype_num"
"107","Nab1","OPC",-0.371292908917363,5.47397518626038,8.09026071196261,0.0140159676184428,0.718648497096241,0.718648497096241,"genotype_num"
"184","Igfbp2","OPC",-0.476705662386902,5.37140360663953,7.61209060283013,0.0164843593322628,0.718648497096241,0.718648497096241,"genotype_num"
"254","Usp40","OPC",0.357150629982485,6.24533941159126,8.81659735986003,0.011046309519575,0.718648497096241,0.718648497096241,"genotype_num"
"297","Cntnap5b","OPC",0.383517648111743,5.53976080464694,8.25675242564559,0.0132601415747258,0.718648497096241,0.718648497096241,"genotype_num"
"314","Tmem185b","OPC",-0.532310824269703,5.14113339079479,12.4166920865155,0.00383699514991945,0.718648497096241,0.718648497096241,"genotype_num"
"327","Nckap5","OPC",0.378372252472059,5.84587290079734,11.3969230359657,0.0050828981008856,0.718648497096241,0.718648497096241,"genotype_num"
"335","Mcm6","OPC",0.442804461633443,5.74708704521702,7.66948680314553,0.0161624585965465,0.718648497096241,0.718648497096241,"genotype_num"
"361","Btg2","OPC",0.441308699543667,6.6869918639484,9.75055382456182,0.00824323941232184,0.718648497096241,0.718648497096241,"genotype_num"
"367","Rabif","OPC",-0.423019829968106,5.20036680217131,7.96087030292105,0.014638497628445,0.718648497096241,0.718648497096241,"genotype_num"
"400","Pla2g4a","OPC",-0.75767905026074,3.80145149637198,7.50757934062795,0.0170933850242132,0.718648497096241,0.718648497096241,"genotype_num"
"415","Glul","OPC",0.52725081752072,6.87320975439785,7.82234777218636,0.0153407632091659,0.718648497096241,0.718648497096241,"genotype_num"
