"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"2","Atp6v1h","T cells",0.960677157199542,8.16148602704498,4.76285995751004,0.053971823664106,0.973928001160607,0.973928001160607,"genotype_num"
"3","Pcmtd1","T cells",0.676256268601389,8.06022187519121,2.90741041825636,0.118910083217427,0.973928001160607,0.973928001160607,"genotype_num"
"4","Arfgef1","T cells",0.425165632326664,8.59833794217874,1.6492132050807,0.227878974449142,0.973928001160607,0.973928001160607,"genotype_num"
"7","Lmbrd1","T cells",0.394788778989924,8.09890728148022,1.05363234687578,0.32880655986421,0.973928001160607,0.973928001160607,"genotype_num"
"11","Fam168b","T cells",-0.359656966937201,8.715564686047,1.44071643481365,0.257498051577375,0.973928001160607,0.973928001160607,"genotype_num"
"14","Neurl3","T cells",-0.341065459808126,9.44609975530655,1.60131645969893,0.234144534657686,0.973928001160607,0.973928001160607,"genotype_num"
"16","Cox5b","T cells",0.567219720601966,8.4860700005217,1.14769132090575,0.309102123107263,0.973928001160607,0.973928001160607,"genotype_num"
"19","Inpp4a","T cells",0.627645065229329,7.97395879891377,2.25388081488426,0.164087076802891,0.973928001160607,0.973928001160607,"genotype_num"
"24","Tpp2","T cells",-0.321758134215701,8.43235253854116,0.890041842279539,0.367597452338803,0.973928001160607,0.973928001160607,"genotype_num"
"26","Stat4","T cells",-0.609572564208964,9.23473523529854,3.41068346854059,0.0942892806076577,0.973928001160607,0.973928001160607,"genotype_num"
"27","Stat1","T cells",-0.859277330174464,9.36613378571607,8.85054125172093,0.0137986424210931,0.973928001160607,0.973928001160607,"genotype_num"
"29","Nab1","T cells",-0.758454696802942,8.44804098012066,5.54622272937811,0.0401752607549139,0.973928001160607,0.973928001160607,"genotype_num"
"31","Stk17b","T cells",-0.290768854735684,10.8474210368876,0.963921797062445,0.349125962522442,0.973928001160607,0.973928001160607,"genotype_num"
"34","Coq10b","T cells",-0.40120488352543,8.4555616154682,0.924625673028346,0.35882056759529,0.973928001160607,0.973928001160607,"genotype_num"
"40","Sumo1","T cells",-0.29067913183874,8.63646072100319,0.881367993629042,0.36982815151679,0.973928001160607,0.973928001160607,"genotype_num"
"43","Ctla4","T cells",-0.95904783973108,8.46688067740216,4.95278194296796,0.050073199120691,0.973928001160607,0.973928001160607,"genotype_num"
"47","Creb1","T cells",0.369585795141709,8.16370628386737,1.00989572074302,0.338569575891743,0.973928001160607,0.973928001160607,"genotype_num"
"48","Arpc2","T cells",-0.875385971827818,9.04135597234507,8.15778270171648,0.0169469036998837,0.973928001160607,0.973928001160607,"genotype_num"
"52","Ptprn","T cells",3.89930050582745,8.82885870535284,7.42838092261362,0.0182117467663313,0.973928001160607,0.973928001160607,"genotype_num"
"54","Cul3","T cells",0.277895604649768,8.91561385605147,1.04447777950461,0.330691848473523,0.973928001160607,0.973928001160607,"genotype_num"
"55","Dock10","T cells",-0.605084132197927,9.55516466048522,3.23341596843688,0.102076410726108,0.973928001160607,0.973928001160607,"genotype_num"
"57","Agfg1","T cells",-0.352289935047798,8.74297586757706,1.39765945296179,0.264287631068663,0.973928001160607,0.973928001160607,"genotype_num"
"58","Trip12","T cells",0.318141818129296,9.3095515020769,1.51465888531967,0.246344958991154,0.973928001160607,0.973928001160607,"genotype_num"
"67","Hjurp","T cells",0.819467150840927,7.90751586820605,2.70906492650629,0.130724072749809,0.973928001160607,0.973928001160607,"genotype_num"
"72","Gpc1","T cells",1.36930273825157,7.83696563674656,10.2811744580912,0.00897641195383866,0.973928001160607,0.973928001160607,"genotype_num"
