"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1006","Klf2","BAM",-1.25078291543899,10.9499968094584,22.7933016077475,0.000523260119937284,0.638585590546759,0.638585590546759,"genotype_num"
"2052","Lman1","BAM",3.37045930731634,7.43930673908613,21.6833846530742,0.000571185680274382,0.638585590546759,0.638585590546759,"genotype_num"
"1","Atp6v1h","BAM",-0.227068892703181,7.53513827538128,0.21527798303065,0.65144787498257,0.995848716646953,0.995848716646953,"genotype_num"
"2","Ncoa2","BAM",0.624456520196006,7.18892693764804,0.63277275480597,0.442748675982923,0.995848716646953,0.995848716646953,"genotype_num"
"3","Tram1","BAM",0.168987153358558,8.73155641125897,0.221343233442295,0.646903900377709,0.995848716646953,0.995848716646953,"genotype_num"
"4","Ly96","BAM",0.395097113935569,7.92866492290423,0.90316497815778,0.36172434615867,0.995848716646953,0.995848716646953,"genotype_num"
"5","Ogfrl1","BAM",-0.221570128875212,7.94606432153324,0.162784762529034,0.694098407188884,0.995848716646953,0.995848716646953,"genotype_num"
"6","Lmbrd1","BAM",0.14713837746647,8.11597054775475,0.113211536944416,0.742645883839286,0.995848716646953,0.995848716646953,"genotype_num"
"7","Dst","BAM",-0.249590135869009,7.31871039055449,0.0895363543702482,0.770199466870777,0.995848716646953,0.995848716646953,"genotype_num"
"8","Ptpn18","BAM",0.273215308443006,8.78133367782913,0.621345510486387,0.446650416747404,0.995848716646953,0.995848716646953,"genotype_num"
"9","Fam168b","BAM",0.558984157597901,8.74908643681204,1.78415486982838,0.207731112910889,0.995848716646953,0.995848716646953,"genotype_num"
"10","Plekhb2","BAM",-0.257340025273086,7.9940114206594,0.338198324969407,0.572227335839384,0.995848716646953,0.995848716646953,"genotype_num"
"11","Hs6st1","BAM",-0.430392776242433,8.0723071575125,1.21252818917899,0.293603613852528,0.995848716646953,0.995848716646953,"genotype_num"
"12","Neurl3","BAM",-0.304162260906248,8.41486144471948,0.295012334164489,0.597505673008405,0.995848716646953,0.995848716646953,"genotype_num"
"13","Cox5b","BAM",0.623788152848576,7.60810501114713,1.62670337813886,0.22767762266946,0.995848716646953,0.995848716646953,"genotype_num"
"14","Tmem131","BAM",0.871724051363416,7.47500400038032,2.42852722916955,0.146646838074195,0.995848716646953,0.995848716646953,"genotype_num"
"16","Coa5","BAM",0.173721061810633,7.2384167490938,0.0945081322304703,0.764106107927048,0.995848716646953,0.995848716646953,"genotype_num"
"17","Txndc9","BAM",0.394428068730883,7.24764773410513,0.323319637655902,0.580739360636471,0.995848716646953,0.995848716646953,"genotype_num"
"18","Pdcl3","BAM",0.0505308124965159,7.36105331526646,0.00989132990100288,0.922515449437627,0.995848716646953,0.995848716646953,"genotype_num"
"19","Rnf149","BAM",0.188320549785552,8.34786549030443,0.218558047944197,0.648968736292868,0.995848716646953,0.995848716646953,"genotype_num"
"20","Map4k4","BAM",0.865002798657698,7.5580769589532,2.01957312281211,0.182228518493039,0.995848716646953,0.995848716646953,"genotype_num"
"21","Tgfbrap1","BAM",0.0723944692881737,7.69015901270482,0.0273373725009891,0.871586024860775,0.995848716646953,0.995848716646953,"genotype_num"
"22","Tpp2","BAM",-0.410193781385396,7.73164831241269,0.937576701990936,0.35309193139324,0.995848716646953,0.995848716646953,"genotype_num"
"23","Slc40a1","BAM",-0.0948151149560117,9.73986878348659,0.0614037914620956,0.808701269383539,0.995848716646953,0.995848716646953,"genotype_num"
"24","Stat1","BAM",-0.854886578224511,7.62330585108644,2.52507574011983,0.139566758643459,0.995848716646953,0.995848716646953,"genotype_num"
"25","Gls","BAM",0.0545643440655878,7.59147065024234,0.0120454289334219,0.914524918799465,0.995848716646953,0.995848716646953,"genotype_num"
"26","Stk17b","BAM",0.0569817686779221,9.76186631279527,0.0201453605263618,0.889611301022434,0.995848716646953,0.995848716646953,"genotype_num"
"27","Ankrd44","BAM",-0.490933726146697,7.45246904102538,0.838476386765107,0.378925869589403,0.995848716646953,0.995848716646953,"genotype_num"
"28","Sf3b1","BAM",-0.378380903730928,8.70106854524007,0.705469313651829,0.418245904305016,0.995848716646953,0.995848716646953,"genotype_num"
"29","Coq10b","BAM",-0.0528792568289224,7.30905196531096,0.00856381940706531,0.927887235248052,0.995848716646953,0.995848716646953,"genotype_num"
"30","Bzw1","BAM",-0.0333975873204197,7.96622913244456,0.00362297636273301,0.953049580461963,0.995848716646953,0.995848716646953,"genotype_num"
"31","Clk1","BAM",-0.379309552758501,9.66071059122175,1.33888668726469,0.270920734627603,0.995848716646953,0.995848716646953,"genotype_num"
"32","Cflar","BAM",0.41797799497004,7.51620611473238,0.61101348832387,0.450438576366618,0.995848716646953,0.995848716646953,"genotype_num"
"33","Sumo1","BAM",0.0454814229856734,7.69403876269615,0.00921697198286396,0.925193466029394,0.995848716646953,0.995848716646953,"genotype_num"
"34","Bmpr2","BAM",0.387378888196467,8.3066869048102,1.14292358649535,0.30720163513307,0.995848716646953,0.995848716646953,"genotype_num"
"35","Fam117b","BAM",-0.759943639619159,7.58036622270414,2.31283262213705,0.155710301083987,0.995848716646953,0.995848716646953,"genotype_num"
"36","Cd28","BAM",-0.390341894382804,7.15550305712027,0.296567670330567,0.596571952602731,0.995848716646953,0.995848716646953,"genotype_num"
"37","Nrp2","BAM",0.748822096146924,7.42462018386323,1.35694622035614,0.267991582047108,0.995848716646953,0.995848716646953,"genotype_num"
"38","Eef1b2","BAM",0.588790089512602,8.14179635626439,1.71182281463116,0.216586527749728,0.995848716646953,0.995848716646953,"genotype_num"
"39","Kansl1l","BAM",-0.591410935863148,7.31473079359243,1.27939716124885,0.28142113365867,0.995848716646953,0.995848716646953,"genotype_num"
"40","Arpc2","BAM",0.243652643070355,8.61425863917664,0.406866272753389,0.536185809424165,0.995848716646953,0.995848716646953,"genotype_num"
"41","Aamp","BAM",-0.465476566221143,8.0673188148682,1.35637760054917,0.26802504128644,0.995848716646953,0.995848716646953,"genotype_num"
"42","Slc11a1","BAM",-0.286413165312517,8.5754689868928,0.514449659873784,0.487677007774453,0.995848716646953,0.995848716646953,"genotype_num"
"43","Ctdsp1","BAM",-0.498355457722895,8.23057287189576,1.49668039186502,0.245931701518286,0.995848716646953,0.995848716646953,"genotype_num"
"44","Cyp27a1","BAM",-0.588079429054853,8.49535662490975,1.92884343363612,0.19146318752229,0.995848716646953,0.995848716646953,"genotype_num"
"45","Cul3","BAM",0.698589283823946,7.70152732548704,1.73432258236662,0.213856580195463,0.995848716646953,0.995848716646953,"genotype_num"
"46","Dock10","BAM",0.15795042636172,7.44905256781484,0.0692049960876438,0.797229661030657,0.995848716646953,0.995848716646953,"genotype_num"
"47","Agfg1","BAM",1.20842788049375,7.95968501484547,8.30696920103645,0.0144984390437852,0.995848716646953,0.995848716646953,"genotype_num"
"48","Pid1","BAM",-0.098590355551714,9.60045531566883,0.0748045008977404,0.789361905532792,0.995848716646953,0.995848716646953,"genotype_num"
"49","Trip12","BAM",-0.514992910252755,8.16927264583538,1.87760414671529,0.197048341326848,0.995848716646953,0.995848716646953,"genotype_num"
"50","Cab39","BAM",0.409277900741052,8.1865447826313,0.815498620777393,0.385236734734102,0.995848716646953,0.995848716646953,"genotype_num"
"52","Psmd1","BAM",0.127795354347475,7.35661555942779,0.0528127718621551,0.822328745497695,0.995848716646953,0.995848716646953,"genotype_num"
"53","Ncl","BAM",0.0609649439594924,7.5623459511321,0.0182641949651306,0.894868379565,0.995848716646953,0.995848716646953,"genotype_num"
"54","Ptma","BAM",0.139674221222517,7.44064252452221,0.0856649398274771,0.775057334964642,0.995848716646953,0.995848716646953,"genotype_num"
"55","Inpp5d","BAM",0.123663696912674,9.40130353598833,0.164714499569588,0.692373424943348,0.995848716646953,0.995848716646953,"genotype_num"
"56","Dgkd","BAM",-0.310308022568349,7.93713764877277,0.43488838997693,0.522749956417309,0.995848716646953,0.995848716646953,"genotype_num"
"57","Arl4c","BAM",-0.118842856152957,7.10836684516681,0.024247571944065,0.879007538499691,0.995848716646953,0.995848716646953,"genotype_num"
"58","Ube2f","BAM",0.2804981103087,7.31926977263694,0.179609285324977,0.67965647208282,0.995848716646953,0.995848716646953,"genotype_num"
"59","Ndufa10","BAM",-0.785147164616352,7.36710285969794,1.52385416708393,0.242056397092311,0.995848716646953,0.995848716646953,"genotype_num"
"60","Cops9","BAM",1.14372556288127,7.91696862480848,5.39212235294919,0.0397766300203721,0.995848716646953,0.995848716646953,"genotype_num"
"61","Rnpepl1","BAM",-0.200641330889089,7.58985963776776,0.147178146508735,0.708344889131349,0.995848716646953,0.995848716646953,"genotype_num"
"62","Hdlbp","BAM",-0.399737192745565,8.26217313097598,1.05127656415448,0.326535901293425,0.995848716646953,0.995848716646953,"genotype_num"
"63","Sept2","BAM",0.801371168336971,8.09706815344945,3.44820216840827,0.0894125084495865,0.995848716646953,0.995848716646953,"genotype_num"
"64","Stk25","BAM",-0.39645312347503,7.21210509594631,0.530429201747149,0.481221628085812,0.995848716646953,0.995848716646953,"genotype_num"
"65","Atg4b","BAM",0.21246734443857,7.19965457414231,0.121966893479715,0.733333799216719,0.995848716646953,0.995848716646953,"genotype_num"
"66","Fam174a","BAM",0.11869558804225,8.22436073761067,0.0411725178291019,0.842792745176835,0.995848716646953,0.995848716646953,"genotype_num"
"67","St8sia4","BAM",-0.435759283979337,7.94791936512199,0.590840224402807,0.45777237120777,0.995848716646953,0.995848716646953,"genotype_num"
"68","Tnfrsf11a","BAM",-0.118105315903586,8.4434856961714,0.105748820845812,0.750937551032713,0.995848716646953,0.995848716646953,"genotype_num"
"69","Zcchc2","BAM",-0.53819047326719,7.84637238003825,1.86306668422286,0.198702880130382,0.995848716646953,0.995848716646953,"genotype_num"
"70","Serpinb8","BAM",-0.216973132443374,8.16849995812622,0.219712395742693,0.648116013237378,0.995848716646953,0.995848716646953,"genotype_num"
"71","Tsn","BAM",-0.549116564138744,7.40692281883326,1.3867635441258,0.263114110341201,0.995848716646953,0.995848716646953,"genotype_num"
"72","Ralb","BAM",-0.0189705910388103,7.92193099599551,0.0021865607701727,0.963515750315797,0.995848716646953,0.995848716646953,"genotype_num"
"73","Tmem37","BAM",0.60387352278338,7.39674011322873,1.47030932737609,0.25001189621011,0.995848716646953,0.995848716646953,"genotype_num"
"74","Actr3","BAM",-0.0188108367287287,8.03990129765347,0.00238040990144494,0.961933998324725,0.995848716646953,0.995848716646953,"genotype_num"
"75","Ccnt2","BAM",-0.243350142125112,7.43388267157357,0.212515313485979,0.653543200267192,0.995848716646953,0.995848716646953,"genotype_num"
"76","Ubxn4","BAM",-0.624575522374703,7.79160832299723,2.26639797803363,0.159518581639474,0.995848716646953,0.995848716646953,"genotype_num"
"77","Cxcr4","BAM",-0.942074083072893,8.35064067955887,1.19412229591525,0.297125263614974,0.995848716646953,0.995848716646953,"genotype_num"
"78","Mapkapk2","BAM",-0.27782770530048,8.70937232993471,0.523661780147456,0.483888715577287,0.995848716646953,0.995848716646953,"genotype_num"
"79","Rassf5","BAM",-0.688018195970743,7.37006691518869,2.14309001948879,0.170447567331711,0.995848716646953,0.995848716646953,"genotype_num"
"80","Srgap2","BAM",-0.151399802297035,8.75139566586416,0.168396029400608,0.689158730095939,0.995848716646953,0.995848716646953,"genotype_num"
"81","Nuak2","BAM",0.0265153093441529,7.71075454866409,0.00254126601223285,0.960671617644314,0.995848716646953,0.995848716646953,"genotype_num"
"82","Mdm4","BAM",-0.479810267428725,7.35530827898287,0.663749374089502,0.432063661840471,0.995848716646953,0.995848716646953,"genotype_num"
"83","Btg2","BAM",-0.0841102657490703,11.7195146542074,0.12377809067382,0.731394050876577,0.995848716646953,0.995848716646953,"genotype_num"
"84","Cyb5r1","BAM",-0.671092230702403,8.52559879756554,2.42920523305655,0.146452938485212,0.995848716646953,0.995848716646953,"genotype_num"
"85","Adipor1","BAM",0.151711897292172,9.67747788819711,0.146363796537592,0.709077591421011,0.995848716646953,0.995848716646953,"genotype_num"
"86","Arl8a","BAM",-0.416209569068751,8.3234601614031,1.50127908624362,0.245233258054844,0.995848716646953,0.995848716646953,"genotype_num"
"87","Rnpep","BAM",0.885948900050914,8.58668365745861,5.65830305442345,0.0358845594300105,0.995848716646953,0.995848716646953,"genotype_num"
"88","Nav1","BAM",-0.613976894369597,7.67363818515311,1.17060777824938,0.301747381051868,0.995848716646953,0.995848716646953,"genotype_num"
"89","Ptprc","BAM",0.685289373513543,8.65692215085448,3.03589774913609,0.108363541065254,0.995848716646953,0.995848716646953,"genotype_num"
"90","Nek7","BAM",0.0284448459772532,8.04163786781183,0.00432144106939938,0.948728641435591,0.995848716646953,0.995848716646953,"genotype_num"
"91","Dennd1b","BAM",-0.027897844928544,7.35615668689765,0.00222513341907697,0.963198234773054,0.995848716646953,0.995848716646953,"genotype_num"
"92","Cfh","BAM",-0.111351134860045,10.6543307885949,0.140834612523398,0.714346520364482,0.995848716646953,0.995848716646953,"genotype_num"
"93","Rgs2","BAM",-0.58081919108786,10.1207133567622,1.21252376973851,0.293556867428678,0.995848716646953,0.995848716646953,"genotype_num"
"94","Rgs18","BAM",-0.787210663985043,6.98427627659663,1.15190509189208,0.305563816575692,0.995848716646953,0.995848716646953,"genotype_num"
"95","Tpr","BAM",0.428646412136137,8.21744752303335,1.34664376751701,0.269648111068392,0.995848716646953,0.995848716646953,"genotype_num"
"96","Ivns1abp","BAM",-0.200754644496356,9.89593524046374,0.383799969528394,0.547768263855025,0.995848716646953,0.995848716646953,"genotype_num"
"97","Rnf2","BAM",-0.381621548326441,7.51632849095774,0.569250385793604,0.465957411912847,0.995848716646953,0.995848716646953,"genotype_num"
"98","Fam129a","BAM",0.0585471787665219,7.14029549315571,0.00695982833445208,0.934973025909029,0.995848716646953,0.995848716646953,"genotype_num"
