"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"8253","Egr1","CHOR",-13.62530528836,5.1477554736341,154.716836418586,1.1579956291282e-07,0.00104914403999015,0.00104914403999015,"genotype_num"
"6381","Fos","CHOR",-12.1939780797069,5.6730543848669,111.836655550683,5.75315159910168e-07,0.0017455356921842,0.0017455356921842,"genotype_num"
"7874","Dusp1","CHOR",-12.7937928318163,5.90471343522347,95.95185956587,5.77991951054371e-07,0.0017455356921842,0.0017455356921842,"genotype_num"
"7709","Adamts1","CHOR",-2.11870779198638,6.58065026075939,26.6402886793848,0.000202593104663066,0.458873382061845,0.458873382061845,"genotype_num"
"104","Clk1","CHOR",-3.065012750252,5.07425852351419,19.7290614944133,0.000546705622481929,0.990630587937255,0.990630587937255,"genotype_num"
"1","Lypla1","CHOR",0.100995082185936,7.28967853580828,0.0802851277602575,0.781510525125979,0.998367768382787,0.998367768382787,"genotype_num"
"2","Tcea1","CHOR",-0.180633787557873,7.51054894126689,0.262702918595011,0.617129489308893,0.998367768382787,0.998367768382787,"genotype_num"
"4","Rb1cc1","CHOR",0.108723042393444,5.92980795110213,0.0533854039910809,0.820989847970901,0.998367768382787,0.998367768382787,"genotype_num"
"5","Pcmtd1","CHOR",0.327954906479044,6.66518991562974,0.690308945613111,0.421525956301129,0.998367768382787,0.998367768382787,"genotype_num"
"6","Rrs1","CHOR",1.36484440164833,4.08416279170577,3.26368305786268,0.0926184666019791,0.998367768382787,0.998367768382787,"genotype_num"
"7","Adhfe1","CHOR",-0.610382167916562,4.93347292618866,1.04871652775214,0.325016811225483,0.998367768382787,0.998367768382787,"genotype_num"
"8","Vcpip1","CHOR",-0.924752513564552,4.79479135594581,1.68506277906496,0.217106659635617,0.998367768382787,0.998367768382787,"genotype_num"
"10","Ppp1r42","CHOR",-1.50057447067543,3.53014365402107,2.60773375385733,0.127725888012409,0.998367768382787,0.998367768382787,"genotype_num"
"11","Cops5","CHOR",-0.164868516322189,7.43490728730391,0.222304375856426,0.645344069886246,0.998367768382787,0.998367768382787,"genotype_num"
"12","Cspp1","CHOR",-1.04655133523834,3.62509323073754,1.44945871332066,0.248600260719632,0.998367768382787,0.998367768382787,"genotype_num"
"13","Arfgef1","CHOR",0.16604719788421,6.74000589138852,0.190836099439029,0.669613604370021,0.998367768382787,0.998367768382787,"genotype_num"
"14","Sulf1","CHOR",-0.294486786051166,9.11079793289619,0.602350357994685,0.451993639708182,0.998367768382787,0.998367768382787,"genotype_num"
"15","Ncoa2","CHOR",0.508584193305292,6.09346864509828,1.26380429374301,0.281921520639663,0.998367768382787,0.998367768382787,"genotype_num"
"16","Tram1","CHOR",-0.164834787139189,7.61882790479704,0.108782033011592,0.746950126246459,0.998367768382787,0.998367768382787,"genotype_num"
"17","Lactb2","CHOR",0.531218136206263,6.58549931129492,1.69776008808939,0.215902041998006,0.998367768382787,0.998367768382787,"genotype_num"
"18","Terf1","CHOR",-0.0485337405289237,3.16951528982513,0.00190154062534253,0.96581745443052,0.998367768382787,0.998367768382787,"genotype_num"
"19","Sbspon","CHOR",-0.448268238573453,4.05083132753863,0.205695933804868,0.657623599837725,0.998367768382787,0.998367768382787,"genotype_num"
"20","Rdh10","CHOR",-0.525232947135175,6.23557748523873,0.472497498172543,0.504307228965386,0.998367768382787,0.998367768382787,"genotype_num"
"21","Stau2","CHOR",1.06098064062256,5.92830646056023,5.60317341989488,0.034689101557415,0.998367768382787,0.998367768382787,"genotype_num"
"22","Ube2w","CHOR",0.280561457918584,6.17509685099042,0.435613311213857,0.521144445611822,0.998367768382787,0.998367768382787,"genotype_num"
"23","Eloc","CHOR",-0.0825072433113856,6.40698708872209,0.0377554546781615,0.849033788243042,0.998367768382787,0.998367768382787,"genotype_num"
"24","Tmem70","CHOR",-0.177750697755849,6.26489043452944,0.178138031252971,0.680096817863489,0.998367768382787,0.998367768382787,"genotype_num"
