"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"4376","Cnp","COP",-1.05318317145696,11.7837182332336,48.7232175023034,1.95820917428255e-06,0.0131493746053073,0.0131493746053073,"genotype_num"
"795","Cst3","COP",4.94925199841338,7.40575237463553,21.8247278214402,0.000206799796999227,0.322335987403164,0.322335987403164,"genotype_num"
"2491","Fosb","COP",-1.72411278741532,7.67894940433103,21.1898207223123,0.000240011904246586,0.322335987403164,0.322335987403164,"genotype_num"
"2835","Fus","COP",-1.3516108076834,7.36870320850457,22.7458636213487,0.000168036774920214,0.322335987403164,0.322335987403164,"genotype_num"
"6675","Shroom2","COP",-1.52498478158368,6.99059895487752,22.244009578457,0.000188303221481091,0.322335987403164,0.322335987403164,"genotype_num"
"6007","Strn","COP",-0.878353481522168,8.7482788203436,20.2161788386467,0.000302372228616698,0.338404919193521,0.338404919193521,"genotype_num"
"1448","Pik3r3","COP",-1.01972154272253,9.9582723933171,18.9901614288348,0.000408321236982779,0.378793277302441,0.378793277302441,"genotype_num"
"1543","Matn1","COP",1.13001119632834,7.84842665159585,18.128661136906,0.000507690170621291,0.378793277302441,0.378793277302441,"genotype_num"
"3147","Arl2bp","COP",0.958350240864603,8.12264728528027,18.1643855404319,0.000503051276848305,0.378793277302441,0.378793277302441,"genotype_num"
"6447","Atp5md","COP",1.29637781301031,6.79298367584713,16.8630362423075,0.000706726796724935,0.474567044000794,0.474567044000794,"genotype_num"
"486","Cercam","COP",1.93009981791191,5.78560117219747,16.0808687328683,0.000875418864656309,0.495468176137773,0.495468176137773,"genotype_num"
"837","Scand1","COP",1.87804113064522,5.81581237262058,12.5190668583765,0.00246083587645105,0.495468176137773,0.495468176137773,"genotype_num"
"900","Rae1","COP",1.46535796970735,6.32615415253907,15.1157627558986,0.00114151531992533,0.495468176137773,0.495468176137773,"genotype_num"
"1483","Mfsd2a","COP",-0.859901753138972,8.08671733656258,12.7844705562717,0.00226190425245198,0.495468176137773,0.495468176137773,"genotype_num"
"1872","Sparcl1","COP",0.798701824896568,8.28468785576421,13.154509936079,0.00202093276936544,0.495468176137773,0.495468176137773,"genotype_num"
"1992","Psph","COP",1.82376775679558,6.04055848402663,12.6445105103019,0.00236619702398309,0.495468176137773,0.495468176137773,"genotype_num"
"2645","Ndn","COP",1.57123815295289,6.54551444008873,13.543428764895,0.0017997632301146,0.495468176137773,0.495468176137773,"genotype_num"
"3484","Nedd4","COP",0.832870180218623,7.96776312705869,13.9880026926952,0.00157690736336795,0.495468176137773,0.495468176137773,"genotype_num"
"3677","Sgk1","COP",-0.647114868281233,9.7393267356875,12.8872987069779,0.00219169626636522,0.495468176137773,0.495468176137773,"genotype_num"
"3701","Cdk19","COP",-0.817955240702534,7.85462711345746,13.4156418507902,0.00186839596264474,0.495468176137773,0.495468176137773,"genotype_num"
"3710","Afg1l","COP",2.90658931325349,4.94902188802442,13.4439236343705,0.00168735670367393,0.495468176137773,0.495468176137773,"genotype_num"
"4040","Ehbp1","COP",-1.49997877927948,6.28179423063289,14.5928024599056,0.00132588547882709,0.495468176137773,0.495468176137773,"genotype_num"
"4352","Npepps","COP",1.24120289499538,6.82987451783153,12.7986915730594,0.00225259631471477,0.495468176137773,0.495468176137773,"genotype_num"
"4408","Slc25a39","COP",1.11218806540306,7.07775754382611,14.4163933323155,0.00139234567671297,0.495468176137773,0.495468176137773,"genotype_num"
"4439","Prkca","COP",1.56484495235972,6.5774534032793,14.1655002655671,0.00149843672846108,0.495468176137773,0.495468176137773,"genotype_num"
