"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"112","Thbs1","DC",6.0987589499707,10.8349427521732,52.1177200910251,9.13644308446997e-05,0.0926435328765255,0.0926435328765255,"genotype_num"
"136","Pltp","DC",-3.67484053007314,9.53010256261542,17.6406932315142,0.00340017423972389,0.574629446513337,0.574629446513337,"genotype_num"
"655","Ccl3","DC",2.58890821034707,10.196863930097,24.7078360910496,0.00182590534309274,0.574629446513337,0.574629446513337,"genotype_num"
"889","Ier3","DC",2.1216194733942,9.93572281957937,20.1159565647154,0.00314739386353093,0.574629446513337,0.574629446513337,"genotype_num"
"890","Tubb5","DC",-3.15406185452054,9.63034549625245,21.4426052445162,0.00261131370003453,0.574629446513337,0.574629446513337,"genotype_num"
"925","Adrb2","DC",3.51791116375828,9.08554383103313,27.0956690721008,0.00133731003937608,0.574629446513337,0.574629446513337,"genotype_num"
"607","H2afv","DC",-3.24329488027717,8.58939488482056,15.9069039440252,0.00505227848649634,0.640376298163411,0.640376298163411,"genotype_num"
"822","Hnrnpa1","DC",-3.94170289567117,8.99821406969399,15.2229656421114,0.00491617089017497,0.640376298163411,0.640376298163411,"genotype_num"
"460","Tacc1","DC",-3.08871276626856,8.66751661027931,13.9533032143038,0.00631078557839362,0.711015175165681,0.711015175165681,"genotype_num"
"5","Rnf149","DC",1.39079201018671,9.11190556914718,5.85967537468292,0.0474931054523346,0.95793037983942,0.95793037983942,"genotype_num"
"15","Fn1","DC",-2.43466049619928,11.3329596242415,5.81291787601987,0.0478491917790325,0.95793037983942,0.95793037983942,"genotype_num"
"18","Dock10","DC",-0.873795268070959,9.70644735309421,3.39764303889356,0.109557282876604,0.95793037983942,0.95793037983942,"genotype_num"
"20","Trip12","DC",1.2513822453903,8.94662925061521,3.81179690818491,0.0935877202177922,0.95793037983942,0.95793037983942,"genotype_num"
"29","Cxcr4","DC",-1.37072028107767,9.88263402672961,7.07318973215789,0.0337242716499605,0.95793037983942,0.95793037983942,"genotype_num"
"38","Rgs1","DC",-1.80360191474123,8.84253912696801,4.08724666628853,0.0855580482742497,0.95793037983942,0.95793037983942,"genotype_num"
"39","Ptgs2","DC",1.37489984398789,9.20358567942511,3.44823873080128,0.107472769480476,0.95793037983942,0.95793037983942,"genotype_num"
"46","Tor1aip1","DC",0.856895795616036,9.24415795842086,2.5149145353451,0.158574560893277,0.95793037983942,0.95793037983942,"genotype_num"
"49","Creg1","DC",-1.39344555714274,9.0304490924867,5.319156275035,0.0558488853006405,0.95793037983942,0.95793037983942,"genotype_num"
"56","F11r","DC",-1.85107969647115,9.21627763971516,5.60981677780504,0.0459188521916369,0.95793037983942,0.95793037983942,"genotype_num"
"57","Cd244a","DC",1.91922182767236,8.46487973783893,5.7326810748981,0.0492997211724923,0.95793037983942,0.95793037983942,"genotype_num"
"63","Tagln2","DC",-0.850948249165901,10.1970314485924,3.50227856777623,0.105148184425021,0.95793037983942,0.95793037983942,"genotype_num"
"70","H3f3a","DC",-0.841444424585052,9.87798095846117,3.35087043025579,0.111590198012411,0.95793037983942,0.95793037983942,"genotype_num"
"81","Vim","DC",-1.50569096027082,12.5905747883107,4.48265330072736,0.0735672363908325,0.95793037983942,0.95793037983942,"genotype_num"
"83","Pip4k2a","DC",1.0236880480737,9.24105096828436,3.43900164857623,0.107831546908565,0.95793037983942,0.95793037983942,"genotype_num"
"88","Sptan1","DC",-1.24875787821084,8.4303272287997,2.37733634101807,0.168619130035982,0.95793037983942,0.95793037983942,"genotype_num"
"90","Hspa5","DC",0.882062374903485,9.08722514984789,2.49985618969346,0.159648496557285,0.95793037983942,0.95793037983942,"genotype_num"
"92","Gsn","DC",-1.76068678901619,9.24709225670491,2.71947133133065,0.144471265240217,0.95793037983942,0.95793037983942,"genotype_num"
"93","Stom","DC",-0.936051175138622,9.25822687270382,2.99412777121889,0.128955775171548,0.95793037983942,0.95793037983942,"genotype_num"
"102","Wipf1","DC",-1.36518310690992,9.19658641894021,4.90824586867567,0.0636286384705998,0.95793037983942,0.95793037983942,"genotype_num"
"116","Gatm","DC",-1.94367635828947,8.72681340170617,4.42286234038837,0.0692647064153715,0.95793037983942,0.95793037983942,"genotype_num"
"131","Mafb","DC",2.69460665817167,9.20202065865851,2.43579231326258,0.163680748201551,0.95793037983942,0.95793037983942,"genotype_num"
"138","Prex1","DC",-1.23118948351797,9.48464511244119,5.2749387100484,0.0567774072215757,0.95793037983942,0.95793037983942,"genotype_num"
"144","Rgs19","DC",-1.07584996506036,8.9668694522799,2.99089988288584,0.129031901920653,0.95793037983942,0.95793037983942,"genotype_num"
"146","Tbl1xr1","DC",-1.05124091133092,9.00007210596337,3.14149314447569,0.121381073888789,0.95793037983942,0.95793037983942,"genotype_num"
"151","Gpr171","DC",1.23908772543883,9.65751786138664,3.77133247149925,0.0949692466395145,0.95793037983942,0.95793037983942,"genotype_num"
"154","Tlr2","DC",1.0583002476733,10.2216025619116,3.97294417681218,0.0881112579455208,0.95793037983942,0.95793037983942,"genotype_num"
"157","Sema4a","DC",-1.51817875323105,9.46417691486987,5.15885806705657,0.0588410451022992,0.95793037983942,0.95793037983942,"genotype_num"
"162","S100a6","DC",-1.66000001044788,9.44303307654007,2.57610121043903,0.153912552327298,0.95793037983942,0.95793037983942,"genotype_num"
"164","S100a10","DC",-1.01709542850291,10.4954381089774,3.59630502629445,0.101401863032287,0.95793037983942,0.95793037983942,"genotype_num"
"172","Txnip","DC",0.889869681092404,10.3695168753759,3.42821197961654,0.108224465430099,0.95793037983942,0.95793037983942,"genotype_num"
"178","Cd53","DC",0.798367028000517,10.7982127335692,2.58910262792333,0.15332603377074,0.95793037983942,0.95793037983942,"genotype_num"
"183","H2afz","DC",-1.29701824089364,9.91287341604398,8.41502453647993,0.0239950229413246,0.95793037983942,0.95793037983942,"genotype_num"
"190","Dnaja1","DC",1.61257457851994,9.0705520117644,4.01687454768036,0.0868391124832482,0.95793037983942,0.95793037983942,"genotype_num"
"192","Cd72","DC",2.03318919642462,8.40275959776374,2.84501401620847,0.134942477189424,0.95793037983942,0.95793037983942,"genotype_num"
"198","Gng10","DC",-1.28902641202749,9.84539803184072,8.16656432085917,0.0254990538190238,0.95793037983942,0.95793037983942,"genotype_num"
"216","Macf1","DC",-0.899725767017955,9.36764970777097,3.01984794067417,0.127598573319246,0.95793037983942,0.95793037983942,"genotype_num"
"224","Ptafr","DC",-0.849475969479411,9.25062163798646,2.42356943948784,0.165246751342773,0.95793037983942,0.95793037983942,"genotype_num"
"232","Runx3","DC",1.30820501914806,8.99170764383073,4.85598133737677,0.0649984616849871,0.95793037983942,0.95793037983942,"genotype_num"
"233","Clic4","DC",-2.3401504158164,8.64304951404322,4.64518460464386,0.0663537844661708,0.95793037983942,0.95793037983942,"genotype_num"
"243","Tnfrsf1b","DC",0.801895163590928,9.66478577514101,2.70775080005821,0.145620456984948,0.95793037983942,0.95793037983942,"genotype_num"
"255","Fgl2","DC",1.83351296430998,10.2117714214763,12.2129989481542,0.0107277700408826,0.95793037983942,0.95793037983942,"genotype_num"
"260","Ywhah","DC",-1.32293729594519,9.95791410530868,7.80814752802072,0.0278675712902571,0.95793037983942,0.95793037983942,"genotype_num"
"266","Cxcl2","DC",1.03524743826285,10.0898443324033,4.22255137202947,0.0806122977464531,0.95793037983942,0.95793037983942,"genotype_num"
"269","Ccni","DC",-1.89335727726776,9.345880582942,10.7471912087268,0.0143336463142982,0.95793037983942,0.95793037983942,"genotype_num"
"274","Plac8","DC",0.837349199379578,10.8563557829428,2.95575345978021,0.130976346072463,0.95793037983942,0.95793037983942,"genotype_num"
"275","Hsd17b11","DC",-0.920802105289819,9.28226065388331,2.88287318148181,0.13512947392391,0.95793037983942,0.95793037983942,"genotype_num"
"282","Med13l","DC",1.22988450358861,8.60755362937039,2.9134288417356,0.133468820000992,0.95793037983942,0.95793037983942,"genotype_num"
"288","Rilpl2","DC",1.6515233408921,8.60344240201992,4.92165494695968,0.0635858606842752,0.95793037983942,0.95793037983942,"genotype_num"
"297","Cux1","DC",-1.79276633637572,9.09234879726693,6.07515548448409,0.0441002473036031,0.95793037983942,0.95793037983942,"genotype_num"
"300","Lfng","DC",1.38707623705102,9.05119005495854,5.39572822372081,0.0547220729726356,0.95793037983942,0.95793037983942,"genotype_num"
"327","Capg","DC",-1.53992085777429,8.72080196117178,5.03428061420206,0.0612319078028894,0.95793037983942,0.95793037983942,"genotype_num"
"335","Slc6a6","DC",1.50060803364576,8.48567610072071,3.86599560910036,0.0917429544701496,0.95793037983942,0.95793037983942,"genotype_num"
"337","Bhlhe40","DC",-1.44253527619411,9.77793195161103,9.37344832715722,0.0192338605497139,0.95793037983942,0.95793037983942,"genotype_num"
"340","Brk1","DC",-1.34853084439137,9.55433667758602,4.26870044800301,0.0793207460917861,0.95793037983942,0.95793037983942,"genotype_num"
"341","Plxnd1","DC",-1.24087188076969,9.17000661490939,2.73236630782211,0.144060815122333,0.95793037983942,0.95793037983942,"genotype_num"
"346","Apobec1","DC",1.99454076467048,8.70095252175584,5.4358772415578,0.0540045161546523,0.95793037983942,0.95793037983942,"genotype_num"
"349","Clec4a3","DC",1.81444184095092,8.86907191723971,5.78428566699272,0.0485241004774425,0.95793037983942,0.95793037983942,"genotype_num"
"355","Klrb1b","DC",0.94488731584433,9.27026570229681,3.01742539602758,0.127716895107847,0.95793037983942,0.95793037983942,"genotype_num"
"356","Clec2d","DC",1.69905211040902,9.64731424880566,9.83200012029379,0.0173755158950463,0.95793037983942,0.95793037983942,"genotype_num"
"366","Lair1","DC",2.66251737802427,8.19889672170006,5.55922681321812,0.0494800238557768,0.95793037983942,0.95793037983942,"genotype_num"
"367","Ppp6r1","DC",1.11280497070142,8.79839211023495,2.81212485676644,0.139294949633725,0.95793037983942,0.95793037983942,"genotype_num"
"371","Calm3","DC",-1.13905286145593,9.18559774484395,4.02143704666856,0.0866631255418518,0.95793037983942,0.95793037983942,"genotype_num"
"381","Hnrnpul1","DC",-0.798352196402303,9.43113679660783,2.54043058553576,0.156748077504577,0.95793037983942,0.95793037983942,"genotype_num"
"383","Sertad1","DC",1.33326521365313,8.54255713021303,3.1399833162819,0.121543209425484,0.95793037983942,0.95793037983942,"genotype_num"
"394","Cebpg","DC",1.55088252378861,8.78163605342653,2.94999270626514,0.13123138241563,0.95793037983942,0.95793037983942,"genotype_num"
"398","Fcgrt","DC",-2.14875973334595,8.66250216011885,3.99491361260596,0.0857953862456154,0.95793037983942,0.95793037983942,"genotype_num"
"400","Ppp1r15a","DC",0.843778717268247,9.84185388268976,3.40383473652276,0.109267222553835,0.95793037983942,0.95793037983942,"genotype_num"
"406","Mef2a","DC",-1.01943029098397,8.88904098455135,2.53632889696968,0.157064514645907,0.95793037983942,0.95793037983942,"genotype_num"
"419","Slco2b1","DC",6.46410195363841,8.15725004513106,10.7065750718588,0.0181385974372605,0.95793037983942,0.95793037983942,"genotype_num"
"421","Rab6a","DC",-1.39405855226535,8.56799749811534,2.88357157768122,0.134181250430702,0.95793037983942,0.95793037983942,"genotype_num"
"427","Dennd5a","DC",-1.00266298422459,9.07463721486476,3.01663124200072,0.12772561061439,0.95793037983942,0.95793037983942,"genotype_num"
"430","Psma1","DC",-1.14539160816067,8.72245632789223,2.94200168921604,0.131783310243184,0.95793037983942,0.95793037983942,"genotype_num"
"431","Igsf6","DC",1.40409382559342,9.2339474014732,5.31300900004825,0.0561155938183907,0.95793037983942,0.95793037983942,"genotype_num"
"432","Prkcb","DC",2.19214805205339,8.36761373691088,5.58601028075074,0.0509662444754647,0.95793037983942,0.95793037983942,"genotype_num"
"437","Spn","DC",-2.23681667569127,8.2407093638163,5.96712773698931,0.0447032272803164,0.95793037983942,0.95793037983942,"genotype_num"
"446","Ifitm6","DC",0.992709582282079,9.38441664534783,2.70485865417707,0.145415808316006,0.95793037983942,0.95793037983942,"genotype_num"
"453","Arhgef18","DC",-2.64476742294714,8.40726327475734,9.4259412130827,0.0180416627623853,0.95793037983942,0.95793037983942,"genotype_num"
"462","Zfp703","DC",1.4500432583775,8.6242947944291,4.23528414482897,0.0803483395446067,0.95793037983942,0.95793037983942,"genotype_num"
"469","Jund","DC",1.04642303956295,11.9475927481045,2.84582447243189,0.137158190807001,0.95793037983942,0.95793037983942,"genotype_num"
"473","Colgalt1","DC",-1.17884510498026,9.28233553715306,4.03933011250365,0.0861066444174792,0.95793037983942,0.95793037983942,"genotype_num"
"480","Pkn1","DC",0.997448333418033,9.16841893115269,3.15660664663048,0.120644998660932,0.95793037983942,0.95793037983942,"genotype_num"
"486","Man2b1","DC",-0.951690709911699,9.80702088775647,3.5325387868466,0.103970299670093,0.95793037983942,0.95793037983942,"genotype_num"
"491","Cbfb","DC",-1.24748814888171,9.14277548624504,4.88048292692118,0.0644710651394579,0.95793037983942,0.95793037983942,"genotype_num"
"493","Ist1","DC",-1.28686936916929,8.89344346455423,3.96786176849792,0.0882771048625057,0.95793037983942,0.95793037983942,"genotype_num"
"494","Cmip","DC",-1.09038021618387,8.93565349669897,3.02338345622474,0.127271361293742,0.95793037983942,0.95793037983942,"genotype_num"
"496","Cotl1","DC",-0.78829555734781,11.2359282148467,2.37195268284475,0.169102108472639,0.95793037983942,0.95793037983942,"genotype_num"
"505","Icam1","DC",-1.02195803045607,9.66672497273186,2.56385672890746,0.155134571326748,0.95793037983942,0.95793037983942,"genotype_num"
"557","Cited2","DC",1.74362653389022,9.28541823735563,7.98159812098858,0.026726142782538,0.95793037983942,0.95793037983942,"genotype_num"
"558","Tnfaip3","DC",-1.34617243314841,10.4068652844652,6.89249640367107,0.0353836325075658,0.95793037983942,0.95793037983942,"genotype_num"
"564","Lilrb4a","DC",1.91753999621148,9.11145295241387,5.17084347897156,0.0587211396489712,0.95793037983942,0.95793037983942,"genotype_num"
"592","Dusp6","DC",2.91878543588244,8.71594974669277,5.321882265573,0.0540410503799934,0.95793037983942,0.95793037983942,"genotype_num"
