"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Atp6v1h","DG-PIR Ex IMN",0.0625715773627066,8.97767284540444,0.0248007461337647,0.876373295866411,0.998831175142586,0.998831175142586,"genotype_num"
"3","Arfgef1","DG-PIR Ex IMN",0.706459282797306,8.63972295386377,1.99607527781783,0.17236116104667,0.998831175142586,0.998831175142586,"genotype_num"
"4","Stau2","DG-PIR Ex IMN",-0.459781958783888,8.70299439991409,1.06678510402434,0.313460488199695,0.998831175142586,0.998831175142586,"genotype_num"
"6","Lmbrd1","DG-PIR Ex IMN",-0.429241414013844,8.41114875561419,0.621989964655805,0.439151185684173,0.998831175142586,0.998831175142586,"genotype_num"
"7","Zfp451","DG-PIR Ex IMN",0.233828438937173,8.83787302710648,0.298779747552978,0.590426579507901,0.998831175142586,0.998831175142586,"genotype_num"
"8","Dst","DG-PIR Ex IMN",0.381095518597813,9.49849938522726,1.03781502378168,0.319942951406866,0.998831175142586,0.998831175142586,"genotype_num"
"9","Fam168b","DG-PIR Ex IMN",0.0879103449224573,9.78074934169655,0.0840663936906816,0.774706607742175,0.998831175142586,0.998831175142586,"genotype_num"
"10","Lman2l","DG-PIR Ex IMN",1.58503274156049,7.95332421123948,3.61563335499061,0.070616111359826,0.998831175142586,0.998831175142586,"genotype_num"
"11","Sema4c","DG-PIR Ex IMN",-0.399976325236689,8.76046923906773,0.727347001377535,0.403406109143469,0.998831175142586,0.998831175142586,"genotype_num"
"12","Actr1b","DG-PIR Ex IMN",0.201133555749784,8.21432140825912,0.0851303104251509,0.773329528882391,0.998831175142586,0.998831175142586,"genotype_num"
"14","Aff3","DG-PIR Ex IMN",0.445238574071912,8.36752336294632,0.516307095146623,0.480329640681078,0.998831175142586,0.998831175142586,"genotype_num"
"16","Pou3f3","DG-PIR Ex IMN",-0.320029664657904,10.0987918326979,1.11972808668646,0.302003686093245,0.998831175142586,0.998831175142586,"genotype_num"
"17","Nck2","DG-PIR Ex IMN",-0.810372150184407,8.66094595422815,3.08889072962118,0.0934632721687443,0.998831175142586,0.998831175142586,"genotype_num"
"18","Pgap1","DG-PIR Ex IMN",0.539605659387477,9.18903323023483,1.8226760670419,0.191396979610786,0.998831175142586,0.998831175142586,"genotype_num"
"19","Sf3b1","DG-PIR Ex IMN",0.276606773658175,9.97271821696936,0.829044416474087,0.372888012815814,0.998831175142586,0.998831175142586,"genotype_num"
"20","Hspd1","DG-PIR Ex IMN",0.216619036481382,8.43943730840304,0.14916003531361,0.703240999199362,0.998831175142586,0.998831175142586,"genotype_num"
"21","Bzw1","DG-PIR Ex IMN",-0.386635567857498,9.29897050981597,1.30310502127228,0.266521676254584,0.998831175142586,0.998831175142586,"genotype_num"
"22","Clk1","DG-PIR Ex IMN",-0.0517852414874839,9.83894436832744,0.0229159337164715,0.881121789676624,0.998831175142586,0.998831175142586,"genotype_num"
"23","Bmpr2","DG-PIR Ex IMN",-0.944888387815715,9.0390914574226,6.52858517076696,0.0184623061861599,0.998831175142586,0.998831175142586,"genotype_num"
"24","Fam117b","DG-PIR Ex IMN",0.320437066009284,8.68993834768842,0.497312185898584,0.488463727094448,0.998831175142586,0.998831175142586,"genotype_num"
"25","Abi2","DG-PIR Ex IMN",-0.621260809554582,8.71496084770824,1.81675930677069,0.192115263239535,0.998831175142586,0.998831175142586,"genotype_num"
"26","Nrp2","DG-PIR Ex IMN",0.465332292151699,8.38928244497618,0.52787963260361,0.475487818986515,0.998831175142586,0.998831175142586,"genotype_num"
"27","Eef1b2","DG-PIR Ex IMN",0.0802033464919016,8.88952571430562,0.0318524964609763,0.860068105260086,0.998831175142586,0.998831175142586,"genotype_num"
"28","Creb1","DG-PIR Ex IMN",0.963140209297899,8.57731536067864,2.84123860125458,0.106735796431537,0.998831175142586,0.998831175142586,"genotype_num"
"30","Map2","DG-PIR Ex IMN",-0.0412851561386592,10.3351699438227,0.0229323031866664,0.881079125324431,0.998831175142586,0.998831175142586,"genotype_num"
"31","Epha4","DG-PIR Ex IMN",0.352856088446466,10.2568996555984,1.39810071171386,0.250262866218418,0.998831175142586,0.998831175142586,"genotype_num"
"32","Cul3","DG-PIR Ex IMN",-0.471552348384529,8.98571164988135,1.14693694292369,0.296374561021191,0.998831175142586,0.998831175142586,"genotype_num"
