"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Xkr4","HPF CR Glut",0.311490959678542,7.05241691325678,0.240839162847785,0.628395262584969,0.991317324304436,0.991317324304436,"genotype_num"
"2","Atp6v1h","HPF CR Glut",-0.175179391842949,8.02086049177866,0.285771235960682,0.5982258033086,0.991317324304436,0.991317324304436,"genotype_num"
"3","Rb1cc1","HPF CR Glut",0.119219261952646,7.91542732895655,0.10662445661548,0.747061030491821,0.991317324304436,0.991317324304436,"genotype_num"
"4","Pcmtd1","HPF CR Glut",0.509913289577817,7.22880860500153,0.881732145763665,0.35778525264991,0.991317324304436,0.991317324304436,"genotype_num"
"5","Cspp1","HPF CR Glut",-0.496585784917772,7.72525095439923,1.88229545425563,0.183702771869639,0.991317324304436,0.991317324304436,"genotype_num"
"6","Arfgef1","HPF CR Glut",0.0791001699096908,8.02234865631875,0.054036937649981,0.818299083573848,0.991317324304436,0.991317324304436,"genotype_num"
"7","Ncoa2","HPF CR Glut",-0.218197225376986,8.34369230297616,0.513557949161156,0.481030152206038,0.991317324304436,0.991317324304436,"genotype_num"
"8","Eya1","HPF CR Glut",0.43896603103347,7.83959832690304,1.52040823468705,0.230381717676423,0.991317324304436,0.991317324304436,"genotype_num"
"9","Kcnb2","HPF CR Glut",0.303161373959469,8.95153069711079,1.06903400847564,0.312229238544731,0.991317324304436,0.991317324304436,"genotype_num"
"11","Stau2","HPF CR Glut",-0.0966815034082823,7.49985977983306,0.060935090462613,0.807280331480609,0.991317324304436,0.991317324304436,"genotype_num"
"12","Ube2w","HPF CR Glut",-0.379331438328437,7.44739158046578,0.937581966333618,0.34327660938241,0.991317324304436,0.991317324304436,"genotype_num"
"13","Gdap1","HPF CR Glut",0.198013245279445,7.01918506966047,0.119376326810515,0.732950255356343,0.991317324304436,0.991317324304436,"genotype_num"
"14","Tram2","HPF CR Glut",-0.104894247006634,7.62667758289893,0.0572939910061636,0.813008807249844,0.991317324304436,0.991317324304436,"genotype_num"
"15","Kcnq5","HPF CR Glut",0.24229091999178,7.87754905103149,0.416013852313857,0.52550478824711,0.991317324304436,0.991317324304436,"genotype_num"
"16","Rims1","HPF CR Glut",0.582782927296385,8.12110356459664,3.13719697474003,0.090173527696003,0.991317324304436,0.991317324304436,"genotype_num"
"18","Phf3","HPF CR Glut",0.0737278974238833,7.82876815083874,0.0334641928513817,0.856502054765362,0.991317324304436,0.991317324304436,"genotype_num"
"19","Khdrbs2","HPF CR Glut",0.257254086568284,7.62867820853387,0.342714936573645,0.564137252913479,0.991317324304436,0.991317324304436,"genotype_num"
"20","Rab23","HPF CR Glut",1.38393804014562,6.80737172905464,4.46035106214191,0.0461374301421852,0.991317324304436,0.991317324304436,"genotype_num"
"21","Zfp451","HPF CR Glut",-0.413140417456196,7.64216651625444,1.33068488003588,0.260883213143364,0.991317324304436,0.991317324304436,"genotype_num"
"22","Dst","HPF CR Glut",0.0727654281685965,10.0831525038631,0.103731001706198,0.750392243182276,0.991317324304436,0.991317324304436,"genotype_num"
"24","Fam168b","HPF CR Glut",0.165171527087303,7.75924737196714,0.212922758548926,0.648949785814877,0.991317324304436,0.991317324304436,"genotype_num"
"25","Plekhb2","HPF CR Glut",-0.103332578198364,8.02005468656132,0.0802022131785075,0.779632256628066,0.991317324304436,0.991317324304436,"genotype_num"
"26","Hs6st1","HPF CR Glut",-0.277040816671343,7.41639426519282,0.413443526573128,0.526778020117356,0.991317324304436,0.991317324304436,"genotype_num"
"28","Kansl3","HPF CR Glut",0.641597627872722,7.70322919366936,2.75367851874155,0.111014205308587,0.991317324304436,0.991317324304436,"genotype_num"
"30","Cnnm4","HPF CR Glut",-0.971142941761242,6.89014375702247,3.51512226228193,0.0739765876156653,0.991317324304436,0.991317324304436,"genotype_num"
"31","Cnnm3","HPF CR Glut",-0.618119163026626,7.98491131139068,3.12150381591845,0.0909320193507099,0.991317324304436,0.991317324304436,"genotype_num"
"32","Cox5b","HPF CR Glut",0.41671192577977,7.0675169433319,0.51169635144143,0.481828740449424,0.991317324304436,0.991317324304436,"genotype_num"
"33","Actr1b","HPF CR Glut",-0.658210559939796,7.99444780156705,4.40806387361554,0.0472840841380226,0.991317324304436,0.991317324304436,"genotype_num"
"34","Tmem131","HPF CR Glut",0.271539385470349,8.31769461273871,0.565645564136016,0.459847900041728,0.991317324304436,0.991317324304436,"genotype_num"
"35","Inpp4a","HPF CR Glut",-0.462213273131327,8.12843942005663,1.95434060315714,0.175851497285453,0.991317324304436,0.991317324304436,"genotype_num"
"38","Tbc1d8","HPF CR Glut",-0.431271914011356,6.99098785885606,0.653834074298333,0.427295683191861,0.991317324304436,0.991317324304436,"genotype_num"
"39","Rnf149","HPF CR Glut",0.0835933040856174,7.28626431010951,0.0392378464287628,0.84477203455464,0.991317324304436,0.991317324304436,"genotype_num"
"40","Map4k4","HPF CR Glut",0.904633385938482,7.66188518240841,4.96692956495248,0.0362123575788683,0.991317324304436,0.991317324304436,"genotype_num"
"41","Tpp2","HPF CR Glut",0.622468883910512,7.43747113229821,1.96273676365801,0.174972700074094,0.991317324304436,0.991317324304436,"genotype_num"
"42","Slc39a10","HPF CR Glut",-0.23021318954129,7.73582154398783,0.412133490406613,0.527424953462335,0.991317324304436,0.991317324304436,"genotype_num"
"43","Gls","HPF CR Glut",-0.599624353008146,8.12876528443642,3.57635394624792,0.0716499572946536,0.991317324304436,0.991317324304436,"genotype_num"
"44","Mfsd6","HPF CR Glut",-0.414889066042882,7.40401035488429,0.802972603830386,0.379768227431377,0.991317324304436,0.991317324304436,"genotype_num"
"45","Inpp1","HPF CR Glut",-0.175003914684119,7.54558981346563,0.154649331931726,0.697861577790754,0.991317324304436,0.991317324304436,"genotype_num"
"46","Hecw2","HPF CR Glut",-0.843388754511482,7.38278763422467,4.11793273940434,0.0545224714732927,0.991317324304436,0.991317324304436,"genotype_num"
"47","Gtf3c3","HPF CR Glut",0.10506859143171,6.84464708011657,0.0361384380924661,0.850951077964914,0.991317324304436,0.991317324304436,"genotype_num"
"48","Pgap1","HPF CR Glut",-0.349253767447534,7.30878956033969,0.679897820237389,0.41835019582661,0.991317324304436,0.991317324304436,"genotype_num"
"50","Mob4","HPF CR Glut",-0.268658390070758,7.2484451162383,0.308129715428961,0.584352943666257,0.991317324304436,0.991317324304436,"genotype_num"
"51","Bzw1","HPF CR Glut",-0.749266062205507,7.55143305365725,3.6012711306406,0.0707424276352479,0.991317324304436,0.991317324304436,"genotype_num"
"52","Clk1","HPF CR Glut",0.201652956586118,9.98900080584771,0.740170707055658,0.39874652723691,0.991317324304436,0.991317324304436,"genotype_num"
"53","Fam126b","HPF CR Glut",0.186077405820106,6.98654458387288,0.134594820581867,0.717173858801892,0.991317324304436,0.991317324304436,"genotype_num"
"54","Sumo1","HPF CR Glut",-0.46778038268919,6.98308617791228,0.862379038973868,0.363011987033948,0.991317324304436,0.991317324304436,"genotype_num"
"55","Bmpr2","HPF CR Glut",-0.549880871101396,8.21788423605688,2.81947505572977,0.107064815160671,0.991317324304436,0.991317324304436,"genotype_num"
"56","Fam117b","HPF CR Glut",-0.256728550726633,7.5020538783338,0.376653361319823,0.545606257849602,0.991317324304436,0.991317324304436,"genotype_num"
"57","Nbeal1","HPF CR Glut",0.357300838471332,7.87692228150399,0.864851540533207,0.362331075055397,0.991317324304436,0.991317324304436,"genotype_num"
"58","Abi2","HPF CR Glut",-0.335074286731105,7.96855784499164,0.920417629035897,0.347638186346094,0.991317324304436,0.991317324304436,"genotype_num"
