"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"265","Cops9","IT-ET Glut",0.944910520932696,7.56667489989831,22.5690484004101,0.000568260983803697,0.522711594861676,0.522711594861676,"genotype_num"
"1500","Kcnab1","IT-ET Glut",0.814487261984089,7.85560719964093,21.1100459730901,0.00073448874411525,0.522711594861676,0.522711594861676,"genotype_num"
"1942","Vcp","IT-ET Glut",0.699748829882805,8.00123793718128,20.4760288096004,0.000824270806209575,0.522711594861676,0.522711594861676,"genotype_num"
"2319","Rsrp1","IT-ET Glut",-0.821383151095749,8.79614127947859,22.3280585834728,0.000592360425903466,0.522711594861676,0.522711594861676,"genotype_num"
"2862","Pebp1","IT-ET Glut",0.75848531950852,7.44428177390282,18.6086708172517,0.00117490023656523,0.522711594861676,0.522711594861676,"genotype_num"
"2887","Aldh2","IT-ET Glut",0.815851523734908,6.33567906397858,17.4850739181643,0.00147118441743582,0.522711594861676,0.522711594861676,"genotype_num"
"3046","Sun1","IT-ET Glut",-0.689905552969517,6.79166583486612,17.3347581995475,0.0015170772869284,0.522711594861676,0.522711594861676,"genotype_num"
"3145","Ndufa4","IT-ET Glut",0.761772431606826,7.45187342194275,19.8198450021919,0.000931211647625729,0.522711594861676,0.522711594861676,"genotype_num"
"3239","Pdia4","IT-ET Glut",0.895126110202171,6.15463862777063,17.5534809707205,0.00145092934651393,0.522711594861676,0.522711594861676,"genotype_num"
"3596","Arntl2","IT-ET Glut",-0.936798904073802,5.74475453093238,19.6521133488453,0.00096143271937608,0.522711594861676,0.522711594861676,"genotype_num"
"4648","Prdx2","IT-ET Glut",0.723144048111982,7.53747404613028,18.1437530029669,0.00128797770204045,0.522711594861676,0.522711594861676,"genotype_num"
"4807","Cdh13","IT-ET Glut",-1.67451339744194,5.33296313324916,27.376510523502,0.000263437406274788,0.522711594861676,0.522711594861676,"genotype_num"
"5123","Arid3b","IT-ET Glut",-1.51300075671658,4.04416735786221,18.7813004022894,0.00114314062642383,0.522711594861676,0.522711594861676,"genotype_num"
"5315","Abhd14a","IT-ET Glut",-0.893479110737439,5.92701460833197,17.6390572090171,0.0014260170688965,0.522711594861676,0.522711594861676,"genotype_num"
"5426","Cck","IT-ET Glut",0.794617279902276,9.80296845555645,19.1371462163103,0.00106024426771351,0.522711594861676,0.522711594861676,"genotype_num"
"5920","Myl6","IT-ET Glut",1.29777061239338,5.39559102490132,18.8467557784851,0.00112232504301586,0.522711594861676,0.522711594861676,"genotype_num"
"6151","Zfp692","IT-ET Glut",-1.08333514889998,5.7254780541638,21.59864094591,0.00067337235042963,0.522711594861676,0.522711594861676,"genotype_num"
"6777","Ywhaq","IT-ET Glut",1.01952052355397,6.86309049409436,21.5966720163759,0.000673399509469605,0.522711594861676,0.522711594861676,"genotype_num"
"7036","Tunar","IT-ET Glut",1.43757056466561,4.7130187846773,18.3921638434774,0.00123337248945704,0.522711594861676,0.522711594861676,"genotype_num"
"7052","Dlk1","IT-ET Glut",-2.47503483964097,4.3989184658925,20.3451796300178,0.000850652549960485,0.522711594861676,0.522711594861676,"genotype_num"
"7305","Uqcrb","IT-ET Glut",1.10813869704856,6.05331289734469,22.4890024803368,0.000576287867800058,0.522711594861676,0.522711594861676,"genotype_num"
"7525","Selenok","IT-ET Glut",0.765448340313682,6.70059436897389,18.027917164272,0.00131820635655232,0.522711594861676,0.522711594861676,"genotype_num"
"7888","Csmd3","IT-ET Glut",-0.835015455925544,6.10787252179438,18.5816043264745,0.00118136010876487,0.522711594861676,0.522711594861676,"genotype_num"
"7911","Ndufb9","IT-ET Glut",0.745062748416152,7.22513965456606,17.9427924828318,0.00134083593137306,0.522711594861676,0.522711594861676,"genotype_num"
"8070","Efcab6","IT-ET Glut",-1.20773613567558,4.85355042552733,22.1168598830431,0.000615554162856999,0.522711594861676,0.522711594861676,"genotype_num"
"8322","Abcc5","IT-ET Glut",-0.739191328603864,8.3875996477575,20.8922637358384,0.000763955820971918,0.522711594861676,0.522711594861676,"genotype_num"
"8487","Sod1","IT-ET Glut",0.846987912001886,7.08544232789292,23.0607371527308,0.000522562243858966,0.522711594861676,0.522711594861676,"genotype_num"
"8671","Uqcc2","IT-ET Glut",0.955523609013874,6.85799567033474,24.5432498366093,0.000408845700399196,0.522711594861676,0.522711594861676,"genotype_num"
"9370","Snx15","IT-ET Glut",1.11757472787133,5.65839222811506,20.4118662820049,0.000834477063508641,0.522711594861676,0.522711594861676,"genotype_num"
"8505","Atp5o","IT-ET Glut",0.698743143028062,7.55507511378756,17.1115963060463,0.00158844884689243,0.529059362604971,0.529059362604971,"genotype_num"
"2288","Atpif1","IT-ET Glut",0.706346910048663,6.91097139183845,15.8689844741013,0.00206751156783588,0.546331590033367,0.546331590033367,"genotype_num"
"2715","Paics","IT-ET Glut",1.59344287931366,4.49893715961799,16.1655764047686,0.00194526477640042,0.546331590033367,0.546331590033367,"genotype_num"
"3317","Tmsb10","IT-ET Glut",1.0839006346266,7.63486626117416,16.7699306565201,0.0017056953424232,0.546331590033367,0.546331590033367,"genotype_num"
"5002","Nrgn","IT-ET Glut",0.590015848117068,10.7675586333419,15.90748353521,0.00205016019822396,0.546331590033367,0.546331590033367,"genotype_num"
"5011","Hspa8","IT-ET Glut",0.606433141145908,9.43911364020559,15.8853122132882,0.00206005156849096,0.546331590033367,0.546331590033367,"genotype_num"
"6563","Dcakd","IT-ET Glut",1.24607805448635,5.54277994532968,15.9690037390947,0.00202413463336903,0.546331590033367,0.546331590033367,"genotype_num"
"6990","Ahsa1","IT-ET Glut",0.679000726739268,7.59712509198261,15.8461636494025,0.00207772221990272,0.546331590033367,0.546331590033367,"genotype_num"
"7858","Cox6c","IT-ET Glut",0.95564992273774,6.13726859914031,16.2304532023742,0.00191268352287229,0.546331590033367,0.546331590033367,"genotype_num"
"63","Cox5b","IT-ET Glut",0.819479647207059,7.43390158764141,12.7985835977321,0.00421191922605579,0.556786812557344,0.556786812557344,"genotype_num"
