"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"3909","Fus","MOL",-1.99805926446877,7.05143288085779,612.602043460035,4.41221764860202e-10,4.05041580141665e-06,4.05041580141665e-06,"genotype_num"
"5984","Cnp","MOL",-0.983253073666615,12.1606199050781,267.534873413899,2.23366164140753e-08,0.000102525069340605,0.000102525069340605,"genotype_num"
"1439","Gba","MOL",1.0569362908665,6.01671470307079,109.13487006091,1.37997099878969e-06,0.00422271125629646,0.00422271125629646,"genotype_num"
"1597","Amy1","MOL",-1.07598423330605,5.18286241108179,82.9886506665961,4.64673585255517e-06,0.00853140702529129,0.00853140702529129,"genotype_num"
"4462","Abcb10","MOL",-0.905725906951638,5.44902883312568,86.1783731453361,3.93796035033136e-06,0.00853140702529129,0.00853140702529129,"genotype_num"
"708","Gsn","MOL",0.579576351789579,10.2940355794411,73.1151095859793,8.06389518482454e-06,0.00944076553008562,0.00944076553008562,"genotype_num"
"2342","Garem2","MOL",1.49338406184514,4.21501583365108,75.7209106632139,6.93157220146167e-06,0.00944076553008562,0.00944076553008562,"genotype_num"
"6589","Mboat1","MOL",-0.882488182611109,6.61394431301553,72.7768177608932,8.22724664931209e-06,0.00944076553008562,0.00944076553008562,"genotype_num"
"3707","Abhd17c","MOL",-0.75333502779644,5.50474107065424,67.6399487404078,1.12754129233699e-05,0.00970358418243048,0.00970358418243048,"genotype_num"
"4757","Anxa2","MOL",1.62828903580081,4.14030732702101,64.5861992581367,1.37414590818732e-05,0.00970358418243048,0.00970358418243048,"genotype_num"
"5732","Cd68","MOL",-8.56915003913151,2.10019613575392,136.112483589942,1.08728987194877e-05,0.00970358418243048,0.00970358418243048,"genotype_num"
"7595","Serpind1","MOL",-0.949646447764458,5.10466958720841,64.6092323006083,1.37176014799715e-05,0.00970358418243048,0.00970358418243048,"genotype_num"
"8133","Kif6","MOL",-0.788646029996141,5.31678161129348,65.4118733171369,1.30133618539855e-05,0.00970358418243048,0.00970358418243048,"genotype_num"
"4125","Aga","MOL",0.956299514680665,5.11991364002716,57.5339116963662,2.24171424865338e-05,0.0114407992128282,0.0114407992128282,"genotype_num"
"7508","Sp7","MOL",1.33574342258013,5.54189177576553,57.5240020567239,2.24329396329964e-05,0.0114407992128282,0.0114407992128282,"genotype_num"
"7518","Hnrnpa1","MOL",0.556266755736942,6.92516061992909,58.3280774037159,2.11593371807743e-05,0.0114407992128282,0.0114407992128282,"genotype_num"
"7707","Igsf11","MOL",0.678135773660696,7.68620970284666,60.5167318995334,1.8112199065642e-05,0.0114407992128282,0.0114407992128282,"genotype_num"
"7721","Abhd10","MOL",-0.935399612654943,4.64284319994017,57.883383174667,2.18544120408417e-05,0.0114407992128282,0.0114407992128282,"genotype_num"
"2960","Dennd2a","MOL",-0.955552007377943,5.34662580970032,54.2637732118189,2.86417665871005e-05,0.0125205436795039,0.0125205436795039,"genotype_num"
"3522","Alkbh6","MOL",0.730621077990146,5.45089668442966,55.3192943151202,2.64267326854012e-05,0.0125205436795039,0.0125205436795039,"genotype_num"
"5231","Gamt","MOL",0.687851437443861,8.16557301330089,54.6552214969262,2.7793742902172e-05,0.0125205436795039,0.0125205436795039,"genotype_num"
"3395","Pnmal2","MOL",-0.865683588625681,4.58623905877173,52.7317740990755,3.22697711198603e-05,0.0134652954036508,0.0134652954036508,"genotype_num"
"3494","Lgals4","MOL",-1.90562876874883,3.02715217034104,50.3088020900755,3.92966898565422e-05,0.0150219778628339,0.0150219778628339,"genotype_num"
"6313","Mdga2","MOL",-0.58100695019023,6.38230778042158,49.792128951213,4.09095257702448e-05,0.0150219778628339,0.0150219778628339,"genotype_num"
"7082","Pdlim2","MOL",0.632727230133176,8.05176784438236,50.7664541932011,3.77655506066451e-05,0.0150219778628339,0.0150219778628339,"genotype_num"
"530","Sec61a2","MOL",-0.615676573713944,5.99620425516185,48.1822593329274,4.68268577544837e-05,0.0159211316365245,0.0159211316365245,"genotype_num"
"5041","Ahi1","MOL",-0.664643697717713,5.28938583080881,48.305055448525,4.63427476542986e-05,0.0159211316365245,0.0159211316365245,"genotype_num"
"781","Slc25a12","MOL",-0.691919314544882,6.27021609459543,46.8250884376777,5.26333383514077e-05,0.0161058015355308,0.0161058015355308,"genotype_num"
"1036","Bmp2","MOL",-1.31922874831737,3.81098264825161,47.5455292225621,4.94634012249607e-05,0.0161058015355308,0.0161058015355308,"genotype_num"
"7348","Csnk1e","MOL",-0.533069270371423,6.99294696746499,46.9333294275019,5.2139259892839e-05,0.0161058015355308,0.0161058015355308,"genotype_num"
"1092","Dusp15","MOL",0.683714254517682,7.55838889885927,45.8416807252124,5.7388855456285e-05,0.0169945062286676,0.0169945062286676,"genotype_num"
"338","Tnni1","MOL",-1.06405354780711,6.81117601070098,44.7447685037221,6.33203392367131e-05,0.0178695090753431,0.0178695090753431,"genotype_num"
"1522","Polr3c","MOL",1.03092893441348,4.28081441569066,44.021901373201,6.76438113382043e-05,0.0178695090753431,0.0178695090753431,"genotype_num"
"4144","Tma16","MOL",-0.862060767945589,4.93889674454246,43.97053736044,6.79599050964986e-05,0.0178695090753431,0.0178695090753431,"genotype_num"
"6687","Spock1","MOL",1.10160565469356,8.71529840591777,43.9426248729697,6.81299365617655e-05,0.0178695090753431,0.0178695090753431,"genotype_num"
