"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1163","Cst7","Microglia",5.91072936423846,8.13404380370361,688.111703857332,2.45979283658441e-10,2.41453264839126e-06,2.41453264839126e-06,"genotype_num"
"298","Cxcr4","Microglia",5.29100102547764,3.22294566879065,370.81867174443,4.50247053986252e-09,1.39947888093317e-05,1.39947888093317e-05,"genotype_num"
"3676","Axl","Microglia",3.94769036205176,6.03276485686124,347.723564205819,6.35437103036017e-09,1.39947888093317e-05,1.39947888093317e-05,"genotype_num"
"5150","Chst2","Microglia",3.41410715946149,3.90707682126582,339.542489312038,7.12855990695382e-09,1.39947888093317e-05,1.39947888093317e-05,"genotype_num"
"9522","Cybb","Microglia",4.33327305407525,3.80012140024296,393.4031330182,3.59673659554139e-09,1.39947888093317e-05,1.39947888093317e-05,"genotype_num"
"9307","Psat1","Microglia",1.73597203455944,5.2774416549448,324.61013169342,8.79443764652837e-09,1.43876999897204e-05,1.43876999897204e-05,"genotype_num"
"3351","Bhlhe40","Microglia",10.2098361394751,3.31646315485542,230.705503898981,1.19831935188689e-08,1.6803861083031e-05,1.6803861083031e-05,"genotype_num"
"4170","Itgax","Microglia",3.15570419388946,5.67403761000818,261.726935241973,2.4241773854963e-08,2.17114737643447e-05,2.17114737643447e-05,"genotype_num"
"5712","Lyz2","Microglia",1.77931351963424,7.60548985692775,275.06738634881,1.91904591976305e-08,2.17114737643447e-05,2.17114737643447e-05,"genotype_num"
"6279","Wfdc17","Microglia",4.8850270756001,2.92854961001254,260.689248322291,2.43302986356756e-08,2.17114737643447e-05,2.17114737643447e-05,"genotype_num"
"6732","Egln3","Microglia",3.81022329988769,4.2608650257534,265.350573266962,2.28114622137858e-08,2.17114737643447e-05,2.17114737643447e-05,"genotype_num"
"5647","Igf1","Microglia",6.49619983136606,4.64789541849402,249.64726733216,3.18293429174847e-08,2.60364025065025e-05,2.60364025065025e-05,"genotype_num"
"5549","Bsg","Microglia",0.884425371277922,7.39978804217154,200.197526427325,8.4749709822909e-08,6.39925501247442e-05,6.39925501247442e-05,"genotype_num"
"7715","Ank","Microglia",2.02950481907886,7.78748860630678,192.108980924181,1.02634095461346e-07,7.19611629320406e-05,7.19611629320406e-05,"genotype_num"
"2258","Cd52","Microglia",1.67474928214219,8.03400633636731,183.751483451396,1.26125267714621e-07,8.12449069803743e-05,8.12449069803743e-05,"genotype_num"
"4431","Lpl","Microglia",3.8743296258345,6.864038204688,181.828265499553,1.32428536235329e-07,8.12449069803743e-05,8.12449069803743e-05,"genotype_num"
"624","Etl4","Microglia",6.66278452194768,3.82885783907435,172.157852729539,1.49383867461059e-07,8.45974613595423e-05,8.45974613595423e-05,"genotype_num"
