"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"47","Ptprn","T cells",12.151381671974,8.8961843131796,18.1162412454568,0.00238013275519388,0.537746409932054,0.537746409932054,"genotype_num"
"184","Arhgap15","T cells",-2.1979911428771,8.3973269230632,21.305617237319,0.000663127350048038,0.537746409932054,0.537746409932054,"genotype_num"
"258","Blcap","T cells",6.97167326246965,7.66881350612872,16.1542742047214,0.00220714386788817,0.537746409932054,0.537746409932054,"genotype_num"
"325","Lmna","T cells",12.4724294367302,7.7266253739841,16.0218978716939,0.00223396099074458,0.537746409932054,0.537746409932054,"genotype_num"
"328","Ssr2","T cells",3.2319841614632,7.84165670215415,18.0031874704688,0.00103199557107559,0.537746409932054,0.537746409932054,"genotype_num"
"348","Ctss","T cells",-2.49146101731305,9.16047146217691,14.9812708506446,0.00239966600993755,0.537746409932054,0.537746409932054,"genotype_num"
"687","Nap1l5","T cells",11.1216231725839,8.57344990733595,18.3441234710643,0.00226864264695371,0.537746409932054,0.537746409932054,"genotype_num"
"832","Ptov1","T cells",8.43162271389436,7.8386440076035,16.4854162477976,0.001978240330192,0.537746409932054,0.537746409932054,"genotype_num"
"905","Sez6l2","T cells",13.2332806040442,8.12909915570405,26.9407324120141,0.000674504949400193,0.537746409932054,0.537746409932054,"genotype_num"
"1180","Cited2","T cells",-1.9910314486021,8.74825281409908,17.4272347758863,0.00140720143208367,0.537746409932054,0.537746409932054,"genotype_num"
"1858","Pi4ka","T cells",2.18835394676825,8.34151821636673,14.5313942531782,0.00261966807318538,0.537746409932054,0.537746409932054,"genotype_num"
"1908","Qk","T cells",-1.70991769188192,8.26567647250266,13.0460160240077,0.00379112048012597,0.713362503677036,0.713362503677036,"genotype_num"
"6","Lmbrd1","T cells",1.44486278295312,7.96235227299637,4.43855446299588,0.0577828597775654,0.874771144053743,0.874771144053743,"genotype_num"
"15","Inpp4a","T cells",2.00761545215451,7.82854480352178,4.16408810339787,0.0640872261156549,0.874771144053743,0.874771144053743,"genotype_num"
"32","Hspe1","T cells",1.70306389302999,7.88054161695003,5.75116725454993,0.0341153676788478,0.874771144053743,0.874771144053743,"genotype_num"
"51","Agfg1","T cells",-0.917861465660351,8.82741104558577,4.44268309362558,0.0576715646698403,0.874771144053743,0.874771144053743,"genotype_num"
"77","Cxcr4","T cells",-1.08074574456058,10.1486977061213,5.21274155377733,0.0422153803932966,0.874771144053743,0.874771144053743,"genotype_num"
"81","Mdm4","T cells",-1.02270338249765,8.16618340118464,4.28907103803722,0.0616025404536268,0.874771144053743,0.874771144053743,"genotype_num"
"95","Ivns1abp","T cells",-0.935653279966715,9.25190330238352,4.08696861886514,0.067017345665044,0.874771144053743,0.874771144053743,"genotype_num"
"96","Fam129a","T cells",-1.17354878099372,7.88506238237721,3.53301780616369,0.0856134363928345,0.874771144053743,0.874771144053743,"genotype_num"
"104","Rabgap1l","T cells",-0.883863221650462,8.84520255441842,4.74569748127456,0.0509278352579438,0.874771144053743,0.874771144053743,"genotype_num"
