"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"2311","Apoc1","CHOR",3.11937259933998,5.41791074862313,28.4303970063929,0.000134933435661463,0.850350511538537,0.850350511538537,"genotype_num"
"1","Lypla1","CHOR",-0.258474534994697,7.21352559271174,0.477580812252001,0.504666711032722,0.9996512259897,0.9996512259897,"genotype_num"
"2","Tcea1","CHOR",-0.121539581296853,7.555264512324,0.160129612117708,0.697131691494382,0.9996512259897,0.9996512259897,"genotype_num"
"3","Atp6v1h","CHOR",0.0111869444610912,7.65827337449622,0.00165813657473622,0.968289851403256,0.9996512259897,0.9996512259897,"genotype_num"
"4","Rb1cc1","CHOR",0.333944125560183,5.95040675706976,0.451954303887591,0.515923687893657,0.9996512259897,0.9996512259897,"genotype_num"
"5","Pcmtd1","CHOR",0.440211639907612,6.6875002123791,1.46112475893138,0.253591590016012,0.9996512259897,0.9996512259897,"genotype_num"
"6","Adhfe1","CHOR",-0.21904056487934,5.05395279628932,0.156011031644124,0.700544433238978,0.9996512259897,0.9996512259897,"genotype_num"
"7","Vcpip1","CHOR",0.425383070391761,5.07142535269901,0.373833654238588,0.553844028343339,0.9996512259897,0.9996512259897,"genotype_num"
"8","Sgk3","CHOR",-0.535198431784175,7.79302920621344,3.92501667643957,0.0746089020555427,0.9996512259897,0.9996512259897,"genotype_num"
"9","Cops5","CHOR",-0.165414314263831,7.43138687573765,0.345064515147387,0.56946415344779,0.9996512259897,0.9996512259897,"genotype_num"
"10","Arfgef1","CHOR",0.00109264953413524,6.73394160854412,9.7303633755236e-06,0.99757027179507,0.9996512259897,0.9996512259897,"genotype_num"
"11","Sulf1","CHOR",0.183703405479258,9.2357186381535,0.255812694178921,0.623547899709101,0.9996512259897,0.9996512259897,"genotype_num"
"12","Ncoa2","CHOR",-0.0741719486051076,5.96130454450636,0.0342982768172593,0.856635774677139,0.9996512259897,0.9996512259897,"genotype_num"
"13","Tram1","CHOR",0.66444819745569,7.84509103210155,4.17516049346109,0.067176325056777,0.9996512259897,0.9996512259897,"genotype_num"
"14","Lactb2","CHOR",-0.0149169118955518,6.49494567999441,0.00160451578919116,0.968808415612781,0.9996512259897,0.9996512259897,"genotype_num"
"15","Rdh10","CHOR",-0.0232975028446077,6.26847704946677,0.000970075045361517,0.97574406220826,0.9996512259897,0.9996512259897,"genotype_num"
"16","Stau2","CHOR",0.613220290082172,5.92842981236547,2.14477885973204,0.172656372653451,0.9996512259897,0.9996512259897,"genotype_num"
"17","Ube2w","CHOR",0.256016362705987,6.28907816398922,0.381113628958118,0.550321352507084,0.9996512259897,0.9996512259897,"genotype_num"
"18","Eloc","CHOR",-0.330685900508978,6.37693390516728,0.641079923322408,0.441264316953366,0.9996512259897,0.9996512259897,"genotype_num"
"19","Tmem70","CHOR",-0.0543033632096822,6.34948656174695,0.0206125968791056,0.888590107844308,0.9996512259897,0.9996512259897,"genotype_num"
"20","Jph1","CHOR",-0.81944702233756,5.23062280865105,1.54125126856031,0.241496329062796,0.9996512259897,0.9996512259897,"genotype_num"
"21","Efhc1","CHOR",-0.635836102874001,6.02261668624381,2.64715523515231,0.133494819487884,0.9996512259897,0.9996512259897,"genotype_num"
"22","Smap1","CHOR",-0.26741129417133,5.33519403062638,0.37301480870426,0.554303743377915,0.9996512259897,0.9996512259897,"genotype_num"
"23","Sdhaf4","CHOR",-0.555090936621931,6.82039612432924,2.85236660428664,0.120988341759534,0.9996512259897,0.9996512259897,"genotype_num"
"24","Fam135a","CHOR",0.242767353651797,5.02997759797605,0.270737766023681,0.613486801216788,0.9996512259897,0.9996512259897,"genotype_num"
"25","Lmbrd1","CHOR",0.164962025156664,7.97762012514839,0.295339796135825,0.598265973542068,0.9996512259897,0.9996512259897,"genotype_num"
"26","Phf3","CHOR",0.207938646303633,5.33246853120655,0.179725893859173,0.680238332800176,0.9996512259897,0.9996512259897,"genotype_num"
"27","Zfp451","CHOR",0.00703626440667198,5.11812102054413,0.000236863618894189,0.988004068739847,0.9996512259897,0.9996512259897,"genotype_num"
"28","Imp4","CHOR",0.73466050965184,5.40475494904657,2.57314981031827,0.137859317955598,0.9996512259897,0.9996512259897,"genotype_num"
"29","Fam168b","CHOR",-0.337060616251965,6.10300829679858,0.910644191180174,0.361610919639993,0.9996512259897,0.9996512259897,"genotype_num"
"30","Plekhb2","CHOR",0.10606386369385,8.77313633959873,0.161144987043258,0.696220933714538,0.9996512259897,0.9996512259897,"genotype_num"
"31","Hs6st1","CHOR",0.598225898622266,5.5050180388608,1.70220480368499,0.219918120551958,0.9996512259897,0.9996512259897,"genotype_num"
"32","Uggt1","CHOR",0.409319836849191,6.08533378878384,0.859652384180187,0.37490767777389,0.9996512259897,0.9996512259897,"genotype_num"
