"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"962","Ccl3","DC",3.2823174546158,10.1951149690207,45.7932687913021,3.5519831012526e-05,0.053954623308027,0.053954623308027,"genotype_num"
"288","Cd72","DC",3.92219359080063,8.67258238356363,23.9899481272427,0.00042025074349465,0.173211529579051,0.173211529579051,"genotype_num"
"718","Maf","DC",5.38841816327771,8.35677701668013,21.6021477394203,0.000480760649463109,0.173211529579051,0.173211529579051,"genotype_num"
"1066","Hist1h1e","DC",-2.69329359608815,8.6172865633176,26.9749824627086,0.000323571123356621,0.173211529579051,0.173211529579051,"genotype_num"
"1326","Tubb5","DC",-2.81507797032922,9.09991840462518,23.343805536023,0.000570149866948818,0.173211529579051,0.173211529579051,"genotype_num"
"162","Thbs1","DC",4.35228078969915,10.0986248123531,13.6007269729301,0.00374157706310246,0.35521597242829,0.35521597242829,"genotype_num"
"555","Apoe","DC",3.90950054041303,13.3771547233332,15.6140581891261,0.00238255445121004,0.35521597242829,0.35521597242829,"genotype_num"
"605","Slco2b1","DC",5.81177716224537,7.93842834618181,15.4864171548403,0.00197490807473713,0.35521597242829,0.35521597242829,"genotype_num"
"682","Colgalt1","DC",-1.87648625425483,8.67262090248481,15.4416283253243,0.0024320053369296,0.35521597242829,0.35521597242829,"genotype_num"
"894","H2afv","DC",-2.54886158849401,8.18943039581351,14.1283947371439,0.00322503832171105,0.35521597242829,0.35521597242829,"genotype_num"
"1014","Rhob","DC",1.99854909369398,9.77307851047543,15.8124199277074,0.00229882954473819,0.35521597242829,0.35521597242829,"genotype_num"
"1078","Gadd45g","DC",5.33185965826081,7.66502331484922,12.8490626297381,0.00371732053836663,0.35521597242829,0.35521597242829,"genotype_num"
"1220","Bin2","DC",2.03128891225623,9.42111980640949,15.2166846712865,0.00260652787773518,0.35521597242829,0.35521597242829,"genotype_num"
"1371","Cd14","DC",1.88603211207084,10.9870456775659,14.7941388707793,0.00285052886950836,0.35521597242829,0.35521597242829,"genotype_num"
"1432","Ms4a6d","DC",2.6775081392691,8.37204272266159,14.814392804424,0.00282065072304316,0.35521597242829,0.35521597242829,"genotype_num"
"1463","Plp2","DC",-1.64844252529741,8.70629013580273,14.0419064165507,0.00338865412309481,0.35521597242829,0.35521597242829,"genotype_num"
"1146","Lpar6","DC",1.99920421003577,9.10992601228179,13.2722790662013,0.00406059629832657,0.362826222185768,0.362826222185768,"genotype_num"
"622","Prkcb","DC",2.33896905837788,8.21483362590683,12.0599722264649,0.00533061544616889,0.426168676985818,0.426168676985818,"genotype_num"
"737","Icam1","DC",-1.87324153411364,9.01748121933011,12.2688486581291,0.00516300050000028,0.426168676985818,0.426168676985818,"genotype_num"
"97","Ifi211","DC",2.5359693054138,8.0699737009951,11.4440570823984,0.00623451484361273,0.450963240354654,0.450963240354654,"genotype_num"
"318","Rnf220","DC",-2.65958278709656,7.45416074163813,10.7486191311254,0.00619184638900071,0.450963240354654,0.450963240354654,"genotype_num"
"544","Lair1","DC",3.24442245020607,8.2615736887472,10.53551505935,0.00779392297047491,0.490223895507019,0.490223895507019,"genotype_num"
"1076","Dek","DC",-1.26550090195723,9.10682674902278,10.6860564930649,0.00775990856487751,0.490223895507019,0.490223895507019,"genotype_num"
"1166","Basp1","DC",4.93275923711912,7.79357020872085,10.3470893229028,0.00726046154316291,0.490223895507019,0.490223895507019,"genotype_num"
"1325","Ier3","DC",1.42879250883069,9.39982327864486,10.5354061988354,0.00806820104521098,0.490223895507019,0.490223895507019,"genotype_num"
"126","Tubb4b","DC",-2.53887870934973,8.05623886397846,10.0366231186108,0.0089723368335127,0.505344190872526,0.505344190872526,"genotype_num"
"862","Rtcb","DC",1.62774204087726,8.8245636016399,10.0184303840568,0.00932138593981019,0.505344190872526,0.505344190872526,"genotype_num"
"1007","Lgals3bp","DC",1.90891779963407,8.60107917153815,10.0985486442977,0.00912812365143445,0.505344190872526,0.505344190872526,"genotype_num"
"1249","Parp14","DC",2.04825270307754,8.13830153249189,9.877476005521,0.00964778244588759,0.505344190872526,0.505344190872526,"genotype_num"
"1","Sgk3","DC",1.4693136615867,8.53778814397619,8.13173254656623,0.0161856878668868,0.53567702113098,0.53567702113098,"genotype_num"
"61","Rgs1","DC",2.5928806261089,9.98263309412249,7.32259153003725,0.0208935657116443,0.53567702113098,0.53567702113098,"genotype_num"
"96","Ifi204","DC",2.03355368088823,8.04621475264415,8.68028379838239,0.0136271339530492,0.53567702113098,0.53567702113098,"genotype_num"
"135","Stom","DC",-1.8204366004688,8.66560763962347,8.09346908220821,0.0162728826593475,0.53567702113098,0.53567702113098,"genotype_num"
"161","Spred1","DC",1.69240868609828,8.26483389448412,8.24447286766255,0.0154528128170014,0.53567702113098,0.53567702113098,"genotype_num"
"210","Ptpn1","DC",1.71124739404615,8.54778122175905,7.74598877017239,0.0182812538625285,0.53567702113098,0.53567702113098,"genotype_num"
"248","S100a10","DC",-1.1676732052136,10.152443707666,7.38892288184397,0.020430597829837,0.53567702113098,0.53567702113098,"genotype_num"
"257","Txnip","DC",1.31584965832419,10.1462056425416,9.13375000439048,0.0119433026637534,0.53567702113098,0.53567702113098,"genotype_num"
"272","H2afz","DC",-1.05459872306525,9.6854736788513,8.22929533803085,0.0156709322135468,0.53567702113098,0.53567702113098,"genotype_num"
"355","C1qc","DC",2.45111822575998,9.15491104442058,8.53242616642198,0.0143402630427115,0.53567702113098,0.53567702113098,"genotype_num"
"369","Errfi1","DC",3.3005571835822,8.2508928584946,7.37230949590273,0.0197833040969625,0.53567702113098,0.53567702113098,"genotype_num"
"378","Isg15","DC",2.72764663847091,8.07328249096044,9.31746348809556,0.0106884202823263,0.53567702113098,0.53567702113098,"genotype_num"
"402","Ccni","DC",-1.26197557398426,9.16659051004292,8.79306791201458,0.0132298854722766,0.53567702113098,0.53567702113098,"genotype_num"
"483","Capg","DC",-1.82343648750777,8.29001421764037,8.10424531432452,0.0160219573327598,0.53567702113098,0.53567702113098,"genotype_num"
"496","Nup210","DC",-1.55616442450921,8.35610832030115,7.69832190008915,0.018544623954593,0.53567702113098,0.53567702113098,"genotype_num"
"529","Clec2d","DC",1.66135356029382,9.53224508583364,7.75340748642027,0.018187892632852,0.53567702113098,0.53567702113098,"genotype_num"
"534","Atf7ip","DC",-1.62886821476439,7.87797585366804,7.40843285334434,0.0200942732376173,0.53567702113098,0.53567702113098,"genotype_num"
"630","Spn","DC",-1.57195293946213,7.94686766690672,7.70719235003413,0.0184063925301348,0.53567702113098,0.53567702113098,"genotype_num"
"707","Nudt21","DC",-1.72249246959982,7.88374290567463,7.42461253299815,0.0199798800693962,0.53567702113098,0.53567702113098,"genotype_num"
"801","Ccrl2","DC",1.20801978379669,9.53124793374636,7.99294277667787,0.0168674101397617,0.53567702113098,0.53567702113098,"genotype_num"
"805","Tgfbr2","DC",1.56428377636257,9.02178715441398,8.91721918986291,0.012770822399797,0.53567702113098,0.53567702113098,"genotype_num"
"814","Cited2","DC",1.60907515445129,9.03640920614146,8.90681849418019,0.0127633848137736,0.53567702113098,0.53567702113098,"genotype_num"
"902","Peli1","DC",2.26853292473358,7.86085013887386,7.38037130134727,0.0201013131424266,0.53567702113098,0.53567702113098,"genotype_num"
"921","Irf1","DC",1.50552519049035,8.63288428060059,7.59753997849744,0.019172922006353,0.53567702113098,0.53567702113098,"genotype_num"
"1050","Evl","DC",2.24577003733132,8.28893730808669,7.37989939952253,0.0204952653667374,0.53567702113098,0.53567702113098,"genotype_num"
"1168","Otulinl","DC",1.21477191701235,9.22914733089133,7.28756231496589,0.0211590660091236,0.53567702113098,0.53567702113098,"genotype_num"
"1214","Tuba1b","DC",-1.37203109687458,8.43199861707174,7.80157549173196,0.0177893866896713,0.53567702113098,0.53567702113098,"genotype_num"
"1383","Adrb2","DC",2.42551608788555,8.54780637720121,8.6261313461113,0.0138655969947295,0.53567702113098,0.53567702113098,"genotype_num"
