"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Atp6v1h","DG-PIR Ex IMN",0.153736953889272,9.05824990781771,0.0984390527092526,0.756512394659306,0.999580026932601,0.999580026932601,"genotype_num"
"2","Arfgef1","DG-PIR Ex IMN",0.13112960130377,8.40223203925943,0.0388057518096362,0.845547789689082,0.999580026932601,0.999580026932601,"genotype_num"
"3","Stau2","DG-PIR Ex IMN",-0.595243203981603,8.84332810096125,1.62155440006387,0.215470797175963,0.999580026932601,0.999580026932601,"genotype_num"
"4","Paqr8","DG-PIR Ex IMN",-0.402875409372803,8.74325792568044,0.579065053895918,0.454349179629355,0.999580026932601,0.999580026932601,"genotype_num"
"5","Lmbrd1","DG-PIR Ex IMN",-0.839037939083684,8.36843355446686,1.58929551091711,0.219920915533814,0.999580026932601,0.999580026932601,"genotype_num"
"6","Dst","DG-PIR Ex IMN",-0.100610441797763,9.37317040818214,0.0482936977359724,0.827978169373643,0.999580026932601,0.999580026932601,"genotype_num"
"7","Fam168b","DG-PIR Ex IMN",-0.212837455558426,9.69167459897932,0.295627036444098,0.591811204496888,0.999580026932601,0.999580026932601,"genotype_num"
"8","Sema4c","DG-PIR Ex IMN",-0.33364508761811,8.8398132505542,0.320030821202065,0.577022065850075,0.999580026932601,0.999580026932601,"genotype_num"
"9","Tmem131","DG-PIR Ex IMN",0.533005892832093,8.70002115127054,0.894643501957804,0.353961184762451,0.999580026932601,0.999580026932601,"genotype_num"
"10","Txndc9","DG-PIR Ex IMN",-0.210959303600249,8.46504398200355,0.0799340458182847,0.779892926321692,0.999580026932601,0.999580026932601,"genotype_num"
"11","Chst10","DG-PIR Ex IMN",0.604349396637092,8.52530547671467,0.933202723664969,0.343972227873284,0.999580026932601,0.999580026932601,"genotype_num"
"12","Map4k4","DG-PIR Ex IMN",0.186251175654957,9.96217805703532,0.200490853310723,0.658466489561656,0.999580026932601,0.999580026932601,"genotype_num"
"13","Pou3f3","DG-PIR Ex IMN",-0.157327277796738,10.1875325115044,0.227295880600118,0.637983120985518,0.999580026932601,0.999580026932601,"genotype_num"
"14","Nck2","DG-PIR Ex IMN",-0.684552636871392,8.77922163163077,1.63509884684358,0.213644892272162,0.999580026932601,0.999580026932601,"genotype_num"
