"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"422","Aldh9a1","Endo",-0.473374038105945,7.11502115347264,32.6422916329246,0.000192144912937608,0.461291899734962,0.461291899734962,"genotype_num"
"7181","Nnt","Endo",-1.28971755215319,5.04390781957246,34.822995464752,0.000148761606485055,0.461291899734962,0.461291899734962,"genotype_num"
"7325","Ang","Endo",1.02898367507561,4.43727185399991,38.8697627302316,9.55378474719824e-05,0.461291899734962,0.461291899734962,"genotype_num"
"9107","Fam189a2","Endo",-0.74527765220751,6.07627316272209,35.6917320761394,0.000134804955707929,0.461291899734962,0.461291899734962,"genotype_num"
"2417","Lmbr1","Endo",1.49018814424341,4.46730177155413,25.603988583848,0.0004867440288056,0.647319820922707,0.647319820922707,"genotype_num"
"3923","Trim30d","Endo",-1.75112486280382,3.2499803371723,25.2516746088082,0.000513530032777297,0.647319820922707,0.647319820922707,"genotype_num"
"6073","Hic1","Endo",0.56780181450451,6.65480616140986,28.0602496919504,0.000344886308245766,0.647319820922707,0.647319820922707,"genotype_num"
"6114","Vtn","Endo",0.954006553394271,6.85012496902995,24.9041716916675,0.000539264663894789,0.647319820922707,0.647319820922707,"genotype_num"
"989","Frmd5","Endo",-0.747127307500142,4.72108376670051,22.2804527949273,0.000808468438415473,0.689249858696115,0.689249858696115,"genotype_num"
"1721","Ccn1","Endo",-0.524031935124122,9.98917224475156,19.1211056799423,0.00138155175956886,0.689249858696115,0.689249858696115,"genotype_num"
"2091","Heyl","Endo",1.34319404286132,3.16983191452882,22.5028707504367,0.000780620742540976,0.689249858696115,0.689249858696115,"genotype_num"
"3103","Tmem176b","Endo",0.599262395056445,6.10766976974354,18.8382234572192,0.00145376643165256,0.689249858696115,0.689249858696115,"genotype_num"
"3425","Abcc9","Endo",0.789179600415211,4.87063179282051,20.2098959246067,0.0011410611380367,0.689249858696115,0.689249858696115,"genotype_num"
"4237","Plpp5","Endo",-0.41990257698321,5.87648837848625,18.1449797511346,0.00165081190773827,0.689249858696115,0.689249858696115,"genotype_num"
"5156","Slc25a20","Endo",-0.56361101242661,5.84647962649473,19.8924006858836,0.00120556609890724,0.689249858696115,0.689249858696115,"genotype_num"
"5742","Ykt6","Endo",0.431968676770266,6.25059442706568,21.8876061268429,0.000861468121492997,0.689249858696115,0.689249858696115,"genotype_num"
"5755","Tns3","Endo",1.22079497693606,3.20826484509906,18.292019027499,0.00160722431012003,0.689249858696115,0.689249858696115,"genotype_num"
"5912","Igtp","Endo",0.539286469857198,6.45721382234095,19.1794005409293,0.00136722382049425,0.689249858696115,0.689249858696115,"genotype_num"
"6059","Atp2a3","Endo",0.667381424033722,5.26840848177063,18.4522441687435,0.00155978102226746,0.689249858696115,0.689249858696115,"genotype_num"
"7471","Rgcc","Endo",-0.583862582153029,8.48146724270306,21.1689057941284,0.000969781247949652,0.689249858696115,0.689249858696115,"genotype_num"
"8896","Smad7","Endo",0.417504244587856,8.12591650160854,20.1629780066135,0.00115026890820658,0.689249858696115,0.689249858696115,"genotype_num"
