"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"785","Penk","HPF CR Glut",1.48657802897222,8.80354623255595,20.9105178982297,0.000301717449346617,0.721036710558334,0.721036710558334,"genotype_num"
"4270","mt-Atp6","HPF CR Glut",1.10625199057975,10.2251957122893,20.4222759113381,0.000337248227576396,0.721036710558334,0.721036710558334,"genotype_num"
"249","Atf3","HPF CR Glut",-3.11654640421235,6.90611866436221,16.7820229028782,0.000780189157924039,0.937944576438034,0.937944576438034,"genotype_num"
"4274","mt-Nd4","HPF CR Glut",1.90479418987492,7.65911582370857,16.5332003746687,0.000877403719773652,0.937944576438034,0.937944576438034,"genotype_num"
"2","Atp6v1h","HPF CR Glut",-0.232979407058878,7.98943889190398,0.427010061590672,0.522607758376589,0.996196430138492,0.996196430138492,"genotype_num"
"3","Rb1cc1","HPF CR Glut",-0.316461613100403,7.74920992103525,0.618423529263099,0.442965363631435,0.996196430138492,0.996196430138492,"genotype_num"
"4","Pcmtd1","HPF CR Glut",0.860101223639017,7.22452765876483,2.50928351391837,0.132499660211635,0.996196430138492,0.996196430138492,"genotype_num"
"5","Vcpip1","HPF CR Glut",1.14636009761636,6.92721927126236,3.43424791806806,0.0821870265747603,0.996196430138492,0.996196430138492,"genotype_num"
"6","Cspp1","HPF CR Glut",-0.697165408677726,7.68997034247923,2.33979773495786,0.145371402639603,0.996196430138492,0.996196430138492,"genotype_num"
"7","Arfgef1","HPF CR Glut",0.129606398966409,8.01960311632305,0.117770370597423,0.735868877722913,0.996196430138492,0.996196430138492,"genotype_num"
"8","Ncoa2","HPF CR Glut",0.178293120083606,8.38720769364778,0.249306784295537,0.624260353089482,0.996196430138492,0.996196430138492,"genotype_num"
"9","Tram1","HPF CR Glut",-0.69853015219153,6.92515722390106,2.12633585547521,0.163923379359929,0.996196430138492,0.996196430138492,"genotype_num"
"10","Eya1","HPF CR Glut",0.158575016126579,7.75320401216378,0.15305299450255,0.700722419212128,0.996196430138492,0.996196430138492,"genotype_num"
"11","Kcnb2","HPF CR Glut",0.392822627324544,8.87314594774862,1.47615396201701,0.241745656994244,0.996196430138492,0.996196430138492,"genotype_num"
"12","Terf1","HPF CR Glut",0.425845744131061,6.96242676361821,0.512576356859602,0.484229940079652,0.996196430138492,0.996196430138492,"genotype_num"
"14","Ube2w","HPF CR Glut",-0.272349879490392,7.39867727771968,0.387743630399748,0.542148103836489,0.996196430138492,0.996196430138492,"genotype_num"
"15","Gdap1","HPF CR Glut",0.240971767510725,7.05680993357841,0.187106199258084,0.671041289884405,0.996196430138492,0.996196430138492,"genotype_num"
"16","Tram2","HPF CR Glut",-1.04511856025851,7.1623002661888,4.10991686238132,0.0594033814499624,0.996196430138492,0.996196430138492,"genotype_num"
"18","Rims1","HPF CR Glut",0.133884180226297,7.85763701452958,0.141878415294243,0.711298921407687,0.996196430138492,0.996196430138492,"genotype_num"
"19","Lmbrd1","HPF CR Glut",0.114194921539506,8.25257828648427,0.114725744930975,0.739167125294034,0.996196430138492,0.996196430138492,"genotype_num"
"20","Phf3","HPF CR Glut",0.156571586967273,7.80736941866124,0.14229244189724,0.710898903128049,0.996196430138492,0.996196430138492,"genotype_num"
"21","Khdrbs2","HPF CR Glut",-0.15652394443064,7.3437738890491,0.106483330015154,0.74835997848066,0.996196430138492,0.996196430138492,"genotype_num"
"22","Zfp451","HPF CR Glut",-0.33001056608403,7.65474581897075,0.806568719499244,0.38227087116079,0.996196430138492,0.996196430138492,"genotype_num"
"23","Dst","HPF CR Glut",0.168361504719036,10.0795241725031,0.473186497943465,0.501230833095146,0.996196430138492,0.996196430138492,"genotype_num"
"24","Arhgef4-ENSMUSG00000037509","HPF CR Glut",-0.300664850832048,7.24705294589488,0.371866313318,0.550443557370631,0.996196430138492,0.996196430138492,"genotype_num"
"25","Fam168b","HPF CR Glut",0.174418084311269,7.73903094289749,0.189273884986658,0.669251092292514,0.996196430138492,0.996196430138492,"genotype_num"
"26","Plekhb2","HPF CR Glut",0.164801139813157,8.24539624523284,0.226072578189075,0.64078528128911,0.996196430138492,0.996196430138492,"genotype_num"
"27","Hs6st1","HPF CR Glut",0.408959588205899,7.66937522366403,1.08487198150854,0.312878797421929,0.996196430138492,0.996196430138492,"genotype_num"
"28","Uggt1","HPF CR Glut",0.243377472186753,7.37413032540776,0.167144091843407,0.688010780211452,0.996196430138492,0.996196430138492,"genotype_num"
"29","Kansl3","HPF CR Glut",0.410134939331,7.51241213671441,0.918631166059334,0.351900700280051,0.996196430138492,0.996196430138492,"genotype_num"
"30","Lman2l","HPF CR Glut",0.286195805578869,8.20091421393808,0.700355488186629,0.414811634421528,0.996196430138492,0.996196430138492,"genotype_num"
"31","Cnnm4","HPF CR Glut",-0.536582647695482,6.95469522786966,1.08356938328823,0.313181534552473,0.996196430138492,0.996196430138492,"genotype_num"
"33","Cox5b","HPF CR Glut",-0.416975747285839,6.91378941519962,0.532153132039659,0.476131232922077,0.996196430138492,0.996196430138492,"genotype_num"
"34","Actr1b","HPF CR Glut",-0.200396176155345,8.13650142015192,0.318219355484776,0.580389125252407,0.996196430138492,0.996196430138492,"genotype_num"
"35","Tmem131","HPF CR Glut",0.470533834082707,8.34895496481225,1.99863247881677,0.176324903166896,0.996196430138492,0.996196430138492,"genotype_num"
"36","Inpp4a","HPF CR Glut",-0.451249860813449,8.0299715474814,1.77381926309993,0.201309118909984,0.996196430138492,0.996196430138492,"genotype_num"
"37","Txndc9","HPF CR Glut",-0.652253546026147,7.14275776945143,1.67742036996618,0.213427832899272,0.996196430138492,0.996196430138492,"genotype_num"
"38","Eif5b","HPF CR Glut",-0.244399385507907,6.86465736705527,0.222748191613676,0.643249685033331,0.996196430138492,0.996196430138492,"genotype_num"
