"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"3805","Cnmd","MFOL",-2.2150048833011,7.18344030296815,24.6549754629127,5.74609024101974e-05,0.280581586468994,0.280581586468994,"genotype_num"
"32","Unc50","MFOL",-0.965246807241108,7.54748949807633,10.7081078068558,0.00348598305149502,0.89589764423422,0.89589764423422,"genotype_num"
"40","Nck2","MFOL",3.02446253225923,5.78236799012349,12.2943517215724,0.00190818571573111,0.89589764423422,0.89589764423422,"genotype_num"
"299","Mllt10","MFOL",-1.82424317856596,5.70059567806156,12.0980906494009,0.00214163053646955,0.89589764423422,0.89589764423422,"genotype_num"
"311","Rnf208","MFOL",1.96314388168061,6.3020128766288,11.0929296840095,0.00303388525489048,0.89589764423422,0.89589764423422,"genotype_num"
"415","March7","MFOL",-1.3773070943515,6.29554389001637,11.5010561142592,0.00262945706458541,0.89589764423422,0.89589764423422,"genotype_num"
"602","Edem2","MFOL",-1.14414459474465,7.1055125180945,12.6644540276976,0.00175973009859781,0.89589764423422,0.89589764423422,"genotype_num"
"618","Fam83d","MFOL",-1.86416554302532,6.19693069750238,10.8148062524226,0.00336461843317884,0.89589764423422,0.89589764423422,"genotype_num"
"671","Col20a1","MFOL",4.33235576179364,5.81990000651649,12.7066175214487,0.00155925272796228,0.89589764423422,0.89589764423422,"genotype_num"
"843","Cept1","MFOL",1.14504133144702,7.59492477467771,11.893310859787,0.00229135361324436,0.89589764423422,0.89589764423422,"genotype_num"
"945","Dnaja1","MFOL",1.18176227550172,8.41875136829093,14.2262570355731,0.00105177682902646,0.89589764423422,0.89589764423422,"genotype_num"
"1088","Maneal","MFOL",3.16649822432971,5.64421871915928,11.3176282269029,0.00263475357554258,0.89589764423422,0.89589764423422,"genotype_num"
"1158","Eif4g3","MFOL",-1.28603000823456,7.03544848069978,16.0277691040039,0.000598998481065381,0.89589764423422,0.89589764423422,"genotype_num"
"1416","Rasal1","MFOL",-0.832159577607348,8.46056682772876,14.1832088976346,0.00106639870698708,0.89589764423422,0.89589764423422,"genotype_num"
"1985","Ipo7","MFOL",3.54695475567012,5.64735960123683,10.5437121157163,0.00345701909217878,0.89589764423422,0.89589764423422,"genotype_num"
"3576","Gkap1","MFOL",1.29750952177761,7.55750302914207,13.7121501896907,0.00124272449440325,0.89589764423422,0.89589764423422,"genotype_num"
"4202","Abca3","MFOL",-1.4793947047364,6.14109150680431,11.3014208402594,0.00282215465113358,0.89589764423422,0.89589764423422,"genotype_num"
"4279","Hspa1b","MFOL",3.08765025777948,8.03931057135416,12.2253072173368,0.00204611204763612,0.89589764423422,0.89589764423422,"genotype_num"
"4745","Ndufb11","MFOL",-0.920103396065555,7.92938095379027,12.9307855695079,0.00160868769807836,0.89589764423422,0.89589764423422,"genotype_num"
"1026","Plpp3","MFOL",-0.747939630781286,8.43952432877346,10.2872631648042,0.0040636405999062,0.901943502242816,0.901943502242816,"genotype_num"
"1190","Dffa","MFOL",-1.97773823868994,5.34425814180022,10.2951027140916,0.00405864265672238,0.901943502242816,0.901943502242816,"genotype_num"
"2111","Tubgcp3","MFOL",-1.96865848962175,5.55309540591001,10.3171709224769,0.00403232537305778,0.901943502242816,0.901943502242816,"genotype_num"
"37","Pou3f3","MFOL",0.756633493902791,7.01044709883824,3.79328615091195,0.0643476474846218,0.953165051576441,0.953165051576441,"genotype_num"
"47","Asnsd1","MFOL",1.489819661162,5.7568955673887,4.54215319398553,0.0444741284724346,0.953165051576441,0.953165051576441,"genotype_num"
"66","Eef1b2","MFOL",-0.899757072873094,6.27312056243693,3.88126716480433,0.0615634026378438,0.953165051576441,0.953165051576441,"genotype_num"
"73","Lancl1","MFOL",0.74570723202136,7.09068239776129,3.88111134888262,0.0615628975363123,0.953165051576441,0.953165051576441,"genotype_num"
"85","Dnajb2","MFOL",0.483386063053831,9.16496156372392,4.52171208202101,0.0449368955145277,0.953165051576441,0.953165051576441,"genotype_num"
