"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"3344","Bhlhe40","Microglia",8.31281573931457,3.21463760940394,194.726929653343,5.14180124897076e-10,5.03742268361666e-06,5.03742268361666e-06,"genotype_num"
"1163","Cst7","Microglia",5.80649666519656,7.82162199870869,281.634256057124,4.85664040550745e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"3670","Axl","Microglia",4.03894281712976,6.00034391034521,284.295408374628,4.62588318261015e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"5142","Chst2","Microglia",3.76784458050572,3.9365446759124,283.788413300147,4.68326037740403e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"5639","Igf1","Microglia",6.29690900757358,4.47372230939574,280.442920813603,5.32221263311444e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"6566","Lgals3bp","Microglia",1.4938618703404,8.18934640781423,272.454344976251,5.76461865363099e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"6903","Ifi27l2a","Microglia",2.88001435833994,4.19073133753935,314.287133351233,2.74957764723001e-09,8.06799556423184e-06,8.06799556423184e-06,"genotype_num"
"2658","Cxcl2","Microglia",2.03231414802126,5.31591767942064,243.730838583818,1.02486470072268e-08,1.25507493412251e-05,1.25507493412251e-05,"genotype_num"
"2211","Sdc3","Microglia",1.66801996566412,6.42502034834702,237.318958907426,1.17564137082554e-08,1.27975094555309e-05,1.27975094555309e-05,"genotype_num"
"5688","Phlda1","Microglia",1.5469163089764,5.22879175244209,226.299118652499,1.50141282370479e-08,1.47093414338359e-05,1.47093414338359e-05,"genotype_num"
"9289","Psat1","Microglia",1.51074224760714,5.11186796117341,217.388091439181,1.84530912662172e-08,1.64349941031937e-05,1.64349941031937e-05,"genotype_num"
"4422","Lpl","Microglia",3.98443197849559,6.79807052120573,199.215129486116,2.88516372604247e-08,2.35549575200317e-05,2.35549575200317e-05,"genotype_num"
"2249","Cd52","Microglia",1.69014780095654,8.03748097714992,167.014676569115,7.0735450821815e-08,5.33073239770248e-05,5.33073239770248e-05,"genotype_num"
"1682","Csf1","Microglia",1.53567589324392,7.49542416568062,164.367726140904,7.66924833884749e-08,5.36683042683492e-05,5.36683042683492e-05,"genotype_num"
"4050","Xylt1","Microglia",2.30752759760781,3.82259710721255,157.571366657797,9.50013817389093e-08,5.81705335560059e-05,5.81705335560059e-05,"genotype_num"
"6257","Slfn2","Microglia",1.07942178214242,6.24013127448618,159.262114649157,8.99540815235192e-08,5.81705335560059e-05,5.81705335560059e-05,"genotype_num"
"9503","Cybb","Microglia",4.79830861801895,3.53706150938162,155.392998423931,1.04503245252323e-07,6.02246055139416e-05,6.02246055139416e-05,"genotype_num"
"5702","Lyz2","Microglia",1.68460399772566,7.46561960532981,139.926901201122,1.72494347001222e-07,9.30800784725272e-05,9.30800784725272e-05,"genotype_num"
"9320","Cd274","Microglia",1.43045280209177,4.64493265600714,138.664755226481,1.80516636825356e-07,9.30800784725272e-05,9.30800784725272e-05,"genotype_num"
"3173","Gpnmb","Microglia",41.7776624716128,3.01504934819096,284.165476072966,2.27568107243868e-07,0.000106165940317532,0.000106165940317532,"genotype_num"
