"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"147","Igsf8","NFOL",-5.794656848296,9.11936174637195,47.8967304283028,3.31548556644494e-05,0.0884903097684154,0.0884903097684154,"genotype_num"
"2548","Cemip2","NFOL",3.92688612631548,9.82046195273349,40.5243349569234,6.816841023014e-05,0.0909707434521218,0.0909707434521218,"genotype_num"
"2477","St8sia3","NFOL",-4.21843684674599,8.7476752488006,36.2231670267874,0.000108639541382162,0.0966529786496638,0.0966529786496638,"genotype_num"
"762","Arap2","NFOL",-4.55323440339178,8.47196653267437,24.5514651913068,0.00050751727331852,0.289745454493261,0.289745454493261,"genotype_num"
"2001","Serinc5","NFOL",-2.72918786790964,9.19126413426972,24.1168317091345,0.000542797779118135,0.289745454493261,0.289745454493261,"genotype_num"
"556","Ptprd","NFOL",-3.14808781315785,9.9155748810451,22.079224625652,0.000753331626183636,0.303579899551515,0.303579899551515,"genotype_num"
"1143","Tmem159","NFOL",2.64042670540401,8.08610816924631,20.4208586499486,0.0010054142077724,0.303579899551515,0.303579899551515,"genotype_num"
"2111","Slain1","NFOL",-2.21941386492838,8.61923117551105,20.2879066310699,0.00102368643535543,0.303579899551515,0.303579899551515,"genotype_num"
"2319","Slc9a3r2","NFOL",-4.56090055643622,7.54547701774937,20.3851979769811,0.00100719857001125,0.303579899551515,0.303579899551515,"genotype_num"
"171","Eprs","NFOL",-3.43792201743531,7.46481966687753,17.7334134265691,0.00164117611889452,0.398209005575406,0.398209005575406,"genotype_num"
"2084","Ints6","NFOL",2.79511820697819,8.07054528568638,18.0065669968441,0.00156421488300878,0.398209005575406,0.398209005575406,"genotype_num"
"89","Mgat5","NFOL",-2.49195585217321,7.46700234755021,16.6453131642639,0.00203439473856721,0.416185695990552,0.416185695990552,"genotype_num"
"1274","Ptger1","NFOL",3.14545884628651,7.40879233517836,15.5093393693102,0.00241032955874223,0.416185695990552,0.416185695990552,"genotype_num"
"2369","Mog","NFOL",-2.30361042825768,9.18896471363951,15.6496470484078,0.00249493111122099,0.416185695990552,0.416185695990552,"genotype_num"
"2563","Opalin","NFOL",-6.28209758979344,9.38691609324638,15.7175895434999,0.00245968792453568,0.416185695990552,0.416185695990552,"genotype_num"
"2578","Slk","NFOL",-3.68590000856311,7.21677497770158,15.8458130131115,0.00239853551762724,0.416185695990552,0.416185695990552,"genotype_num"
"238","Ermn","NFOL",-4.31970709971457,7.09720668501916,10.9424284768267,0.0074922223345144,0.530234530118455,0.530234530118455,"genotype_num"
"600","Ctps","NFOL",-2.13790347096789,8.89545189964915,13.1301376303412,0.00436022984874245,0.530234530118455,0.530234530118455,"genotype_num"
"641","Clic4","NFOL",-2.46158194563144,9.61982745563773,13.4767846302762,0.00402264644813817,0.530234530118455,0.530234530118455,"genotype_num"
"708","Sema3e","NFOL",2.80645478591713,7.28451528485375,11.1393939868017,0.00702619282173948,0.530234530118455,0.530234530118455,"genotype_num"
"794","Hsd17b11","NFOL",-2.56685946658136,7.27133689299387,12.6148491585875,0.00493375638077603,0.530234530118455,0.530234530118455,"genotype_num"
"864","Pdgfa","NFOL",1.90894026892973,9.99485130452597,11.7118523674121,0.00614872905527529,0.530234530118455,0.530234530118455,"genotype_num"
"977","Wnk1","NFOL",-2.0333351729932,8.99541682993221,11.1186644817007,0.00715048557188284,0.530234530118455,0.530234530118455,"genotype_num"
"1106","Pak1","NFOL",-2.77346534522343,7.9260638270873,12.4065888624151,0.00518162744619531,0.530234530118455,0.530234530118455,"genotype_num"
"1133","Rassf10","NFOL",1.78838877801999,8.77928841003841,11.554845748763,0.00639994043001934,0.530234530118455,0.530234530118455,"genotype_num"
"1201","Slc20a2","NFOL",2.29099938768636,7.97231804111631,10.6928375354704,0.00801174262954265,0.530234530118455,0.530234530118455,"genotype_num"
"1224","Zdhhc2","NFOL",1.83600002292577,7.81623878062979,10.6713478307997,0.00805831390827804,0.530234530118455,0.530234530118455,"genotype_num"
"1589","Phlda1","NFOL",-1.91733040227023,8.0142646586577,12.6508511770606,0.00488531358227613,0.530234530118455,0.530234530118455,"genotype_num"
"1595","Ptprb","NFOL",10.2366230114626,6.3485289152325,11.7687892804235,0.00701090551050952,0.530234530118455,0.530234530118455,"genotype_num"
"1689","Kcnj12","NFOL",1.85857571013321,8.14005914546265,11.5548747458191,0.00640950091218812,0.530234530118455,0.530234530118455,"genotype_num"
"1740","Myo1d","NFOL",-2.26204202216277,7.96710072140733,11.3377895820884,0.00676018947276044,0.530234530118455,0.530234530118455,"genotype_num"
"1810","Mif4gd","NFOL",-3.78283750890998,6.91625991374495,11.9687426016518,0.00577430262525567,0.530234530118455,0.530234530118455,"genotype_num"
"1838","Kif3c","NFOL",-2.06982730816692,8.13047582712256,13.9364462055285,0.00362280561749052,0.530234530118455,0.530234530118455,"genotype_num"
"2045","Arhgef3","NFOL",-2.1940128723527,7.35565930398677,11.0381797223065,0.00730791892911947,0.530234530118455,0.530234530118455,"genotype_num"
"2106","Pcdh17","NFOL",-2.28688282198104,7.54756848731553,12.8060340615618,0.00470893404037193,0.530234530118455,0.530234530118455,"genotype_num"
"2156","Nrbp2","NFOL",-2.98448415138789,6.94105169082022,13.1351450554171,0.00436124919833736,0.530234530118455,0.530234530118455,"genotype_num"
"2157","Plec","NFOL",3.46465617836128,6.88611925342326,10.367240358032,0.00814522882534907,0.530234530118455,0.530234530118455,"genotype_num"
"2515","Cdc42ep2","NFOL",-4.55627499106344,7.54523207710895,11.0404256620919,0.00729944360327038,0.530234530118455,0.530234530118455,"genotype_num"
"2580","Gsto1","NFOL",1.95843063639506,10.5884975556927,11.1757860771182,0.00704580242975243,0.530234530118455,0.530234530118455,"genotype_num"
"2587","Gfra1","NFOL",-4.04555546464297,6.69622134198772,10.671892859918,0.0080500655561569,0.530234530118455,0.530234530118455,"genotype_num"
"2654","Tmsb4x","NFOL",-2.03919933174191,9.71139280296107,12.1617861854865,0.00549898633708265,0.530234530118455,0.530234530118455,"genotype_num"
"1474","Clasp2","NFOL",-1.53906780044725,8.34010527563517,10.4986973549274,0.00841590396206253,0.534810658922498,0.534810658922498,"genotype_num"
"781","Ankrd17","NFOL",1.77066090419303,7.92880213819994,10.3070287997033,0.00887910196625306,0.538598253362032,0.538598253362032,"genotype_num"
"1594","Ptprr","NFOL",9.00992185817506,6.43816891252797,10.8248745462583,0.00881451622736114,0.538598253362032,0.538598253362032,"genotype_num"
"461","Txnip","NFOL",2.33810750959056,7.49247639963348,9.9772210489515,0.00970677070630473,0.540927999864495,0.540927999864495,"genotype_num"
"611","Fhl3","NFOL",1.65118086929377,8.70333394943249,10.0354765044078,0.00954334322055918,0.540927999864495,0.540927999864495,"genotype_num"
"2181","Desi1","NFOL",-1.92065161861255,8.76345199469964,10.1877722274007,0.00915017146673289,0.540927999864495,0.540927999864495,"genotype_num"
"2379","Lrrc73","NFOL",2.7680458394994,7.1746017052619,9.89186491477295,0.00972819182970991,0.540927999864495,0.540927999864495,"genotype_num"
"554","Megf9","NFOL",2.55437724192351,7.55098948359425,9.59937631653917,0.0107717094470982,0.586728418659285,0.586728418659285,"genotype_num"
"731","Pisd","NFOL",2.97093117572208,7.07646362832453,9.32504817214087,0.0113938892443735,0.596280203788879,0.596280203788879,"genotype_num"
"2164","Cdc42ep1","NFOL",-4.02584469216445,7.29818268557558,9.40109304283403,0.0113874982317441,0.596280203788879,0.596280203788879,"genotype_num"
"507","Hs2st1","NFOL",1.63032573817846,8.31449898245419,9.27293978971893,0.0118181616307062,0.606589872929899,0.606589872929899,"genotype_num"
"942","Dusp11","NFOL",1.8067408658306,7.65129523943152,9.15732463556353,0.0122296686691335,0.611697058229101,0.611697058229101,"genotype_num"
"2567","Marveld1","NFOL",-2.91432889838061,7.27884980804604,9.11087993584313,0.0123760363972917,0.611697058229101,0.611697058229101,"genotype_num"
"429","Sema4a","NFOL",1.66811704518512,9.03586926358271,8.85740320304822,0.0133190257881051,0.636204322716056,0.636204322716056,"genotype_num"
"589","Plk3","NFOL",-3.50003080906732,6.8432297028622,8.85390949203101,0.0133486107426374,0.636204322716056,0.636204322716056,"genotype_num"
"703","Steap2","NFOL",1.57908937672693,8.28734164446346,8.63275058857866,0.0142399646467431,0.644177383765377,0.644177383765377,"genotype_num"
"989","Kcna6","NFOL",-1.61498278112825,8.2208884530073,8.71925376869628,0.013868711521855,0.644177383765377,0.644177383765377,"genotype_num"
"1333","Rab4a","NFOL",1.6210145395881,8.16072063269012,8.68496589401327,0.0140253072532537,0.644177383765377,0.644177383765377,"genotype_num"
"1367","Fez1","NFOL",-1.90062535560533,9.1159783087842,8.49867836232023,0.0148071867379843,0.647875104978364,0.647875104978364,"genotype_num"
"1579","Ano4","NFOL",-1.45289809936351,7.94200836021721,8.53906788054689,0.014632136512468,0.647875104978364,0.647875104978364,"genotype_num"
"372","Lsm14b","NFOL",2.30560610382184,7.29773725295204,8.07479442992091,0.0167374652423379,0.697126319206721,0.697126319206721,"genotype_num"
"1345","Panx1","NFOL",1.92338284026005,7.75376894853409,8.05493212145545,0.0169775986318609,0.697126319206721,0.697126319206721,"genotype_num"
"2112","Dct","NFOL",3.19733615959318,7.52881016316772,8.09150430419074,0.0166025697612932,0.697126319206721,0.697126319206721,"genotype_num"
"2626","Gpr165","NFOL",1.67367248330185,8.39060389598454,8.15049061093405,0.0164733787856308,0.697126319206721,0.697126319206721,"genotype_num"
"8","Paqr8","NFOL",-1.38052174209998,8.72764966628357,5.90211490021264,0.0345692722802324,0.710994103948876,0.710994103948876,"genotype_num"
"40","Idh1","NFOL",1.3321421489554,9.94414718587966,6.31464619765791,0.0298962672923465,0.710994103948876,0.710994103948876,"genotype_num"
"59","Dock10","NFOL",-1.76841283361939,7.57300575062864,7.11940236266698,0.0228043456825974,0.710994103948876,0.710994103948876,"genotype_num"
"69","Sh3bp4","NFOL",-2.77375482018099,7.31082277120694,7.54629811230135,0.019892352049861,0.710994103948876,0.710994103948876,"genotype_num"
"111","Phlda3","NFOL",-1.30331846133035,8.04257409790329,5.97744079621687,0.0336555252237525,0.710994103948876,0.710994103948876,"genotype_num"
"115","Camsap2","NFOL",-1.62291154379651,7.49032627636962,7.41825560318433,0.0207048821712538,0.710994103948876,0.710994103948876,"genotype_num"
"177","Frmd4a","NFOL",1.54232190916683,11.0226944768344,7.85828336365621,0.0180060549993138,0.710994103948876,0.710994103948876,"genotype_num"
"191","Ptgds","NFOL",1.55553882688252,9.30917986012247,7.17041359273076,0.0224242128963077,0.710994103948876,0.710994103948876,"genotype_num"
"267","Cd82","NFOL",-1.37362310106143,8.61039863437765,6.48776459907012,0.0281664251992809,0.710994103948876,0.710994103948876,"genotype_num"
"296","Sema6d","NFOL",1.46868233552318,9.31740875876115,6.72601533233984,0.025980070303998,0.710994103948876,0.710994103948876,"genotype_num"
"382","Tpd52","NFOL",2.02544896298776,7.19885306219468,6.06198723631966,0.032642026363382,0.710994103948876,0.710994103948876,"genotype_num"
"390","Pld1","NFOL",1.48266482396431,7.72229355493932,7.08023358332272,0.0231261122665208,0.710994103948876,0.710994103948876,"genotype_num"
"448","S100a16","NFOL",-1.39604733553771,8.87128381929378,7.55305052791655,0.0198227483259656,0.710994103948876,0.710994103948876,"genotype_num"
