"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"2009","Sema3c","NP-CT-L6b Glut",-6.08382914403036,5.63260067995313,57.3404220033736,1.16065627914743e-06,0.00927596498294622,0.00927596498294622,"genotype_num"
"28","Kcnq5","NP-CT-L6b Glut",2.46847990164097,6.0430388610611,30.6687047944687,2.98510529879061e-05,0.0738502681551434,0.0738502681551434,"genotype_num"
"745","Pde1a","NP-CT-L6b Glut",-1.16501870853006,8.56026938423536,27.625228686545,5.39252243547321e-05,0.0738502681551434,0.0738502681551434,"genotype_num"
"4403","Ptprk","NP-CT-L6b Glut",2.48836156145132,5.7005076111313,27.5292385504671,5.54431442606182e-05,0.0738502681551434,0.0738502681551434,"genotype_num"
"7428","Neto1","NP-CT-L6b Glut",-1.48379827407629,6.98000943455153,29.18232445357,3.9722439988075e-05,0.0738502681551434,0.0738502681551434,"genotype_num"
"7967","Glra2","NP-CT-L6b Glut",-2.21367613912,5.68096993652018,28.2001221380769,4.86988599645336e-05,0.0738502681551434,0.0738502681551434,"genotype_num"
"270","Thsd7b","NP-CT-L6b Glut",-1.52346731078041,6.96179022421877,25.85866381786,7.79019521864491e-05,0.0828766698733136,0.0828766698733136,"genotype_num"
"1926","Fbxo2","NP-CT-L6b Glut",2.69025779447787,5.75930049178823,25.5896835493742,8.29596295028165e-05,0.0828766698733136,0.0828766698733136,"genotype_num"
"9","Vxn","NP-CT-L6b Glut",-1.46210385735029,8.47847997147862,23.7653493104606,0.00012255872188768,0.10883214503626,0.10883214503626,"genotype_num"
"923","Chgb","NP-CT-L6b Glut",1.1775256740117,9.95075216525104,21.3034817666828,0.000215939308351458,0.172578695234485,0.172578695234485,"genotype_num"
"5193","Stac2","NP-CT-L6b Glut",3.09724569070376,5.61204610063455,18.0211120053898,0.000491398061960995,0.327271109266023,0.327271109266023,"genotype_num"
"6955","Mdga1","NP-CT-L6b Glut",-2.33775697743518,5.72591935377085,18.0106165100304,0.000465634347335933,0.327271109266023,0.327271109266023,"genotype_num"
"3721","Cbln1","NP-CT-L6b Glut",-1.66150798314524,6.44850343728661,16.758872997286,0.000686181077421044,0.399578428604608,0.399578428604608,"genotype_num"
"6088","Klhl33","NP-CT-L6b Glut",1.89640197465868,5.60310657649973,16.6964960877792,0.000699962212270334,0.399578428604608,0.399578428604608,"genotype_num"
"5469","Nova1","NP-CT-L6b Glut",1.33828674606174,7.39844797728988,16.3735833153341,0.000760538014510216,0.405214654131043,0.405214654131043,"genotype_num"
"193","Itm2c","NP-CT-L6b Glut",-0.816595681456587,10.2957489952286,15.7404265765285,0.000906459058915311,0.419184278396238,0.419184278396238,"genotype_num"
"240","Cntnap5b","NP-CT-L6b Glut",-2.6912883948762,4.65250410077234,14.9581460485934,0.00102442483698828,0.419184278396238,0.419184278396238,"genotype_num"
"1431","Camk2d","NP-CT-L6b Glut",1.63334762094232,7.12917804995896,14.8701124421129,0.00116186092216376,0.419184278396238,0.419184278396238,"genotype_num"
"2362","Ccdc92","NP-CT-L6b Glut",1.10757259529333,7.11797687009688,14.7919217153534,0.0011882518068102,0.419184278396238,0.419184278396238,"genotype_num"
"2426","Vgf","NP-CT-L6b Glut",1.09269146176023,8.07947713520135,15.020151399695,0.0011121233215632,0.419184278396238,0.419184278396238,"genotype_num"
"3260","Stard10","NP-CT-L6b Glut",1.23581167938206,6.5678543362959,15.279652622596,0.00103389438945725,0.419184278396238,0.419184278396238,"genotype_num"
"5530","Syt16","NP-CT-L6b Glut",-0.992776144722065,7.07782453169196,14.6849190396,0.00122583879889383,0.419184278396238,0.419184278396238,"genotype_num"
"6672","Camk2n2","NP-CT-L6b Glut",1.35800886851545,6.54001827124956,14.5936584586786,0.00125881164683555,0.419184278396238,0.419184278396238,"genotype_num"
"7006","Hspa1b","NP-CT-L6b Glut",-1.8491652816257,6.1687165367242,15.2457919020862,0.00104634079426618,0.419184278396238,0.419184278396238,"genotype_num"
"1367","Nras","NP-CT-L6b Glut",-1.45480110266319,5.6150443835356,14.312757176406,0.00137180985590954,0.433832776574051,0.433832776574051,"genotype_num"
"5985","Ptprg","NP-CT-L6b Glut",-1.54929189035431,5.85776742939367,14.2145924666793,0.00141136789175742,0.433832776574051,0.433832776574051,"genotype_num"
"6332","Sntb1","NP-CT-L6b Glut",1.06942799029201,6.96795889720558,13.8170997927916,0.00158275130596056,0.468494386564325,0.468494386564325,"genotype_num"
"759","Lrrc55","NP-CT-L6b Glut",1.18246541791454,6.70311734205189,13.0971139703249,0.00196956367967383,0.483932726676524,0.483932726676524,"genotype_num"
"952","Sstr4","NP-CT-L6b Glut",-0.891066693177906,7.39855870891723,12.4118714033596,0.00243635553667709,0.483932726676524,0.483932726676524,"genotype_num"
"2340","Wdr66","NP-CT-L6b Glut",-2.04891452946854,4.65625884640234,12.8650805775642,0.00199073765004228,0.483932726676524,0.483932726676524,"genotype_num"
"2781","Hrh1","NP-CT-L6b Glut",-2.11368804817637,4.93775213177806,12.0483579394697,0.0025126343942007,0.483932726676524,0.483932726676524,"genotype_num"
"3184","Ntrk3","NP-CT-L6b Glut",-1.68647491804755,6.56957585545893,12.5956089283461,0.00230371386682166,0.483932726676524,0.483932726676524,"genotype_num"
"3227","Dlg2","NP-CT-L6b Glut",-0.944805313661013,7.97184516444591,12.9489283191746,0.00206051157800019,0.483932726676524,0.483932726676524,"genotype_num"
"3918","Taf1d","NP-CT-L6b Glut",-1.23412660240069,6.07601066344298,12.3031450934309,0.0025247469326167,0.483932726676524,0.483932726676524,"genotype_num"
"4363","Ipcef1","NP-CT-L6b Glut",-0.900423090502177,7.37325203487642,12.0614988728695,0.00272275652956292,0.483932726676524,0.483932726676524,"genotype_num"
"4512","Chchd10","NP-CT-L6b Glut",1.38389149285177,8.35891818125204,12.6759447308412,0.00224258738734251,0.483932726676524,0.483932726676524,"genotype_num"
"4544","Plppr3","NP-CT-L6b Glut",-1.81627842318541,5.45060630661828,12.6501317215347,0.0022374128320134,0.483932726676524,0.483932726676524,"genotype_num"
"5147","Car10","NP-CT-L6b Glut",-1.13568743718249,6.48271019805232,11.9944957239046,0.00278539857696698,0.483932726676524,0.483932726676524,"genotype_num"
"5900","Atp6ap1l","NP-CT-L6b Glut",-1.86006238459539,5.18320865224272,12.2219648135168,0.00257711052884667,0.483932726676524,0.483932726676524,"genotype_num"
