"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"4726","Klf2","OPC",5.31155004860719,3.89896743595942,64.8102892483445,2.75471606086584e-06,0.0285030470817788,0.0285030470817788,"genotype_num"
"3827","Fosb","OPC",-0.73346918243579,10.1442159072413,42.5363464324806,1.23471234512811e-05,0.0319389215876014,0.0319389215876014,"genotype_num"
"6434","Per1","OPC",-1.04522774208042,7.58861154289854,44.2486042655969,9.9490536420217e-06,0.0319389215876014,0.0319389215876014,"genotype_num"
"7387","Hist1h1e","OPC",0.836017560746928,7.34295493312123,43.2916611946633,1.12162004051273e-05,0.0319389215876014,0.0319389215876014,"genotype_num"
"789","Hspa5","OPC",0.683302093341348,7.87807850818332,37.9645139135257,2.27484956369393e-05,0.0470757368710822,0.0470757368710822,"genotype_num"
"1289","Snhg11","OPC",-0.720606098508685,6.60958043300014,35.6881392576613,3.14887587513815e-05,0.0543023644667574,0.0543023644667574,"genotype_num"
"2396","Clic4","OPC",0.880746029961294,6.08939394222849,29.0259039513977,8.97644899075275e-05,0.103199241897021,0.103199241897021,"genotype_num"
"5496","Manf","OPC",0.580486480354897,7.68719592259871,30.0068185852181,7.61596384244145e-05,0.103199241897021,0.103199241897021,"genotype_num"
"8902","Sox8","OPC",0.499314608363083,9.34078099120332,29.2801027721133,8.59877317311209e-05,0.103199241897021,0.103199241897021,"genotype_num"
"8537","Sdf2l1","OPC",0.685939801487722,6.77307476572031,28.1190457510504,0.000104855550664999,0.108494038273075,0.108494038273075,"genotype_num"
"264","Per2","OPC",-0.652690384016755,6.80609327134172,23.2087972774881,0.000259655340134582,0.116700176561003,0.116700176561003,"genotype_num"
"316","Dbi","OPC",0.479613412926992,9.32567971372709,22.4957718679919,0.000299259390872773,0.116700176561003,0.116700176561003,"genotype_num"
"818","Scai","OPC",-0.588238524554112,6.50662216332024,22.7598648096751,0.000283839346244896,0.116700176561003,0.116700176561003,"genotype_num"
"1784","S1pr1","OPC",7.26196446459822,2.7069742829184,22.7564429814039,0.000247043261027681,0.116700176561003,0.116700176561003,"genotype_num"
"2053","Cavin4","OPC",-1.26190937433188,4.41408472819388,22.5688418266585,0.000294979345327052,0.116700176561003,0.116700176561003,"genotype_num"
"2387","Stmn1","OPC",1.00709929368697,6.35877429675245,22.2293898793426,0.000315802159438299,0.116700176561003,0.116700176561003,"genotype_num"
"2536","Ccnl2","OPC",-0.525139840797916,7.37118229647902,23.7058603645809,0.000235579092748868,0.116700176561003,0.116700176561003,"genotype_num"
"2623","Lmbr1","OPC",1.14455666181033,5.7656345666047,23.9879324960273,0.000223068159292069,0.116700176561003,0.116700176561003,"genotype_num"
"3033","Sfswap","OPC",-0.529592820089692,7.09557336754655,23.3427813113474,0.00025289883251335,0.116700176561003,0.116700176561003,"genotype_num"
"3329","Pdia4","OPC",0.604460199119194,7.23039872450954,22.4361818419823,0.000302873387812794,0.116700176561003,0.116700176561003,"genotype_num"
"3631","P3h3","OPC",-0.711396252546731,6.15849368044979,22.2387942443997,0.000315201671206642,0.116700176561003,0.116700176561003,"genotype_num"
"4496","Arglu1","OPC",-0.453691173212859,8.2460544652985,22.6784064733864,0.0002884933584727,0.116700176561003,0.116700176561003,"genotype_num"
"5224","Zbtb16","OPC",-1.08992494186512,6.17613851532955,25.0494235409701,0.000182295290636414,0.116700176561003,0.116700176561003,"genotype_num"
"6028","Nap1l1","OPC",0.86741561403715,5.79399421712984,25.9187513729518,0.000155175970093456,0.116700176561003,0.116700176561003,"genotype_num"
"7382","Hist1h1b","OPC",2.10246188575515,4.91966526842301,22.5857574742682,0.000294001015669022,0.116700176561003,0.116700176561003,"genotype_num"
"7388","Hist1h2bc","OPC",0.69758388892229,6.46257504818697,24.6220333836595,0.00019758718805803,0.116700176561003,0.116700176561003,"genotype_num"
"8376","Dbx2","OPC",0.813848105813224,6.23002703039934,23.0137056009992,0.000269864293524309,0.116700176561003,0.116700176561003,"genotype_num"
"8434","Nr4a1","OPC",-0.638950532816426,9.82976980970862,22.8392309606183,0.000279377761290465,0.116700176561003,0.116700176561003,"genotype_num"
"7005","Odc1","OPC",-0.566380385400612,7.53602544570875,21.8250442360255,0.000342935316861831,0.120912811399702,0.120912811399702,"genotype_num"
"10239","Tceal5","OPC",-0.644629038530628,6.21263116746699,21.7178812466018,0.000350573532617288,0.120912811399702,0.120912811399702,"genotype_num"
"9977","Rbm3","OPC",-0.77047503722245,5.59743689529872,20.9894842559775,0.000407925642735596,0.136155052431781,0.136155052431781,"genotype_num"
"5062","Fam76b","OPC",-0.609765418575961,6.35363534960185,20.7189223900987,0.000431890005549052,0.139648933981751,0.139648933981751,"genotype_num"
"8147","Rad21","OPC",0.559390680531315,6.93425240543269,20.1562718466823,0.00048709250560682,0.152445728930421,0.152445728930421,"genotype_num"
"9163","Safb2","OPC",-0.487105561993358,6.98936078871554,20.0266019841693,0.000500933099800358,0.152445728930421,0.152445728930421,"genotype_num"
"1039","Ccdc32","OPC",1.21618263454464,4.6820463401909,19.4915419153849,0.000563111734033719,0.162171416453861,0.162171416453861,"genotype_num"
"7701","Nnt","OPC",-0.697255420436627,6.11026408603898,19.4816659306956,0.000564238039271189,0.162171416453861,0.162171416453861,"genotype_num"
"8983","Akap8l","OPC",-0.488462051826409,7.16086253948525,19.2329372574031,0.00059613104166826,0.16670724022004,0.16670724022004,"genotype_num"
"1284","Nnat","OPC",0.663638140542676,7.97577004458273,18.7063271388901,0.000670713849672679,0.173916873537768,0.173916873537768,"genotype_num"
"1418","Pcmtd2","OPC",-0.40688509186046,8.36611055960418,18.4328895840533,0.000713620704441154,0.173916873537768,0.173916873537768,"genotype_num"
