"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"2438","Spock2","Peri",5.7193992964853,6.3274651290305,38.521673358569,9.77584555585847e-06,0.0434145301135675,0.0434145301135675,"genotype_num"
"174","Rgs16","Peri",-2.49685671614945,6.27551065016112,18.0556864007676,0.000586397078639474,0.699970143456206,0.699970143456206,"genotype_num"
"1553","Ddx47","Peri",1.61887485638766,6.54336444649713,16.4594578411205,0.000875913090672328,0.699970143456206,0.699970143456206,"genotype_num"
"1621","Six5","Peri",1.60739463234635,6.64344818365568,15.5892264158257,0.00110330803967427,0.699970143456206,0.699970143456206,"genotype_num"
"2002","Smarca5","Peri",1.27658240540085,7.05226100333589,17.1154963266461,0.000737661403631957,0.699970143456206,0.699970143456206,"genotype_num"
"2877","Nr1d1","Peri",-1.25844898509552,9.08223370108486,15.9215467448988,0.00100753430984208,0.699970143456206,0.699970143456206,"genotype_num"
"3310","Nr1d2","Peri",-1.30363881153845,8.11407036102667,15.717220448839,0.00106433121607388,0.699970143456206,0.699970143456206,"genotype_num"
"1","Lypla1","Peri",0.0267571159743674,6.44139380570107,0.00426025183036913,0.948747803268823,0.99769087786356,0.99769087786356,"genotype_num"
"2","Tcea1","Peri",-0.0410598883586364,7.58011790097532,0.0225087878810045,0.882570253027704,0.99769087786356,0.99769087786356,"genotype_num"
"3","Atp6v1h","Peri",-0.1117915916948,7.04959007238325,0.165139508113814,0.689719816369004,0.99769087786356,0.99769087786356,"genotype_num"
"4","Rb1cc1","Peri",0.181623814044455,6.81965262960609,0.264707085718453,0.613766591089405,0.99769087786356,0.99769087786356,"genotype_num"
"5","Pcmtd1","Peri",0.352445855852809,6.64706903718271,0.794354260597551,0.385678306553097,0.99769087786356,0.99769087786356,"genotype_num"
"6","Cops5","Peri",0.372767115463209,6.43249750005263,0.878544405967247,0.362208283755815,0.99769087786356,0.99769087786356,"genotype_num"
"7","Arfgef1","Peri",0.111468189793433,7.0095774342802,0.125744213809847,0.727403719342065,0.99769087786356,0.99769087786356,"genotype_num"
"8","Prex2","Peri",0.0431526344846849,7.87848406736152,0.0351642770639769,0.853551049993303,0.99769087786356,0.99769087786356,"genotype_num"
"9","Ncoa2","Peri",0.398660073360365,6.96561351837757,1.50714744244109,0.236900276829903,0.99769087786356,0.99769087786356,"genotype_num"
"10","Tram1","Peri",0.0467720384662648,8.46875762613288,0.0458173214408132,0.833145327301665,0.99769087786356,0.99769087786356,"genotype_num"
"11","Lactb2","Peri",-0.140351306652159,7.1211717306029,0.245247185977272,0.627010337244483,0.99769087786356,0.99769087786356,"genotype_num"
"12","Rdh10","Peri",0.0402158806640381,7.05813298764323,0.0177189063096823,0.895723567638063,0.99769087786356,0.99769087786356,"genotype_num"
"13","Ube2w","Peri",-0.237854307906938,7.03134614227376,0.522035908759627,0.480148834598564,0.99769087786356,0.99769087786356,"genotype_num"
"14","Smap1","Peri",-0.336429527176967,6.28676599602707,0.559282300428418,0.46514828531774,0.99769087786356,0.99769087786356,"genotype_num"
"15","Fam135a","Peri",0.0926669141944163,6.33420937469489,0.0462050488652659,0.832457322591547,0.99769087786356,0.99769087786356,"genotype_num"
"16","Lmbrd1","Peri",-0.0583578114821477,8.23833584140642,0.0809419817238457,0.779583957005935,0.99769087786356,0.99769087786356,"genotype_num"
"17","Phf3","Peri",-0.479098523472661,6.80801557624742,2.15615071852989,0.160915912784467,0.99769087786356,0.99769087786356,"genotype_num"
