"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Tcea1","SMC",-0.759994691539019,7.28056972187209,2.07590992221022,0.169893983182447,0.999908680107084,0.999908680107084,"genotype_num"
"2","Atp6v1h","SMC",-0.820180689898476,6.99556060391637,1.89099472214029,0.189141961928111,0.999908680107084,0.999908680107084,"genotype_num"
"3","Rb1cc1","SMC",-1.20106093763692,7.01494649583064,3.62030587228139,0.0760622775807528,0.999908680107084,0.999908680107084,"genotype_num"
"4","Pcmtd1","SMC",0.0272107188283981,7.12390933564776,0.00143218359815577,0.970309653660646,0.999908680107084,0.999908680107084,"genotype_num"
"5","Cops5","SMC",0.405596506880283,6.87967675438064,0.241050284559257,0.630456642615629,0.999908680107084,0.999908680107084,"genotype_num"
"6","Arfgef1","SMC",-0.190762379761753,7.10586834926327,0.0928455635565764,0.76475135131125,0.999908680107084,0.999908680107084,"genotype_num"
"7","Ncoa2","SMC",-0.400639416121913,7.09869674491285,0.321613280607473,0.579025116064126,0.999908680107084,0.999908680107084,"genotype_num"
"8","Tram1","SMC",0.402472370898129,7.44724495797938,0.513841969438639,0.484429890338196,0.999908680107084,0.999908680107084,"genotype_num"
"9","Eloc","SMC",-0.126249705615086,6.71895144131003,0.0224181817973002,0.882915597087928,0.999908680107084,0.999908680107084,"genotype_num"
"10","Pi15","SMC",0.42782073056224,8.26695342931105,0.655802533557752,0.430709395167478,0.999908680107084,0.999908680107084,"genotype_num"
"11","Lmbrd1","SMC",-0.445122270610259,7.12138539709884,0.641419568911834,0.435640282647638,0.999908680107084,0.999908680107084,"genotype_num"
"12","Phf3","SMC",0.172832483350597,6.94298575594832,0.0674938649113072,0.798519919371531,0.999908680107084,0.999908680107084,"genotype_num"
"13","Dst","SMC",0.0767728239898476,8.91570081875266,0.0327473625940162,0.858816073982618,0.999908680107084,0.999908680107084,"genotype_num"
"14","Fam168b","SMC",-0.0703169812182722,8.35474553470886,0.0323295964698724,0.859711961964883,0.999908680107084,0.999908680107084,"genotype_num"
"15","Plekhb2","SMC",0.0816780543724189,7.05658218970031,0.0155374220366512,0.902443099009533,0.999908680107084,0.999908680107084,"genotype_num"
"16","Arid5a","SMC",0.00412837148018124,8.07306638856032,9.52170027808474e-05,0.992343090456593,0.999908680107084,0.999908680107084,"genotype_num"
"17","Kansl3","SMC",-0.236280538328244,6.81133086483322,0.130819196409724,0.722529234192589,0.999908680107084,0.999908680107084,"genotype_num"
"18","Cox5b","SMC",-0.726968254885418,7.60862993079163,1.41737912577493,0.252359897254196,0.999908680107084,0.999908680107084,"genotype_num"
"19","Actr1b","SMC",0.165735637731813,7.657417099739,0.101554092832117,0.754372340530096,0.999908680107084,0.999908680107084,"genotype_num"
"20","Tmem131","SMC",0.8853980086635,7.96530427370702,3.64588439403823,0.0755131831892988,0.999908680107084,0.999908680107084,"genotype_num"
"21","Inpp4a","SMC",0.42358864360352,7.7709996980237,0.714446320347996,0.411252222737395,0.999908680107084,0.999908680107084,"genotype_num"
"22","Txndc9","SMC",-0.0694174126728666,7.17073092103688,0.00904695173694382,0.925473252792818,0.999908680107084,0.999908680107084,"genotype_num"
"23","Eif5b","SMC",-0.694760782049237,7.28457212136271,1.83004973132753,0.196185411778065,0.999908680107084,0.999908680107084,"genotype_num"
"24","Pdcl3","SMC",0.156624195922135,8.24628650543926,0.107573662399956,0.747457230750553,0.999908680107084,0.999908680107084,"genotype_num"
"25","Map4k4","SMC",-0.565820465717992,7.78898073364211,1.24655905147631,0.281792325151304,0.999908680107084,0.999908680107084,"genotype_num"
"26","Il1r1","SMC",0.12132226896362,7.36099704588318,0.0412893863645449,0.841711013381158,0.999908680107084,0.999908680107084,"genotype_num"
"27","Col3a1","SMC",-0.626480602300419,7.11811420040593,0.434401391139295,0.519853625465207,0.999908680107084,0.999908680107084,"genotype_num"
"28","Myo1b","SMC",-0.344081976850294,8.77514019460208,0.68749816847129,0.420008855405856,0.999908680107084,0.999908680107084,"genotype_num"
"29","Gls","SMC",0.337141298965055,7.44000191389846,0.228304383034221,0.639661969099462,0.999908680107084,0.999908680107084,"genotype_num"
"30","Nab1","SMC",0.245657821315226,8.42715648897818,0.401937784413112,0.535633638189396,0.999908680107084,0.999908680107084,"genotype_num"
"31","Sf3b1","SMC",0.621493302594116,8.57849190470702,2.38927144780413,0.142991824828254,0.999908680107084,0.999908680107084,"genotype_num"
"32","Coq10b","SMC",0.764018462594321,8.29195246045442,3.05500582465288,0.100919469018271,0.999908680107084,0.999908680107084,"genotype_num"
"33","Mob4","SMC",0.288194221812805,7.54797301532736,0.32699493016766,0.57591391042385,0.999908680107084,0.999908680107084,"genotype_num"
"34","Rftn2","SMC",-1.10465724426444,7.02265964452536,3.69594501073519,0.0731622835392453,0.999908680107084,0.999908680107084,"genotype_num"
"35","Plcl1","SMC",-0.0866251453617279,7.39253458238564,0.0241338432808359,0.878619073812757,0.999908680107084,0.999908680107084,"genotype_num"
"36","Bzw1","SMC",0.651170290803866,7.51228106274299,1.55314753549436,0.231705640469094,0.999908680107084,0.999908680107084,"genotype_num"
"37","Clk1","SMC",-0.149783935441745,9.47915024890665,0.141096717763295,0.712442113037811,0.999908680107084,0.999908680107084,"genotype_num"
"38","Trak2","SMC",1.0368270650398,8.1267745142878,4.03645338614064,0.0628546652025015,0.999908680107084,0.999908680107084,"genotype_num"
"39","Fzd7","SMC",-0.601258579009353,7.69687673637701,1.11756855179892,0.307193616630012,0.999908680107084,0.999908680107084,"genotype_num"
