"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"3","Tram1","T cells",0.496219277222281,9.54886915642363,2.09599830707002,0.170707012557727,0.987943449894875,0.987943449894875,"genotype_num"
"4","Ptpn18","T cells",-0.333645496259595,9.67887152208347,1.03793799578141,0.326366178460878,0.987943449894875,0.987943449894875,"genotype_num"
"5","Fam168b","T cells",-0.243201689662511,9.00044893163215,0.331085950459124,0.57457721943401,0.987943449894875,0.987943449894875,"genotype_num"
"6","Plekhb2","T cells",0.456307071784403,8.34361122142711,0.946470678389102,0.347945884035079,0.987943449894875,0.987943449894875,"genotype_num"
"7","Neurl3","T cells",-0.246082935638699,9.63442618153118,0.397879022263876,0.538810681728374,0.987943449894875,0.987943449894875,"genotype_num"
"8","Arid5a","T cells",-0.424298476321445,7.99823845983131,0.622900341226179,0.44382738369353,0.987943449894875,0.987943449894875,"genotype_num"
"9","Cox5b","T cells",0.235441669393852,8.48193115641518,0.173711313695576,0.683473142860322,0.987943449894875,0.987943449894875,"genotype_num"
"11","Map4k4","T cells",0.342271080292075,8.27901282043161,0.443498406466144,0.516806282852812,0.987943449894875,0.987943449894875,"genotype_num"
"13","Il18r1","T cells",0.598035899143938,9.25154063014253,1.47997281958482,0.244811688708202,0.987943449894875,0.987943449894875,"genotype_num"
"14","Il18rap","T cells",0.243541991375945,8.69413234007496,0.230684638463431,0.638793013182659,0.987943449894875,0.987943449894875,"genotype_num"
"16","Nabp1","T cells",-0.181528078561474,9.55127126210809,0.226741109625395,0.641631286671893,0.987943449894875,0.987943449894875,"genotype_num"
"18","Stat1","T cells",0.419246202711,9.61351748239239,1.04138686703562,0.325594413497007,0.987943449894875,0.987943449894875,"genotype_num"
"19","Gls","T cells",0.271512685633883,8.92283823773554,0.424875077418147,0.525566763714798,0.987943449894875,0.987943449894875,"genotype_num"
"20","Nab1","T cells",0.778053052386645,8.6530138668255,2.93613431784309,0.109729368078842,0.987943449894875,0.987943449894875,"genotype_num"
