"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"13","Kcne4","VLMC",3.0281203462089,9.72376797830681,10.7352334732929,0.009800740933171,0.942150369401451,0.942150369401451,"genotype_num"
"24","Fmod","VLMC",-2.36764012645149,9.89719182401847,9.12664851684531,0.0148558092021927,0.942150369401451,0.942150369401451,"genotype_num"
"49","Plxdc2","VLMC",-1.84618333670249,9.97776937347036,8.52090374714033,0.0174771436341117,0.942150369401451,0.942150369401451,"genotype_num"
"59","Hspa5","VLMC",2.89586828616119,9.44804732176341,10.09130393673,0.0113357216000593,0.942150369401451,0.942150369401451,"genotype_num"
"83","Gatm","VLMC",-1.49341499354983,10.7081004786033,7.39918558352581,0.024065215553336,0.942150369401451,0.942150369401451,"genotype_num"
"127","Cers2","VLMC",-1.84388935414716,9.29315619341163,6.75739954356422,0.0294032309123014,0.942150369401451,0.942150369401451,"genotype_num"
"184","Clstn1","VLMC",2.41213653916851,9.38847909170346,8.5158464463513,0.0173780877071017,0.942150369401451,0.942150369401451,"genotype_num"
"197","Sod3","VLMC",2.35361529361623,9.85352116367609,8.18058342955979,0.0191707859728024,0.942150369401451,0.942150369401451,"genotype_num"
"208","Spp1","VLMC",1.14001225867007,12.3438699416128,7.32223526053173,0.024615143649797,0.942150369401451,0.942150369401451,"genotype_num"
"291","Selenos","VLMC",-1.90027360640524,9.33046377358012,6.58602397532373,0.0309510633837533,0.942150369401451,0.942150369401451,"genotype_num"
"361","Hspa8","VLMC",2.22702887960003,10.1606601474554,7.36548628542585,0.0243138458808457,0.942150369401451,0.942150369401451,"genotype_num"
"422","P4ha1","VLMC",3.65766015235128,9.12576208977899,8.67452939300314,0.015518141845088,0.942150369401451,0.942150369401451,"genotype_num"
"438","Midn","VLMC",3.63050947998962,9.17430161475608,6.75282347560725,0.0283132376890163,0.942150369401451,0.942150369401451,"genotype_num"
"439","Gadd45b","VLMC",3.36250160356914,9.82067400798173,15.8205478386859,0.0032876448756373,0.942150369401451,0.942150369401451,"genotype_num"
