"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1708","Phgdh","Astro-TE",0.495686149206675,7.65629497108261,54.3127950228291,1.45723786161785e-05,0.0377825346570968,0.0377825346570968,"genotype_num"
"5505","Abhd14a","Astro-TE",-0.787662801470268,5.42556437152198,66.7881051851775,5.52384305638618e-06,0.0377825346570968,0.0377825346570968,"genotype_num"
"6740","Cnp","Astro-TE",-0.750791461439957,6.97815929616791,56.5363147379297,1.20989520338201e-05,0.0377825346570968,0.0377825346570968,"genotype_num"
"8738","Abhd10","Astro-TE",-0.700108048250723,5.63819486243309,58.4241379449012,1.03815892212926e-05,0.0377825346570968,0.0377825346570968,"genotype_num"
"8176","Enpp2","Astro-TE",-3.64839546103541,3.22839941659852,96.6915665783847,2.53123859218168e-05,0.0420116653462605,0.0420116653462605,"genotype_num"
"8289","Csnk1e","Astro-TE",-0.468723449503464,6.21005255434647,48.2661044339821,2.5018042061136e-05,0.0420116653462605,0.0420116653462605,"genotype_num"
"8611","Abcc5","Astro-TE",-0.513540574216786,7.86547450069093,46.9482869955464,2.83561524851821e-05,0.0420116653462605,0.0420116653462605,"genotype_num"
"3080","Abhd11","Astro-TE",-0.487912195595533,5.9636668167154,44.225624096238,3.70810677001137e-05,0.042729750346431,0.042729750346431,"genotype_num"
"7206","Abcd4","Astro-TE",-0.505528807675194,6.12878461648681,44.5498450287643,3.58900388825469e-05,0.042729750346431,0.042729750346431,"genotype_num"
"5033","Abcb10","Astro-TE",-0.800594080391155,4.33464861395282,42.4995876826151,4.4271435824281e-05,0.0459139060933618,0.0459139060933618,"genotype_num"
"1082","B2m","Astro-TE",0.662368053132542,6.16512703427805,39.8049963977746,5.90809196948979e-05,0.0463492089368379,0.0463492089368379,"genotype_num"
"4134","Abhd2","Astro-TE",-0.564183992058964,5.71295198957526,39.8494712059864,5.87931265747603e-05,0.0463492089368379,0.0463492089368379,"genotype_num"
"5506","Abhd14b","Astro-TE",-0.550717703007167,6.81851352995184,41.2927408791165,5.02824065586788e-05,0.0463492089368379,0.0463492089368379,"genotype_num"
"9953","Atp5md","Astro-TE",0.502315571815935,6.21493647409103,39.2864784879632,6.25676333155656e-05,0.0463492089368379,0.0463492089368379,"genotype_num"
"4529","Abhd13","Astro-TE",-0.621487352470885,5.65356674438691,36.9055200234284,8.20720575899968e-05,0.0567446206177238,0.0567446206177238,"genotype_num"
"3805","Tmem160","Astro-TE",0.530993862029279,5.40458280476562,35.0754135510893,0.000102081627285358,0.0588160309209137,0.0588160309209137,"genotype_num"
"6177","Ykt6","Astro-TE",0.475076169903079,5.91451240735354,35.536014375771,9.65461773826708e-05,0.0588160309209137,0.0588160309209137,"genotype_num"
"9223","Mllt1","Astro-TE",0.533067551924318,5.26564211269724,35.0784633484423,0.000102043969622769,0.0588160309209137,0.0588160309209137,"genotype_num"
"10367","mt-Nd4","Astro-TE",0.630340860503026,7.69504120719249,33.3378581327594,0.000126634911964001,0.069122666946245,0.069122666946245,"genotype_num"
"6277","Rack1","Astro-TE",0.519552209516854,5.67581171350724,31.6370239814924,0.000157738059164272,0.0817950705796331,0.0817950705796331,"genotype_num"
"3994","Dpy19l3","Astro-TE",-0.359468572184856,6.91811047682566,29.310932261724,0.000216244729567887,0.105567441734908,0.105567441734908,"genotype_num"
"8397","Abcd2","Astro-TE",-0.354587507486417,7.67023146238395,29.0613285151479,0.000223940190740332,0.105567441734908,0.105567441734908,"genotype_num"
"8615","Abcf3","Astro-TE",-0.510012188899372,5.34371940258985,28.6211403206671,0.000238320774454197,0.107461945733238,0.107461945733238,"genotype_num"
"8352","Shisal1","Astro-TE",-0.557431304682021,5.66382186957662,28.1498457252931,0.000254940969173524,0.110166366304109,0.110166366304109,"genotype_num"
"5872","Icosl","Astro-TE",-0.487982669934,7.02870965687624,27.7923824686921,0.00026846640618265,0.11137060394081,0.11137060394081,"genotype_num"
"1737","St7l","Astro-TE",-0.41750051912983,5.69527150430941,27.1063738066882,0.000296888145713425,0.118424113815151,0.118424113815151,"genotype_num"
"6159","Uqcr10","Astro-TE",0.421685226223358,6.07786291224339,26.3403060909827,0.000332942129932242,0.127886771463974,0.127886771463974,"genotype_num"
"634","Arhgap21","Astro-TE",0.333702899755718,7.01698263590722,22.1373005440294,0.000654597721986322,0.137848630263652,0.137848630263652,"genotype_num"
"879","Dync1i2","Astro-TE",0.319980294475291,6.3537530481565,22.4337557027849,0.000622326648890277,0.137848630263652,0.137848630263652,"genotype_num"
