"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Tcea1","BAM",-0.396588891393615,7.35082546137349,0.657743795927589,0.437183514351801,0.985730051925843,0.985730051925843,"genotype_num"
"2","Atp6v1h","BAM",-0.233832006440605,7.45989380630599,0.305822037995819,0.592997184477527,0.985730051925843,0.985730051925843,"genotype_num"
"3","Sgk3","BAM",0.392196227530615,7.34861598026373,0.874771522514329,0.372781836090031,0.985730051925843,0.985730051925843,"genotype_num"
"4","Arfgef1","BAM",-0.457804637676872,7.38059349394366,0.976108197315741,0.347608953781534,0.985730051925843,0.985730051925843,"genotype_num"
"5","Ncoa2","BAM",1.22732706281999,7.28493969869457,5.14405884475303,0.0480081282593059,0.985730051925843,0.985730051925843,"genotype_num"
"6","Tram1","BAM",0.330101704241455,8.80380328778189,1.31149807417587,0.279949317629436,0.985730051925843,0.985730051925843,"genotype_num"
"7","Lactb2","BAM",0.495754774617736,7.02529198142939,0.815048548476792,0.388879446572239,0.985730051925843,0.985730051925843,"genotype_num"
"8","Ly96","BAM",0.347344478811066,7.91345666580009,0.963784166349213,0.350454327231006,0.985730051925843,0.985730051925843,"genotype_num"
"11","Ptpn18","BAM",0.555326774050241,8.92255605126148,4.1193627668079,0.0711051119557321,0.985730051925843,0.985730051925843,"genotype_num"
"12","Fam168b","BAM",0.399321915600788,8.61159169886059,1.55466409932179,0.242102948436717,0.985730051925843,0.985730051925843,"genotype_num"
"14","Hs6st1","BAM",-0.359733985778074,7.97419436014988,0.569419705162526,0.468679802768103,0.985730051925843,0.985730051925843,"genotype_num"
"15","Uggt1","BAM",0.80206014822943,7.10756672607215,1.5937247159085,0.236838547890337,0.985730051925843,0.985730051925843,"genotype_num"
"16","Neurl3","BAM",-0.334222710103987,8.42664384734114,0.703293373716279,0.422137676141507,0.985730051925843,0.985730051925843,"genotype_num"
"18","Tmem131","BAM",0.588845956256996,7.4343882941491,1.94322439250487,0.19503408265534,0.985730051925843,0.985730051925843,"genotype_num"
"20","Eif5b","BAM",-1.01415668435205,7.01659132375903,1.89682112551082,0.199996389752984,0.985730051925843,0.985730051925843,"genotype_num"
"21","Rnf149","BAM",0.327889086378063,8.31073963566227,1.10880941111169,0.318219846264012,0.985730051925843,0.985730051925843,"genotype_num"
"22","Map4k4","BAM",0.595482516429046,7.38502503788854,1.25035033691423,0.290955522458276,0.985730051925843,0.985730051925843,"genotype_num"
"23","Tgfbrap1","BAM",0.504299931660578,7.84889876636478,2.47412493876479,0.148272816543795,0.985730051925843,0.985730051925843,"genotype_num"
"24","Tpp2","BAM",-0.322993938199637,7.71432993862083,0.716182860259896,0.418126272830525,0.985730051925843,0.985730051925843,"genotype_num"
"26","Nabp1","BAM",-1.28731429938163,6.93745530142901,5.2316138930875,0.0464322661865185,0.985730051925843,0.985730051925843,"genotype_num"
"28","Gls","BAM",-0.309959968619883,7.35203714770385,0.42727395436413,0.528807798663634,0.985730051925843,0.985730051925843,"genotype_num"
"30","Ankrd44","BAM",-0.944590947939223,7.29650794497661,2.35742249242438,0.157254044413208,0.985730051925843,0.985730051925843,"genotype_num"
"31","Sf3b1","BAM",-0.224399118406553,8.66795217060167,0.748760416891727,0.408035550251603,0.985730051925843,0.985730051925843,"genotype_num"
"32","Coq10b","BAM",-0.57506187170508,7.23153714078177,0.982734905929685,0.346064299383962,0.985730051925843,0.985730051925843,"genotype_num"
"35","Cflar","BAM",0.655307169616898,7.44714935563764,1.51038153322267,0.2485389489647,0.985730051925843,0.985730051925843,"genotype_num"
"37","Bmpr2","BAM",0.195168506973376,8.2186515799123,0.366416471073866,0.559059226742537,0.985730051925843,0.985730051925843,"genotype_num"
"38","Fam117b","BAM",-0.564029551556423,7.56728267683296,2.28826827797438,0.162774614173267,0.985730051925843,0.985730051925843,"genotype_num"
"40","Eef1b2","BAM",0.325341156160386,8.02467654925629,0.596448028519834,0.45861415168895,0.985730051925843,0.985730051925843,"genotype_num"
"41","Kansl1l","BAM",-0.398838686292145,7.31824141187453,0.837576274810184,0.382707263278679,0.985730051925843,0.985730051925843,"genotype_num"
"43","Aamp","BAM",-0.272370057188545,8.12728766083042,0.747181477762998,0.408541520652879,0.985730051925843,0.985730051925843,"genotype_num"
"44","Tmbim1","BAM",-0.337895012210871,7.36996343612176,0.239748058887122,0.635476382070456,0.985730051925843,0.985730051925843,"genotype_num"
"45","Slc11a1","BAM",-0.418093844772834,8.5140996955218,1.73436635420093,0.218520756334119,0.985730051925843,0.985730051925843,"genotype_num"
"46","Ctdsp1","BAM",-0.2181385415092,8.24429939058782,0.279510667002942,0.60907117182933,0.985730051925843,0.985730051925843,"genotype_num"
"47","Cyp27a1","BAM",-0.438049577965766,8.45079066389439,1.78949533325984,0.211915803263611,0.985730051925843,0.985730051925843,"genotype_num"
"49","Cul3","BAM",0.619118580586135,7.71632391427219,1.56021204215345,0.241456848440466,0.985730051925843,0.985730051925843,"genotype_num"
