"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"4733","Cnp","COP",-0.88765604701886,11.7976089358903,66.3145390512092,8.75596001760246e-08,0.000636733412480051,0.000636733412480051,"genotype_num"
"3191","Rnf122","COP",-0.956355518633419,8.49159478175189,38.936903577383,4.26541826463909e-06,0.0155090608102277,0.0155090608102277,"genotype_num"
"7146","Gpr165","COP",-1.26292865814209,7.7531338399498,32.6781568143631,1.34884574575458e-05,0.032696020877091,0.032696020877091,"genotype_num"
"1595","Mfsd2a","COP",-0.93447043026239,7.95418668120533,24.6723509348785,7.38338645536553e-05,0.107383972606836,0.107383972606836,"genotype_num"
"5666","Rictor","COP",-0.713378427761851,8.89733443873885,24.7012734326568,7.3337996226889e-05,0.107383972606836,0.107383972606836,"genotype_num"
"251","Nfasc","COP",-0.498282252538082,12.2835075428049,20.0529524078676,0.00022952298473256,0.176740583813043,0.176740583813043,"genotype_num"
"992","Col9a3","COP",-0.578964282048528,9.52465014377089,18.6077303134613,0.000336929335791643,0.176740583813043,0.176740583813043,"genotype_num"
"1557","Pik3r3","COP",-0.760071659186636,9.95132551372166,19.2152728342853,0.000286186721762079,0.176740583813043,0.176740583813043,"genotype_num"
"2674","Fosb","COP",-2.02450738286133,7.33096409013482,19.4979767425699,0.000265592814850261,0.176740583813043,0.176740583813043,"genotype_num"
"2761","Mag","COP",-0.832882368222393,10.0828226337228,20.8146514045518,0.000188604358272503,0.176740583813043,0.176740583813043,"genotype_num"
"3049","Fus","COP",-1.03312950757439,7.3033179447605,20.3333489844802,0.000213446033823205,0.176740583813043,0.176740583813043,"genotype_num"
"4238","Cpsf6","COP",-0.724352274373497,8.21597761047222,18.571531256142,0.000340259649805089,0.176740583813043,0.176740583813043,"genotype_num"
"4359","Peli1","COP",-0.653759673492129,9.20800612104813,19.2343142342351,0.000284740834086607,0.176740583813043,0.176740583813043,"genotype_num"
"6600","Egr1","COP",-2.89281191312749,4.93652348034848,17.5428352468364,0.000338447757134962,0.176740583813043,0.176740583813043,"genotype_num"
"2085","Ptpn11","COP",-0.718583673118254,8.22949564492683,18.1061626877553,0.000386358355816723,0.187306530899947,0.187306530899947,"genotype_num"
"6042","Abcc5","COP",-0.756487606252292,7.99705671803582,17.7333338645317,0.000428280618172539,0.194653540959419,0.194653540959419,"genotype_num"
"6157","App","COP",-0.493208389674967,10.9435888772991,17.4190261615734,0.000467522013497691,0.199989416597365,0.199989416597365,"genotype_num"
"5849","Pnpla3","COP",-1.19767300703693,6.13302683913166,16.762739012712,0.000563454107884831,0.227635459585472,0.227635459585472,"genotype_num"
"538","Ptpa","COP",1.17370738612188,6.81939554713247,15.4343301233604,0.000829507031955399,0.242560648649856,0.242560648649856,"genotype_num"
"1464","Lpar1","COP",-2.01905138899352,5.05485090030286,16.2747351983753,0.000636863790482318,0.242560648649856,0.242560648649856,"genotype_num"
"1926","Prom1","COP",-1.80952672726191,5.26897362783621,15.8989460299289,0.000682583491088341,0.242560648649856,0.242560648649856,"genotype_num"
"2438","Tgfa","COP",0.621708428892513,8.78053319565629,15.9119731130908,0.000720181140948407,0.242560648649856,0.242560648649856,"genotype_num"
"5944","Prr13","COP",2.08052502591986,5.50003740139278,15.8182682698179,0.000741657211461904,0.242560648649856,0.242560648649856,"genotype_num"
"6673","Zfp608","COP",-0.861204290831129,7.15548038455058,15.5184500956825,0.000808907684477818,0.242560648649856,0.242560648649856,"genotype_num"
"6886","Abhd17b","COP",-0.641549013295673,8.70617973547231,15.4159097146718,0.000833885618295709,0.242560648649856,0.242560648649856,"genotype_num"
"364","Atp1a2","COP",-2.26660871829475,6.2141677344255,15.0949655774088,0.000921110986439287,0.248085892347648,0.248085892347648,"genotype_num"
"6497","Strn","COP",-0.610737149914513,8.75120392524879,15.0875681325823,0.000920005811764987,0.248085892347648,0.248085892347648,"genotype_num"
"419","Pacc1","COP",-1.11581419465797,6.24661431962777,14.9328166816254,0.000964341443202014,0.250453249105894,0.250453249105894,"genotype_num"
"907","Dlgap4","COP",-0.578771798702587,8.54018406532728,14.4436257812858,0.00111894486583151,0.267796914870873,0.267796914870873,"genotype_num"
"2681","Clasrp","COP",-0.997030455266988,7.27019409539446,14.2756748055563,0.00117842426785863,0.267796914870873,0.267796914870873,"genotype_num"
"3034","Fbrs","COP",-1.01572747293571,6.41662088151195,14.4756726008685,0.00110828384520107,0.267796914870873,0.267796914870873,"genotype_num"
"6090","Sema5b","COP",-0.952783854657074,6.88858758191952,14.3076643651671,0.00116692552615441,0.267796914870873,0.267796914870873,"genotype_num"
"491","Qsox2","COP",-1.22404318098336,5.73681724527828,13.4743148217079,0.00151546169724671,0.329045580585498,0.329045580585498,"genotype_num"
"2327","Ptn","COP",-1.28920140809376,6.57691463471607,13.4193927848738,0.00154121278641492,0.329045580585498,0.329045580585498,"genotype_num"
"3933","Ss18l2","COP",-0.557374317824874,8.79416906410843,13.3332790103762,0.00158369022559027,0.329045580585498,0.329045580585498,"genotype_num"
"6887","Klf9","COP",-0.802924873008481,7.04461340618321,13.0664771518433,0.00172503988528597,0.348458056827766,0.348458056827766,"genotype_num"
