"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"555","Apoe","DC",3.20421324987811,13.2892755601577,80.634715374268,5.06456263736153e-06,0.00767281239560272,0.00767281239560272,"genotype_num"
"192","Mafb","DC",4.5926038620846,9.31807312153421,33.7441628275612,0.000131306563963824,0.0994647222025966,0.0994647222025966,"genotype_num"
"349","C1qa","DC",2.01989925131621,11.4967145534251,23.6792025321395,0.000707026700504137,0.357048483754589,0.357048483754589,"genotype_num"
"735","Icam1","DC",-1.87558539830845,8.97724340672989,19.5156726752206,0.00139818832046876,0.401484052882028,0.401484052882028,"genotype_num"
"1319","Tubb5","DC",-1.73835564158313,9.42479302774484,21.009715154287,0.00107935929593463,0.401484052882028,0.401484052882028,"genotype_num"
"1378","Adrb2","DC",2.78276185047389,8.83212994559968,18.6980407851704,0.00159003585299813,0.401484052882028,0.401484052882028,"genotype_num"
"268","H2afz","DC",-1.40222955960212,9.52100396443916,15.24501179273,0.00309584598359742,0.452032410874548,0.452032410874548,"genotype_num"
"603","Slco2b1","DC",4.53599244436741,8.21021021917925,13.871623556409,0.00328208351130035,0.452032410874548,0.452032410874548,"genotype_num"
"719","Maf","DC",4.65651792392616,8.61962199054966,13.9546779255426,0.00299385080069454,0.452032410874548,0.452032410874548,"genotype_num"
"870","Dusp6","DC",3.72041605776227,8.71832948500445,16.1170543893596,0.00226393128179369,0.452032410874548,0.452032410874548,"genotype_num"
"1115","Plau","DC",3.58095668142502,7.91590024412582,14.0616073077494,0.00327383435660866,0.452032410874548,0.452032410874548,"genotype_num"
"252","Txnip","DC",1.44453660182928,10.4304709248271,14.027100290888,0.00399430355058233,0.465489990702479,0.465489990702479,"genotype_num"
"952","Adap2","DC",1.95800924918179,8.4425816351058,14.2899156726811,0.00379740560538376,0.465489990702479,0.465489990702479,"genotype_num"
"348","C1qc","DC",2.61481645507775,9.80439254604913,13.0357926289987,0.00499510695124364,0.511189644696662,0.511189644696662,"genotype_num"
"544","Lair1","DC",2.75754393706173,8.28486459465448,12.8224134457982,0.00506128361085804,0.511189644696662,0.511189644696662,"genotype_num"
"197","Pltp","DC",-1.55633275241766,9.3078758372004,11.0181861153882,0.00806857745699345,0.601948162022851,0.601948162022851,"genotype_num"
"513","C3ar1","DC",1.84999710342821,9.08010285580871,11.1426399538679,0.00783024868127272,0.601948162022851,0.601948162022851,"genotype_num"
"651","Arhgef18","DC",-1.80011135758253,8.08406379240841,10.9030494389223,0.00834383590922763,0.601948162022851,0.601948162022851,"genotype_num"
"1165","Otulinl","DC",1.4383641409869,9.57773783383955,10.9680660474241,0.00814837581809987,0.601948162022851,0.601948162022851,"genotype_num"
"1366","Cd14","DC",1.79621775282398,10.8103532966005,11.2930730192181,0.00750517169535526,0.601948162022851,0.601948162022851,"genotype_num"
"1428","Ms4a6d","DC",2.2968787581336,8.32736541162874,10.8789331565317,0.00823464820308034,0.601948162022851,0.601948162022851,"genotype_num"
"242","S100a10","DC",-1.43561364340818,9.98651380992988,10.4673414131093,0.00924575111385936,0.636696042613497,0.636696042613497,"genotype_num"
"290","Tgfbr1","DC",1.37705277817589,9.57950592305809,8.80700617421724,0.0145182311958135,0.646915301813454,0.646915301813454,"genotype_num"
"347","C1qb","DC",1.36799922109185,11.4377931623501,9.60859215526409,0.0115996399360284,0.646915301813454,0.646915301813454,"genotype_num"
"588","Ube3a","DC",-1.74971206906099,7.93499588828766,9.07744392558314,0.0133878273362626,0.646915301813454,0.646915301813454,"genotype_num"
"682","Bst2","DC",1.8067310412285,9.68341429693226,10.1170923870974,0.0101442083746041,0.646915301813454,0.646915301813454,"genotype_num"
"716","Ist1","DC",-1.3739917175736,8.3884675837633,9.98261335686794,0.0105689992551584,0.646915301813454,0.646915301813454,"genotype_num"
"893","H2afv","DC",-1.92079173560415,8.23417271341603,9.36076353308784,0.0125025965794143,0.646915301813454,0.646915301813454,"genotype_num"
"1101","Iqgap2","DC",-1.41991450723174,8.30214604076751,9.21917973933822,0.0129973999575053,0.646915301813454,0.646915301813454,"genotype_num"
"1124","Lgals3","DC",-1.14095934491292,11.1610403142517,9.25719264262284,0.0127714863743861,0.646915301813454,0.646915301813454,"genotype_num"
"1147","Lpar6","DC",1.50590415371218,9.00850354338923,8.91987031089041,0.0141026999621489,0.646915301813454,0.646915301813454,"genotype_num"
"1216","Krt80","DC",-1.86079035437556,8.40639172274182,9.51625299530937,0.0119786397012563,0.646915301813454,0.646915301813454,"genotype_num"
"1245","Itgb5","DC",1.54336841327061,9.39844985168119,9.47684346481214,0.0120794266012222,0.646915301813454,0.646915301813454,"genotype_num"
"1304","Tap2","DC",2.09056770499696,8.02431942085281,8.90337681540494,0.0138414988618278,0.646915301813454,0.646915301813454,"genotype_num"
"398","Ccng2","DC",-1.87054079678243,7.63743872268501,8.55082552430728,0.0154678240802009,0.65060797831017,0.65060797831017,"genotype_num"
"1100","Tbca","DC",-1.08604092155551,8.83291421069697,8.61408999936748,0.0153682479205003,0.65060797831017,0.65060797831017,"genotype_num"
"1209","Tuba1c","DC",-1.18271069127042,8.82991498849391,8.49831563882869,0.0158894357739117,0.65060797831017,0.65060797831017,"genotype_num"
"121","Tubb4b","DC",-1.7795943655035,8.25448759362688,8.38660313349342,0.016462435647532,0.655293633655269,0.655293633655269,"genotype_num"
"525","Ccnd2","DC",2.39076217371675,8.37150252010091,8.17569973831243,0.0173014820767068,0.655293633655269,0.655293633655269,"genotype_num"
"1044","Lgmn","DC",1.28005725252739,8.92466036267181,8.25430456320709,0.0170702006150032,0.655293633655269,0.655293633655269,"genotype_num"
"2","Sgk3","DC",1.52216674410165,8.37198228223727,6.69612370673585,0.0276938000961547,0.719346093718402,0.719346093718402,"genotype_num"
"10","Rnf149","DC",1.02395838111935,8.822132861907,5.75783413550548,0.0380301002075865,0.719346093718402,0.719346093718402,"genotype_num"
"25","Fn1","DC",-1.90885910226592,10.4728802203798,7.05889203162311,0.0245457721955101,0.719346093718402,0.719346093718402,"genotype_num"
"69","Tor1aip1","DC",0.940895851861287,9.10337482432909,5.23504307298107,0.0458840969769554,0.719346093718402,0.719346093718402,"genotype_num"
"79","Fcgr3","DC",0.907414836189673,9.75943230758744,5.6560799983019,0.0393656607408333,0.719346093718402,0.719346093718402,"genotype_num"
"90","Slamf9","DC",1.06174009628681,9.19198213916227,5.38616862576923,0.0433997610884676,0.719346093718402,0.719346093718402,"genotype_num"
"115","Vim","DC",-0.93887674294805,12.1760203623874,5.05718276859453,0.0489461657873565,0.719346093718402,0.719346093718402,"genotype_num"
"123","Bmyc","DC",1.54157913090235,7.96247363114029,5.33088388119413,0.044260854971749,0.719346093718402,0.719346093718402,"genotype_num"
"126","Sptan1","DC",-1.23028561056807,8.01941435595772,5.31985986370636,0.0445800698779748,0.719346093718402,0.719346093718402,"genotype_num"
"135","Stom","DC",-1.25142991815047,8.79084602191804,6.15678139698768,0.033132409774881,0.719346093718402,0.719346093718402,"genotype_num"
"142","Cytip","DC",-0.761090956394601,10.2303066642359,5.33428100281605,0.0441888121538222,0.719346093718402,0.719346093718402,"genotype_num"
"161","Spred1","DC",1.42994836618761,8.15019156252009,6.09508536611106,0.0338604980915804,0.719346093718402,0.719346093718402,"genotype_num"
"162","Ehd4","DC",1.1801569734026,9.09841731322146,6.30023514168534,0.0315330917248233,0.719346093718402,0.719346093718402,"genotype_num"
"165","B2m","DC",0.807181910660995,11.1473722660108,4.89881016352461,0.0519552013113758,0.719346093718402,0.719346093718402,"genotype_num"
"203","Ptpn1","DC",1.37224266845561,8.0859234120965,5.57129004527552,0.0406638995508445,0.719346093718402,0.719346093718402,"genotype_num"
"210","Ctsz","DC",0.855066320451067,10.1819191924839,4.81282913529,0.053690324067924,0.719346093718402,0.719346093718402,"genotype_num"
"245","Ctss","DC",0.839989490452509,12.558516596038,7.14354129745406,0.0238825362378119,0.719346093718402,0.719346093718402,"genotype_num"
"266","Ube2d3","DC",-1.14777686714634,8.25461515031633,5.45081645951426,0.0425097917637907,0.719346093718402,0.719346093718402,"genotype_num"
"279","Dnaja1","DC",1.5252554383373,8.86860495174349,7.22113403665704,0.0233797452581613,0.719346093718402,0.719346093718402,"genotype_num"
"362","Errfi1","DC",2.12971670133044,8.13373154026564,4.69427827644175,0.0544938816784555,0.719346093718402,0.719346093718402,"genotype_num"
"397","Ccni","DC",-0.932257027169683,9.23862439163517,6.68061352383925,0.0277587716279136,0.719346093718402,0.719346093718402,"genotype_num"
"406","Hsd17b11","DC",-0.875105779564839,8.98454662115053,5.87967304841001,0.0364260585962647,0.719346093718402,0.719346093718402,"genotype_num"
"421","Arpc3","DC",-0.750351172190378,9.12983345079467,4.78290689476381,0.0543472773034039,0.719346093718402,0.719346093718402,"genotype_num"
"427","Tmed2","DC",-1.02771369635748,8.42724865402861,6.0784175492889,0.0340766337135361,0.719346093718402,0.719346093718402,"genotype_num"
"441","Lfng","DC",1.21074483914,8.82951709509422,5.66685226467946,0.0392912035665321,0.719346093718402,0.719346093718402,"genotype_num"
"443","Amz1","DC",-1.51752297662865,7.74252812848889,5.75138738814309,0.0380609310008502,0.719346093718402,0.719346093718402,"genotype_num"
"478","Serbp1","DC",1.14125348041731,8.22879652747234,4.84862312751672,0.0531006598034333,0.719346093718402,0.719346093718402,"genotype_num"
"484","Capg","DC",-1.51164829176604,8.4378531126096,6.89432829601765,0.0259707637058442,0.719346093718402,0.719346093718402,"genotype_num"
"505","Plxnd1","DC",-0.95698953490636,8.88716070112611,5.01546253037431,0.0498022130125583,0.719346093718402,0.719346093718402,"genotype_num"
"515","Clec4a3","DC",1.42176306176747,8.54193012994124,5.73827395705991,0.0383224781935395,0.719346093718402,0.719346093718402,"genotype_num"
"560","Cic","DC",-1.16227611095831,8.19792959164759,6.40942757787576,0.0304761918915191,0.719346093718402,0.719346093718402,"genotype_num"
"562","Hnrnpul1","DC",-0.821678033614072,9.04457909319495,4.87904329991886,0.0523990404580196,0.719346093718402,0.719346093718402,"genotype_num"
"565","Zfp36","DC",0.671281769594478,13.2302511869499,6.09272070786898,0.0337816296442341,0.719346093718402,0.719346093718402,"genotype_num"
"566","Hnrnpl","DC",1.36447112027494,8.12116372664159,5.61826045075348,0.0399366275670908,0.719346093718402,0.719346093718402,"genotype_num"
"585","Emp3","DC",-0.970347467578627,10.1287735704934,6.44196653619855,0.0300226049602142,0.719346093718402,0.719346093718402,"genotype_num"
"613","Dennd5a","DC",-0.998034565875153,8.622188364069,5.42642827125793,0.0428434402583881,0.719346093718402,0.719346093718402,"genotype_num"
"618","Psma1","DC",-1.27598916837416,8.25769138673172,7.42927087524594,0.0219502684056716,0.719346093718402,0.719346093718402,"genotype_num"
"679","Jund","DC",1.04121229969092,11.795830005534,6.46441073430588,0.0297899795416191,0.719346093718402,0.719346093718402,"genotype_num"
"707","Nudt21","DC",-1.39210860030612,7.96521118901384,5.81846092898897,0.037309897434764,0.719346093718402,0.719346093718402,"genotype_num"
"724","Irf8","DC",1.22492778810219,9.51219276059388,5.67592920764921,0.0391125885223528,0.719346093718402,0.719346093718402,"genotype_num"
"769","Anxa2","DC",-0.940439593555448,9.82060493646866,5.0508433633753,0.0490760580299216,0.719346093718402,0.719346093718402,"genotype_num"
"796","Tma7","DC",0.966583892651084,9.04773552050825,6.14215790583111,0.0332592401191456,0.719346093718402,0.719346093718402,"genotype_num"
"810","Ccr5","DC",1.28041079749694,9.25078348467293,6.55649157883894,0.028934490917644,0.719346093718402,0.719346093718402,"genotype_num"
"872","Glipr1","DC",1.31037312890784,8.5413695765923,6.72667668814376,0.0274195735501958,0.719346093718402,0.719346093718402,"genotype_num"
"886","Cd63","DC",3.77499075962786,7.7528142127143,5.75573879282593,0.0343275408721775,0.719346093718402,0.719346093718402,"genotype_num"
"897","Plek","DC",0.862409422050008,11.4128415591322,6.83608664811582,0.0263611224654502,0.719346093718402,0.719346093718402,"genotype_num"
"907","Rtn4","DC",1.0571743046664,9.69154457994492,6.6028425049115,0.028469819285521,0.719346093718402,0.719346093718402,"genotype_num"
"954","Ccl2","DC",2.8343733918124,8.08298501145604,6.24581808520063,0.0299268192761829,0.719346093718402,0.719346093718402,"genotype_num"
"959","Ccl9","DC",-1.51557705163326,9.99093112414843,5.32070515373426,0.0444296247053889,0.719346093718402,0.719346093718402,"genotype_num"
"961","Ccl3","DC",1.45534509247117,9.79359290024524,5.55175529055291,0.0409606068448791,0.719346093718402,0.719346093718402,"genotype_num"
"964","Vmp1","DC",1.04312092432867,9.02406605975098,6.56945209111214,0.0288139512938054,0.719346093718402,0.719346093718402,"genotype_num"
"977","Jup","DC",-1.52720334777851,7.98239572364457,7.1807544935227,0.0236860468218705,0.719346093718402,0.719346093718402,"genotype_num"
"997","Cd300a","DC",0.972864084506133,8.57555797762373,4.77388844216815,0.0546038288961163,0.719346093718402,0.719346093718402,"genotype_num"
"999","Jpt1","DC",-0.982715446458857,9.40746640033169,5.00874956491972,0.0498654393206346,0.719346093718402,0.719346093718402,"genotype_num"
"1003","Ubald2","DC",-0.934256110864235,8.91734476888207,5.90101874320773,0.0361547219963551,0.719346093718402,0.719346093718402,"genotype_num"
"1031","Nin","DC",-1.26804854966364,7.72790642644097,4.89080874185292,0.0522608633261901,0.719346093718402,0.719346093718402,"genotype_num"
"1053","Akt1","DC",1.10574013013172,8.91075171340295,6.35324378699651,0.0309913788015885,0.719346093718402,0.719346093718402,"genotype_num"
"1056","Crip1","DC",-1.01385288088419,10.86992677048,6.38701549480728,0.0305732943665677,0.719346093718402,0.719346093718402,"genotype_num"
"1096","Mef2c","DC",1.32689094094344,8.42348022810261,7.45891742535046,0.021738452303022,0.719346093718402,0.719346093718402,"genotype_num"
"1148","Itm2b","DC",0.805458383892814,11.2846853116,5.10825254112216,0.0480237695061285,0.719346093718402,0.719346093718402,"genotype_num"
"1158","Selenop","DC",1.4156675571117,11.1320689300174,5.39343618925009,0.0432450963963592,0.719346093718402,0.719346093718402,"genotype_num"
"1160","Dab2","DC",1.10643025556581,10.278007161919,5.18647322173388,0.0466598708100944,0.719346093718402,0.719346093718402,"genotype_num"
"1162","Lifr","DC",1.74835961298934,8.31944526374352,5.64912149502586,0.0395122992506023,0.719346093718402,0.719346093718402,"genotype_num"
"1217","Itgb7","DC",-1.06149530161875,9.48608689955416,5.20219429823898,0.0464000543782883,0.719346093718402,0.719346093718402,"genotype_num"
"1280","Dusp1","DC",0.758198668993749,12.6152508255672,5.04578524947161,0.0491551205002875,0.719346093718402,0.719346093718402,"genotype_num"
"1334","Adgre1","DC",1.36595502956931,9.26982185321134,4.91615898494378,0.0516903883880186,0.719346093718402,0.719346093718402,"genotype_num"
"1362","Egr1","DC",0.656798129357055,12.6224496864237,4.77077440285601,0.0545538305463044,0.719346093718402,0.719346093718402,"genotype_num"
"1375","Lmnb1","DC",-1.78224484957451,8.10211985117646,5.23783202311665,0.045784780754001,0.719346093718402,0.719346093718402,"genotype_num"
"1390","Unc93b1","DC",0.798152646087363,10.6329006371207,5.18365356123025,0.0467019041126445,0.719346093718402,0.719346093718402,"genotype_num"
"1443","Pik3ap1","DC",1.00850004768878,9.39572271691421,5.15718314039095,0.0471896182961835,0.719346093718402,0.719346093718402,"genotype_num"
"1456","Plp2","DC",-1.3360673285574,8.81616255757784,6.240784017362,0.0322018327265483,0.719346093718402,0.719346093718402,"genotype_num"
"1458","Rbm3","DC",-1.07989865580227,8.17840899289558,4.78534410103798,0.054423645760099,0.719346093718402,0.719346093718402,"genotype_num"
"1471","Ndufa1","DC",-1.10093607020474,8.20362807124039,5.68837881446103,0.0390371397779592,0.719346093718402,0.719346093718402,"genotype_num"
"1479","Ssr4","DC",-0.794042477611501,9.03151853598266,5.24264303452034,0.0457452714431311,0.719346093718402,0.719346093718402,"genotype_num"
"1512","mt-Nd4","DC",1.46562905796628,8.39736884992944,6.78158474818839,0.0269005357139459,0.719346093718402,0.719346093718402,"genotype_num"
"307","Nrd1","DC",-1.34350216028352,8.28375704937365,4.71325842060354,0.0559103002818309,0.723966708777554,0.723966708777554,"genotype_num"
"804","Tgfbr2","DC",0.896877494000986,8.78927128839081,4.73222661084434,0.0554957748122742,0.723966708777554,0.723966708777554,"genotype_num"
"73","Creg1","DC",-1.15398695656377,8.6169608555789,4.61690832562439,0.0580421154019685,0.72421864872647,0.72421864872647,"genotype_num"
"414","Dynll1","DC",-0.873123037912519,8.48323166153088,4.62250468033427,0.0578980419417414,0.72421864872647,0.72421864872647,"genotype_num"
"415","Srsf9","DC",0.844783868448025,8.7840894609463,4.58622905522598,0.0586739611284902,0.72421864872647,0.72421864872647,"genotype_num"
"547","U2af2","DC",1.0114886389705,8.43748777768611,4.60100240619177,0.058388268174178,0.72421864872647,0.72421864872647,"genotype_num"
"621","Prkcb","DC",1.84850801723516,8.30717735035818,4.58097914124381,0.0587979496985847,0.72421864872647,0.72421864872647,"genotype_num"
"1246","Parp14","DC",1.29121835757119,8.09703108862008,4.5915991969766,0.0585810191204351,0.72421864872647,0.72421864872647,"genotype_num"
"262","Gnai3","DC",-1.01200325756797,8.23464967293178,4.55340048500058,0.0595238754125635,0.724407910469625,0.724407910469625,"genotype_num"
"606","P2ry6","DC",1.00416148985719,8.88511310163769,4.53884881640561,0.0597696295767018,0.724407910469625,0.724407910469625,"genotype_num"
"368","Aurkaip1","DC",-1.30172566537212,7.70706473491413,4.4758966598182,0.0611359384657583,0.730845693626798,0.730845693626798,"genotype_num"
"1203","Slc38a2","DC",-0.99099822337353,8.57656216738943,4.47880186783665,0.0612656126010583,0.730845693626798,0.730845693626798,"genotype_num"
"1110","Emb","DC",-1.00738835389513,10.0216025324324,4.44115459136155,0.0620446939652587,0.734357119979429,0.734357119979429,"genotype_num"
"249","Anp32e","DC",-1.09493213362081,8.6778863337251,4.36887467195685,0.0639504417656702,0.743228174835097,0.743228174835097,"genotype_num"
"263","Tifa","DC",1.36685242961001,8.27061970911083,4.33838673713895,0.0647565142430579,0.743228174835097,0.743228174835097,"genotype_num"
"1038","Fos","DC",0.892076532780828,12.9529207338783,4.35895299631986,0.0640871697937137,0.743228174835097,0.743228174835097,"genotype_num"
"1272","Tcp1","DC",-1.11038117166362,8.24438421802308,4.35339200584482,0.0644003707621383,0.743228174835097,0.743228174835097,"genotype_num"
"231","Glmp","DC",1.33153712552962,8.13002550600435,4.15252593723052,0.0698032373624177,0.746792710817453,0.746792710817453,"genotype_num"
"489","Mob1a","DC",-0.716036443163329,9.32283326713859,4.22513330759469,0.0676601510914157,0.746792710817453,0.746792710817453,"genotype_num"
"608","Numa1","DC",-1.10266755923715,7.97125558052185,4.27505710127304,0.0664726598391148,0.746792710817453,0.746792710817453,"genotype_num"
"814","Cited2","DC",1.21492549773121,8.98528506601432,4.17067929940527,0.0692833234934968,0.746792710817453,0.746792710817453,"genotype_num"
"856","Mknk2","DC",0.945876441156613,8.804044300238,4.1099044860193,0.0709822774638371,0.746792710817453,0.746792710817453,"genotype_num"
"939","Arrb2","DC",0.790187758386802,9.58539867245034,4.15983531418823,0.0694656155461063,0.746792710817453,0.746792710817453,"genotype_num"
"1104","Cd180","DC",1.01188797547662,8.34428145150984,4.18274210236949,0.0689602349121621,0.746792710817453,0.746792710817453,"genotype_num"
"1377","Csf1r","DC",0.857078945379799,10.8762385431495,4.14162622836166,0.0699590969903515,0.746792710817453,0.746792710817453,"genotype_num"
"1388","Tcirg1","DC",0.958330159218432,8.71096576213309,4.25167279203391,0.0670200224943543,0.746792710817453,0.746792710817453,"genotype_num"
"1419","Fth1","DC",0.602567595239393,12.1084141954415,4.17056215509438,0.0691360639283506,0.746792710817453,0.746792710817453,"genotype_num"
"1420","Rab3il1","DC",2.21954182428433,7.98848256935025,4.11277277819527,0.0700189456100095,0.746792710817453,0.746792710817453,"genotype_num"
"1424","Ms4a7","DC",1.57546793436344,8.24450164799372,4.11325442624088,0.0707977344127655,0.746792710817453,0.746792710817453,"genotype_num"
"91","Tagln2","DC",-0.848025633894911,9.92148711698276,4.02490825978106,0.0733970158716027,0.753499495686369,0.753499495686369,"genotype_num"
"313","Rnf220","DC",-1.34375672285806,7.76172992751799,3.99141669310403,0.0743290225964408,0.753499495686369,0.753499495686369,"genotype_num"
"587","Cyfip1","DC",0.870694857258041,8.86077583981901,3.98499086990229,0.0746799255685847,0.753499495686369,0.753499495686369,"genotype_num"
