"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Tcea1","DG-PIR Ex IMN",1.138499094864,8.09579494257848,6.04949973283003,0.0339074978000802,0.918135734225627,0.918135734225627,"genotype_num"
"5","Cops5","DG-PIR Ex IMN",-0.875660814278204,8.01126477582424,4.52355022547451,0.0596026247203846,0.918135734225627,0.918135734225627,"genotype_num"
"7","Arfgef1","DG-PIR Ex IMN",0.725018806947693,7.78500315891781,2.29882879648106,0.160716352823158,0.918135734225627,0.918135734225627,"genotype_num"
"13","Rims1","DG-PIR Ex IMN",-0.672154269565683,7.13868372656255,0.95225054279872,0.352448757401976,0.918135734225627,0.918135734225627,"genotype_num"
"19","Lman2l","DG-PIR Ex IMN",1.33392578289038,7.21829508077791,3.00370421301192,0.114073775852938,0.918135734225627,0.918135734225627,"genotype_num"
"20","Cnnm3","DG-PIR Ex IMN",1.16823560569932,7.71198364789891,4.90239882311964,0.0514520226915271,0.918135734225627,0.918135734225627,"genotype_num"
"21","Sema4c","DG-PIR Ex IMN",-0.396745069237764,8.36691753439059,0.966715164696118,0.348899504258653,0.918135734225627,0.918135734225627,"genotype_num"
"22","Cox5b","DG-PIR Ex IMN",-0.572858097873754,7.75388358007497,1.36629744832987,0.269842973382034,0.918135734225627,0.918135734225627,"genotype_num"
"23","Actr1b","DG-PIR Ex IMN",0.624076138281895,7.85146198720172,0.883510609113339,0.369598374708117,0.918135734225627,0.918135734225627,"genotype_num"
"24","Tmem131","DG-PIR Ex IMN",1.052372772935,7.96960983440148,4.70283351562117,0.0555476552958005,0.918135734225627,0.918135734225627,"genotype_num"
"26","Coa5","DG-PIR Ex IMN",-0.731982823632845,7.23708303659707,1.20902866987742,0.297602666537708,0.918135734225627,0.918135734225627,"genotype_num"
"29","Chst10","DG-PIR Ex IMN",0.368247775435001,8.11706184429176,0.857793325825735,0.376365498548008,0.918135734225627,0.918135734225627,"genotype_num"
"31","Map4k4","DG-PIR Ex IMN",-0.479755099785168,9.39682788294725,2.26652470238804,0.163382753076129,0.918135734225627,0.918135734225627,"genotype_num"
"33","Nck2","DG-PIR Ex IMN",-0.744540271785134,8.23174824635812,4.69508292666529,0.0557161082936124,0.918135734225627,0.918135734225627,"genotype_num"
"35","Slc39a10","DG-PIR Ex IMN",0.55303321330173,7.52155437509485,1.2973961135186,0.281502978284577,0.918135734225627,0.918135734225627,"genotype_num"
"37","Pgap1","DG-PIR Ex IMN",0.801572954764691,8.86236411301841,4.96163070477627,0.050288583892753,0.918135734225627,0.918135734225627,"genotype_num"
"47","Bmpr2","DG-PIR Ex IMN",-0.846382526522395,8.36970016382538,6.89330697530346,0.0255392426981082,0.918135734225627,0.918135734225627,"genotype_num"
"48","Fam117b","DG-PIR Ex IMN",0.383356950056106,8.20472582683686,0.969638743314579,0.348204319662959,0.918135734225627,0.918135734225627,"genotype_num"
"49","Abi2","DG-PIR Ex IMN",-0.34709728334681,8.28457668736834,0.843850307722224,0.380118449227723,0.918135734225627,0.918135734225627,"genotype_num"
"50","Nrp2","DG-PIR Ex IMN",0.86001464674181,8.06202877213946,1.1997130569347,0.299295899176819,0.918135734225627,0.918135734225627,"genotype_num"
"54","Creb1","DG-PIR Ex IMN",0.822000898315506,8.1968698802881,3.58374114306303,0.0878893165031718,0.918135734225627,0.918135734225627,"genotype_num"
"57","Kansl1l","DG-PIR Ex IMN",0.662680873639843,7.68036164027125,1.82342681944896,0.2069677980702,0.918135734225627,0.918135734225627,"genotype_num"
"59","Aamp","DG-PIR Ex IMN",0.615065288928138,7.49596248898107,1.55849051897176,0.240600145000582,0.918135734225627,0.918135734225627,"genotype_num"
"60","Retreg2","DG-PIR Ex IMN",0.615248258596321,7.5908693200273,1.8201184356464,0.207337110512069,0.918135734225627,0.918135734225627,"genotype_num"
