"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"4081","mt-Atp6","HPF CR Glut",0.975242244230848,10.2154792056935,27.4514044716277,6.64386198229402e-06,0.0271534639216357,0.0271534639216357,"genotype_num"
"3221","Enpp2","HPF CR Glut",2.82932784962982,7.27791887036018,19.9745983702676,7.07918532238925e-05,0.144663152063024,0.144663152063024,"genotype_num"
"868","Rnf11","HPF CR Glut",1.49683167802811,7.67616571453464,14.8034767054811,0.000453796505961044,0.38993670244025,0.38993670244025,"genotype_num"
"1295","Cntnap2","HPF CR Glut",0.897948398283513,9.35375979037683,16.0193638664045,0.00028801922482833,0.38993670244025,0.38993670244025,"genotype_num"
"3846","Naa40","HPF CR Glut",-1.73449310150443,6.83153441492535,14.6750166024059,0.000477045146122156,0.38993670244025,0.38993670244025,"genotype_num"
"4079","mt-Co2","HPF CR Glut",0.679698332236669,10.2586826593603,13.8043573967588,0.000664570941987394,0.403957439769941,0.403957439769941,"genotype_num"
"4082","mt-Co3","HPF CR Glut",0.811347688625679,9.56268984554931,13.4953903201993,0.000749343424000859,0.403957439769941,0.403957439769941,"genotype_num"
"4085","mt-Nd4","HPF CR Glut",1.53823180933467,7.48793380405219,13.3602607757842,0.000790716789371062,0.403957439769941,0.403957439769941,"genotype_num"
"2488","Aff4","HPF CR Glut",-0.827281125216524,8.63905966808653,12.8429907326836,0.000968385162730156,0.439754462230905,0.439754462230905,"genotype_num"
"3301","Pim3","HPF CR Glut",-1.47061152647097,7.20028124681779,12.2174583357904,0.00124423796619304,0.508520056783095,0.508520056783095,"genotype_num"
"1103","Adgrl3","HPF CR Glut",-1.33265066724033,7.14661280772485,11.4208836177937,0.00171972530020322,0.540655177071581,0.540655177071581,"genotype_num"
"1428","Gabarapl1","HPF CR Glut",-0.78871738235786,8.87014143954739,11.5581683294894,0.00162420708270794,0.540655177071581,0.540655177071581,"genotype_num"
"2737","Gcgr","HPF CR Glut",-1.51940289066412,7.09192752693591,11.7998142896861,0.00147301837702583,0.540655177071581,0.540655177071581,"genotype_num"
