"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"6","Npbwr1","IT-ET Glut",3.09124440523324,2.84363261290985,16.2709655997052,0.00180968621600709,0.427206836861617,0.427206836861617,"genotype_num"
"254","Ncl","IT-ET Glut",0.850370705728341,6.36593094668114,24.4584764270478,0.000790726821271884,0.427206836861617,0.427206836861617,"genotype_num"
"284","Cops9","IT-ET Glut",0.749821302100939,7.57338186131056,17.8570464202835,0.00220877156238839,0.427206836861617,0.427206836861617,"genotype_num"
"364","Elk4","IT-ET Glut",-0.922085433810412,5.00299692737734,17.2623751323098,0.00245548704444964,0.427206836861617,0.427206836861617,"genotype_num"
"1067","Eif2ak4","IT-ET Glut",-0.915219075487769,6.26859998462358,24.5680159115413,0.000778754391586224,0.427206836861617,0.427206836861617,"genotype_num"
"1580","Kcnab1","IT-ET Glut",0.671148032263342,7.82992772760755,17.928296059076,0.00218140538735984,0.427206836861617,0.427206836861617,"genotype_num"
"1899","H2afz","IT-ET Glut",0.794984021432629,6.64445292251205,17.2088215060131,0.00247796837270195,0.427206836861617,0.427206836861617,"genotype_num"
"1957","Sdcbp","IT-ET Glut",0.511520117130301,7.93476340791158,15.9042517811408,0.00315222148095792,0.427206836861617,0.427206836861617,"genotype_num"
"1960","Rab2a","IT-ET Glut",0.550120632578836,9.11937978994822,19.7473042613599,0.00160522531235382,0.427206836861617,0.427206836861617,"genotype_num"
"2029","Ndufb6","IT-ET Glut",0.589746553969781,6.99422436013756,16.5232401248789,0.00280747151097598,0.427206836861617,0.427206836861617,"genotype_num"
"2372","Hpca","IT-ET Glut",0.724731080553277,10.3539169108278,16.7550183209221,0.00269018922800635,0.427206836861617,0.427206836861617,"genotype_num"
"2426","Tmem222","IT-ET Glut",0.549761388534441,6.82888978341475,16.1709134441125,0.00299779078182374,0.427206836861617,0.427206836861617,"genotype_num"
"2451","Rsrp1","IT-ET Glut",-0.760916349439072,8.77201359809009,23.4395050107971,0.00091297680804276,0.427206836861617,0.427206836861617,"genotype_num"
"2723","Fosl2","IT-ET Glut",-0.64083976203255,6.82303499770929,22.4757530564811,0.00105082914328747,0.427206836861617,0.427206836861617,"genotype_num"
"2724","Ppp1cb","IT-ET Glut",0.801591767910351,7.23838570117355,16.9304749420934,0.00260563269002659,0.427206836861617,0.427206836861617,"genotype_num"
"2925","BC005561","IT-ET Glut",-0.651932042676651,5.94074462351459,21.325343141122,0.00125048084275858,0.427206836861617,0.427206836861617,"genotype_num"
"2950","Dgkq","IT-ET Glut",-0.632647182133837,6.26987919633149,18.1160246526469,0.00211154584161598,0.427206836861617,0.427206836861617,"genotype_num"
"3019","Pebp1","IT-ET Glut",0.582707648596953,7.39557004697892,17.5579523746338,0.00232822235144541,0.427206836861617,0.427206836861617,"genotype_num"
"3211","Sun1","IT-ET Glut",-0.572163306986042,6.78277993416498,16.6326776392796,0.00275141174643233,0.427206836861617,0.427206836861617,"genotype_num"
"3225","Iqce","IT-ET Glut",-1.11199399612545,5.02488369801391,32.2830583568524,0.00029878295669078,0.427206836861617,0.427206836861617,"genotype_num"
"3318","Ndufa4","IT-ET Glut",0.667701102269214,7.48564847672845,18.9074650382137,0.00184461984754554,0.427206836861617,0.427206836861617,"genotype_num"
"3533","Cct7","IT-ET Glut",0.72674870416003,6.58024839590761,26.9734953154121,0.000564660932786214,0.427206836861617,0.427206836861617,"genotype_num"
"3546","Pcbp1","IT-ET Glut",0.63509581254045,6.48829039951868,17.2997090680336,0.00243796384387495,0.427206836861617,0.427206836861617,"genotype_num"
"3599","Arl6ip5","IT-ET Glut",0.560144195275158,7.96123696894536,20.3138207555434,0.00146509982897896,0.427206836861617,0.427206836861617,"genotype_num"
"3713","Ptms","IT-ET Glut",0.52217590745267,9.69837515977694,17.4256745747146,0.00238346700520708,0.427206836861617,0.427206836861617,"genotype_num"
"3762","Wbp11","IT-ET Glut",0.712280244694638,6.45770956207559,18.4888518003071,0.00198044302031933,0.427206836861617,0.427206836861617,"genotype_num"
"3792","Arntl2","IT-ET Glut",-1.10091987018941,5.55101913796265,49.896541913174,5.83011869793491e-05,0.427206836861617,0.427206836861617,"genotype_num"
"3921","Clasrp","IT-ET Glut",-0.830567894791713,6.67242971459977,25.0923175660909,0.000724587524233713,0.427206836861617,0.427206836861617,"genotype_num"
"4061","Cebpa","IT-ET Glut",1.09547364567221,4.42913696101717,16.3754500804641,0.00291155560537339,0.427206836861617,0.427206836861617,"genotype_num"
"4104","Med25","IT-ET Glut",-0.551720929063382,6.60362302192072,17.402887611548,0.00239333092249699,0.427206836861617,0.427206836861617,"genotype_num"
"4150","Ldha","IT-ET Glut",0.573626292333756,7.69368338911223,19.7865704549257,0.00159502756429939,0.427206836861617,0.427206836861617,"genotype_num"
"4213","Abhd2","IT-ET Glut",-0.823881379422764,6.22065254480382,19.9676713900066,0.00154903229346478,0.427206836861617,0.427206836861617,"genotype_num"
"4482","BC017158","IT-ET Glut",-1.05986288358326,4.33360826790867,18.0097781934562,0.00215380239145341,0.427206836861617,0.427206836861617,"genotype_num"
"4805","Lsm4","IT-ET Glut",1.12707429011913,5.12702042436715,20.9959765590725,0.00131751954259463,0.427206836861617,0.427206836861617,"genotype_num"
"4903","Prdx2","IT-ET Glut",0.772889590221398,7.65618711826977,29.7390817077639,0.00040059614225952,0.427206836861617,0.427206836861617,"genotype_num"
"5280","Nrgn","IT-ET Glut",0.570611495400496,10.7553052806252,16.1177399059752,0.00302764759611612,0.427206836861617,0.427206836861617,"genotype_num"
"5410","Arid3b","IT-ET Glut",-1.26000401308633,3.94936097580941,20.0976500512705,0.00152441725067692,0.427206836861617,0.427206836861617,"genotype_num"
"5518","Gsta4","IT-ET Glut",0.787984111173025,6.66280690316705,32.5638611110436,0.000289375714894013,0.427206836861617,0.427206836861617,"genotype_num"
"5616","Abhd14a","IT-ET Glut",-0.840356195753956,5.86339097609848,24.9792131966358,0.000735958924367451,0.427206836861617,0.427206836861617,"genotype_num"
"5617","Abhd14b","IT-ET Glut",-1.25445305026157,5.07321662221075,23.8636777620994,0.00085999625103948,0.427206836861617,0.427206836861617,"genotype_num"
"5657","Gpx1","IT-ET Glut",0.984761118657276,5.48587147461022,20.966371770107,0.00132251249455793,0.427206836861617,0.427206836861617,"genotype_num"
"5736","Cck","IT-ET Glut",0.840209141993357,9.86236197849324,20.8591764473062,0.00134405351153296,0.427206836861617,0.427206836861617,"genotype_num"
"5875","Cd24a","IT-ET Glut",-0.790643621202444,6.49528487944445,23.8298515207826,0.000863630954682386,0.427206836861617,0.427206836861617,"genotype_num"
"5904","Sh3rf3","IT-ET Glut",-0.675564139209614,6.28398143063466,17.4495320993277,0.00237369479439642,0.427206836861617,0.427206836861617,"genotype_num"
"6010","Bsg","IT-ET Glut",0.620432439044607,7.50604161124706,20.589704549849,0.00140232089805729,0.427206836861617,0.427206836861617,"genotype_num"
"6261","Myl6","IT-ET Glut",1.178612379461,5.42401502905817,22.8979914710312,0.000988429982526857,0.427206836861617,0.427206836861617,"genotype_num"
"6304","Uqcr10","IT-ET Glut",0.740186757348922,5.91221551435849,19.006640084155,0.00181457973326667,0.427206836861617,0.427206836861617,"genotype_num"
"6477","Skp1a","IT-ET Glut",0.542004061449237,7.89646624889165,19.4792714739243,0.00167726518660546,0.427206836861617,0.427206836861617,"genotype_num"
"6496","Tnip1","IT-ET Glut",0.945774292291235,4.80500643732232,16.4856448206205,0.00283516025136264,0.427206836861617,0.427206836861617,"genotype_num"
"6548","Map2k3","IT-ET Glut",-0.964396979529002,4.63673365686373,16.5901623312855,0.00277558495370217,0.427206836861617,0.427206836861617,"genotype_num"
"6574","Map2k4","IT-ET Glut",0.544768043754513,7.09695551845595,17.1004164486928,0.00252670200156004,0.427206836861617,0.427206836861617,"genotype_num"
"6622","Eif5a","IT-ET Glut",0.605462917013151,6.69458601323355,18.2566590691052,0.00206077655668273,0.427206836861617,0.427206836861617,"genotype_num"
"6644","Spag7","IT-ET Glut",0.618044604631216,6.00765212649199,16.4307757361331,0.0028563902131139,0.427206836861617,0.427206836861617,"genotype_num"
"7108","Gps1","IT-ET Glut",0.567376760517615,7.312023964423,18.7646677968497,0.0018895798458009,0.427206836861617,0.427206836861617,"genotype_num"
"7175","Ywhaq","IT-ET Glut",0.974561364342401,6.91414363647441,29.7934762128089,0.00039804422168376,0.427206836861617,0.427206836861617,"genotype_num"
"7267","Fkbp3","IT-ET Glut",0.586063626076323,7.49559046897119,16.4631873244848,0.00283877062527118,0.427206836861617,0.427206836861617,"genotype_num"
"7536","B3galnt2","IT-ET Glut",-0.819356047844243,5.15844332097059,16.2736995913653,0.00294177851572817,0.427206836861617,0.427206836861617,"genotype_num"
"7634","Cap2","IT-ET Glut",0.614742230603888,8.54484274963198,26.0133880320281,0.000640111842024971,0.427206836861617,0.427206836861617,"genotype_num"
"7733","Uqcrb","IT-ET Glut",0.953072720935046,6.10807530339562,21.1779078732594,0.00127933110805838,0.427206836861617,0.427206836861617,"genotype_num"
"7976","Spcs1","IT-ET Glut",0.570191398576855,7.34629919134073,16.2823226789287,0.00293587861893172,0.427206836861617,0.427206836861617,"genotype_num"
"8314","Cox6c","IT-ET Glut",0.765863523953727,6.10220300521812,15.9501759996664,0.0031254398463956,0.427206836861617,0.427206836861617,"genotype_num"
"8370","Ndufb9","IT-ET Glut",0.689109656073824,7.27230494621775,16.2886888718479,0.00293240409670239,0.427206836861617,0.427206836861617,"genotype_num"
"8569","Dennd6b","IT-ET Glut",-0.519001893615026,6.79624805143092,17.6503172292207,0.00229057851470926,0.427206836861617,0.427206836861617,"genotype_num"
"8617","Kansl2","IT-ET Glut",-0.518858803818742,6.50238594804037,16.547843139772,0.00279486002439127,0.427206836861617,0.427206836861617,"genotype_num"
"8797","Abcc5","IT-ET Glut",-0.815082549607662,8.33354785740442,37.845525338651,0.000166683014589679,0.427206836861617,0.427206836861617,"genotype_num"
"8964","Ncam2","IT-ET Glut",-0.584502414994159,7.47687483348891,18.9149612943561,0.00184228312503631,0.427206836861617,0.427206836861617,"genotype_num"
"9081","Hcfc1r1","IT-ET Glut",0.609715296148787,6.86630526457117,16.5903303807029,0.00277295792525564,0.427206836861617,0.427206836861617,"genotype_num"
"9087","Elob","IT-ET Glut",0.664388820178668,7.63433541744723,21.3536921075965,0.00124478547127985,0.427206836861617,0.427206836861617,"genotype_num"
"9317","Cdc5l","IT-ET Glut",0.733102031444943,5.31453774393983,16.0638343372775,0.00306025025879214,0.427206836861617,0.427206836861617,"genotype_num"
"9494","Adcyap1","IT-ET Glut",1.50360288615832,5.25058943278629,20.9207302026375,0.00133340368843274,0.427206836861617,0.427206836861617,"genotype_num"
"9627","Pcdhb2","IT-ET Glut",1.23038549948058,4.30925461890508,16.9009429140633,0.00264229208935068,0.427206836861617,0.427206836861617,"genotype_num"
"9640","Pcdhb15","IT-ET Glut",-0.89208429767022,4.72715116797667,16.0325191777354,0.00307953152606301,0.427206836861617,0.427206836861617,"genotype_num"
"9927","Otub1","IT-ET Glut",0.506335067343168,8.31633279546891,18.049971921752,0.00213564809768972,0.427206836861617,0.427206836861617,"genotype_num"
"10125","Atp5md","IT-ET Glut",0.692398634152357,7.101142470185,20.4092212482012,0.00144305925523043,0.427206836861617,0.427206836861617,"genotype_num"
"10246","Ndufa1","IT-ET Glut",0.863007077865995,6.82547046190125,20.0203884784024,0.0015358359269339,0.427206836861617,0.427206836861617,"genotype_num"
"10253","C1galt1c1","IT-ET Glut",0.930622240157707,5.75147395249075,25.0538184476093,0.000728707276892017,0.427206836861617,0.427206836861617,"genotype_num"
"10461","Tceal3","IT-ET Glut",0.622452101246675,7.12946989747995,16.066752225667,0.0030569910034981,0.427206836861617,0.427206836861617,"genotype_num"
"10546","Trappc2","IT-ET Glut",0.806818140414775,6.25850448585966,24.0877474087608,0.000832839271936495,0.427206836861617,0.427206836861617,"genotype_num"
"2322","Trit1","IT-ET Glut",-0.629217665297657,5.78670246624951,15.6964238381287,0.0032801460915927,0.438916763724385,0.438916763724385,"genotype_num"
"8345","Csmd3","IT-ET Glut",-0.708120494253551,6.05908594712143,15.6066627816886,0.00333690982401176,0.440930921870354,0.440930921870354,"genotype_num"
"4491","Ate1","IT-ET Glut",-0.579967315140741,6.05281712480568,15.4715646624266,0.00342483041368574,0.44151075979356,0.44151075979356,"genotype_num"
"9112","Ndufb10","IT-ET Glut",0.51383062138463,7.76125511364691,15.4881455877587,0.00341348291306938,0.44151075979356,0.44151075979356,"genotype_num"
"69","Cox5b","IT-ET Glut",0.577326065638328,7.41031203003752,14.817417631197,0.00389304524847743,0.451448678061524,0.451448678061524,"genotype_num"
