"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"2711","Cnp","MFOL",-0.963876815115174,13.1987928251333,43.1906166184129,9.55116872796519e-07,0.00399620899578064,0.00399620899578064,"genotype_num"
"1744","Fus","MFOL",-2.20250648254616,7.03833913224644,38.7652819477664,2.19500401497028e-06,0.00459194839931783,0.00459194839931783,"genotype_num"
"518","Fam83d","MFOL",-2.07691135361472,6.44519680572182,15.7094081236372,0.000597312718319319,0.554779360200193,0.554779360200193,"genotype_num"
"1643","Pde8a","MFOL",-1.04437067859295,8.1967100392627,15.3871363801892,0.000662977246893156,0.554779360200193,0.554779360200193,"genotype_num"
"2615","Prpf8","MFOL",1.31083973720096,7.66851728802271,15.4534146944765,0.000649318211413146,0.554779360200193,0.554779360200193,"genotype_num"
"1987","Cmip","MFOL",-1.08719280812968,8.25600250034148,14.2848910937571,0.00094708686144341,0.660435238046538,0.660435238046538,"genotype_num"
"1827","Hook3","MFOL",-0.901713681741523,7.95625494640911,12.7994799416815,0.00156110571827492,0.681831516075949,0.681831516075949,"genotype_num"
"1864","Psd3","MFOL",-0.848497073910202,8.4600362238953,13.4454074093102,0.00125253285796755,0.681831516075949,0.681831516075949,"genotype_num"
"2006","Galnt2","MFOL",1.33894578394082,7.29698766034243,12.9326057932558,0.00149209118885839,0.681831516075949,0.681831516075949,"genotype_num"
"3012","Snrnp48","MFOL",2.15386533506747,6.35018695975526,12.6744615822791,0.00162961643421594,0.681831516075949,0.681831516075949,"genotype_num"
"1","Tcea1","MFOL",0.732251352505019,7.13311896150705,3.80951088237901,0.0630158632584615,0.972504248486351,0.972504248486351,"genotype_num"
"3","Rb1cc1","MFOL",-0.39218548379839,6.44884453613593,0.811578063362795,0.376832778589244,0.972504248486351,0.972504248486351,"genotype_num"
"4","St18","MFOL",0.308019634773502,7.21425472922569,0.846793487030426,0.366839234439135,0.972504248486351,0.972504248486351,"genotype_num"
"5","Pcmtd1","MFOL",0.378099534483859,6.58854205756646,0.790665915879067,0.382947156529391,0.972504248486351,0.972504248486351,"genotype_num"
"8","Cops5","MFOL",-0.344820126897335,7.16073651451928,0.98321452630699,0.331542977685736,0.972504248486351,0.972504248486351,"genotype_num"
"11","Tram1","MFOL",-0.455138756236955,6.83145321469378,1.65851779357028,0.210383928418461,0.972504248486351,0.972504248486351,"genotype_num"
"14","Tmem70","MFOL",0.925752254210354,5.83393896113655,1.61119802310262,0.216816968275809,0.972504248486351,0.972504248486351,"genotype_num"
"15","Paqr8","MFOL",0.338750391996437,7.99027526154175,1.04988547169303,0.315994272547917,0.972504248486351,0.972504248486351,"genotype_num"
"16","Smap1","MFOL",0.402235351210304,6.84249559897777,0.972870011663945,0.334049300319648,0.972504248486351,0.972504248486351,"genotype_num"
"17","Lmbrd1","MFOL",0.241002523915328,8.06962681032384,0.769034627108092,0.389416400555929,0.972504248486351,0.972504248486351,"genotype_num"
"18","Phf3","MFOL",-0.512231579649278,6.56019369698749,1.69698120598861,0.205358793344408,0.972504248486351,0.972504248486351,"genotype_num"
"26","Actr1b","MFOL",0.619942341394291,7.06125226926644,2.76813468405181,0.109480290909175,0.972504248486351,0.972504248486351,"genotype_num"
"27","Inpp4a","MFOL",-0.493204364799469,6.84946567186678,1.01382650200314,0.324283869413856,0.972504248486351,0.972504248486351,"genotype_num"
"28","Unc50","MFOL",-0.492403860849421,7.81713696540382,2.87241491571274,0.10335791018687,0.972504248486351,0.972504248486351,"genotype_num"
"33","Pou3f3","MFOL",0.596191478828546,7.21774975434618,2.37626939373553,0.136590031541199,0.972504248486351,0.972504248486351,"genotype_num"
"35","Nck2","MFOL",2.50932462781315,5.77159382708788,7.50528644327819,0.0112313340053002,0.972504248486351,0.972504248486351,"genotype_num"
"36","Tmeff2","MFOL",0.18608565730609,11.8012915269802,1.07320386478076,0.310792754589274,0.972504248486351,0.972504248486351,"genotype_num"
"37","Gls","MFOL",-0.889903903938695,6.23810120385571,3.44683174519875,0.0760121588466511,0.972504248486351,0.972504248486351,"genotype_num"
"40","Pgap1","MFOL",-0.543254137100532,6.22433304802402,1.24185455720825,0.276442343094576,0.972504248486351,0.972504248486351,"genotype_num"
"42","Hspd1","MFOL",-0.63695505871802,6.06122913955717,1.29743856537092,0.266221895794337,0.972504248486351,0.972504248486351,"genotype_num"
"44","Plcl1","MFOL",-0.295920406107779,7.86392462541481,1.0258265259303,0.321484084634289,0.972504248486351,0.972504248486351,"genotype_num"
"50","Nbeal1","MFOL",1.08795239046842,6.14135249903363,3.33104307587529,0.0807907148314686,0.972504248486351,0.972504248486351,"genotype_num"
"52","Abi2","MFOL",0.425367066559532,6.745045339308,1.11098064380564,0.3026277112545,0.972504248486351,0.972504248486351,"genotype_num"
"53","Ino80d","MFOL",0.681749338184491,6.07542374537985,1.3872514610337,0.250729441439879,0.972504248486351,0.972504248486351,"genotype_num"
"54","Ndufs1","MFOL",-0.569302091757068,6.42984066550781,1.68422586963025,0.207017175581141,0.972504248486351,0.972504248486351,"genotype_num"
"55","Eef1b2","MFOL",-0.701100056491448,6.35231876814611,2.83041497369806,0.105796527288949,0.972504248486351,0.972504248486351,"genotype_num"
"60","Acadl","MFOL",0.763185453423439,6.4782132208806,2.66090263025845,0.116240904443358,0.972504248486351,0.972504248486351,"genotype_num"
"65","Pnkd","MFOL",-0.560742187290621,7.29845630898739,3.22699881699805,0.0853395049244591,0.972504248486351,0.972504248486351,"genotype_num"
"72","Stk16","MFOL",0.426698179219124,6.42869318867744,0.796273423016823,0.381300796249804,0.972504248486351,0.972504248486351,"genotype_num"
"73","Dnajb2","MFOL",0.213835111810054,9.16614875436193,0.933909501379979,0.343715117137978,0.972504248486351,0.972504248486351,"genotype_num"
"77","Wdfy1","MFOL",0.580903536304595,6.31229285777199,1.14132459808417,0.296281710830673,0.972504248486351,0.972504248486351,"genotype_num"
"78","Cul3","MFOL",-0.335345027136644,7.16316933249801,1.02313507427848,0.32210909481801,0.972504248486351,0.972504248486351,"genotype_num"
"84","Cab39","MFOL",0.370365953085301,7.5074250634558,1.04864876012779,0.316274409174754,0.972504248486351,0.972504248486351,"genotype_num"
"88","Ptma","MFOL",0.279351031915066,7.88748898637229,0.89353031664417,0.354166591118604,0.972504248486351,0.972504248486351,"genotype_num"
"89","Pde6d","MFOL",-0.319968678687814,8.44282967760416,1.31072604219358,0.263819954622103,0.972504248486351,0.972504248486351,"genotype_num"
"90","Eif4e2","MFOL",0.5141508097447,6.49320478749342,1.38206075332804,0.251579283693574,0.972504248486351,0.972504248486351,"genotype_num"
"91","Efhd1","MFOL",-0.405485211285462,7.95166335625736,0.918829599210732,0.347566941294234,0.972504248486351,0.972504248486351,"genotype_num"
"92","Dgkd","MFOL",0.714983490984116,6.16292090578573,1.6467447559629,0.211982632053809,0.972504248486351,0.972504248486351,"genotype_num"
"95","Ube2f","MFOL",-0.651004787106108,6.31024204991374,1.79040883228306,0.19373957320968,0.972504248486351,0.972504248486351,"genotype_num"
"98","Gpc1","MFOL",0.505389481050363,8.55692444527479,3.34796677968551,0.0800371777738727,0.972504248486351,0.972504248486351,"genotype_num"
"101","Kif1a","MFOL",0.236132225930839,9.62809036168661,1.11342475620424,0.302094124492572,0.972504248486351,0.972504248486351,"genotype_num"
"104","Hdlbp","MFOL",0.340206011558865,7.60548604305717,1.20786587758332,0.282918645631987,0.972504248486351,0.972504248486351,"genotype_num"
"105","Sept2","MFOL",-0.36457354729953,8.2266089824368,2.00992808309601,0.169431277147627,0.972504248486351,0.972504248486351,"genotype_num"
"108","Atg4b","MFOL",0.780787357044955,6.51497750916667,3.09335025850781,0.0916935975611761,0.972504248486351,0.972504248486351,"genotype_num"
"112","Phlpp1","MFOL",-0.216336870377635,9.9513946007989,1.29812780341909,0.266065565052209,0.972504248486351,0.972504248486351,"genotype_num"
"114","Cdh19","MFOL",0.494857263267907,7.22938044733663,1.58047573019738,0.221083314385736,0.972504248486351,0.972504248486351,"genotype_num"
"116","Dbi","MFOL",0.578646366601616,7.55156860061544,3.0239381483757,0.0951660999851213,0.972504248486351,0.972504248486351,"genotype_num"
"118","Nckap5","MFOL",0.74850289959733,6.00313872917204,1.16870688078424,0.290685719093516,0.972504248486351,0.972504248486351,"genotype_num"
