"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1026","B2m","Microglia",0.567008898933803,9.96590273208594,80.1053783607179,3.06095498572911e-06,0.0127668018755347,0.0127668018755347,"genotype_num"
"3804","Ldha","Microglia",0.529093447399657,6.4866676401402,67.9515018776647,6.58082570903852e-06,0.0127668018755347,0.0127668018755347,"genotype_num"
"3888","Abhd17c","Microglia",-0.511318315066401,7.12325028790797,73.510285733946,4.57305621172191e-06,0.0127668018755347,0.0127668018755347,"genotype_num"
"5478","Bsg","Microglia",0.491715002809627,7.1946010842435,83.331081037147,2.54216481652186e-06,0.0127668018755347,0.0127668018755347,"genotype_num"
"6327","Cnp","Microglia",-0.76771706367374,5.4650113882151,68.0300283515435,6.54597498753721e-06,0.0127668018755347,0.0127668018755347,"genotype_num"
"3851","Abhd2","Microglia",-0.531186957208931,5.4146985232325,59.8319189123581,1.17723357751385e-05,0.0172105616195741,0.0172105616195741,"genotype_num"
"4229","Abhd13","Microglia",-0.745129245096208,5.0643748626645,59.1286198193997,1.24199929213422e-05,0.0172105616195741,0.0172105616195741,"genotype_num"
"6196","Ccl9","Microglia",-0.473481549096839,7.49151441556305,55.8793147561678,1.6023097386414e-05,0.0194280055810269,0.0194280055810269,"genotype_num"
"2437","Abcf2","Microglia",-0.57908297919808,5.31749197554322,48.810629859204,2.92256175203902e-05,0.0239017182971093,0.0239017182971093,"genotype_num"
"5238","Csrnp1","Microglia",-0.392356979906988,7.38320048206478,51.1999105212832,2.36672863508644e-05,0.0239017182971093,0.0239017182971093,"genotype_num"
"7788","Csnk1e","Microglia",-0.436117792165971,8.79852180277888,49.2519190944014,2.80905752972129e-05,0.0239017182971093,0.0239017182971093,"genotype_num"
"8080","Abcc5","Microglia",-0.454463853023207,7.21335268862833,48.6809986798636,2.95691360376609e-05,0.0239017182971093,0.0239017182971093,"genotype_num"
"7627","Otulin","Microglia",-0.410396077617573,6.49675513539267,46.8596466069202,3.49464433595053e-05,0.0260754231220924,0.0260754231220924,"genotype_num"
"8842","Reep5","Microglia",0.366036819344795,8.01161859286753,45.7506566177483,3.87923504094935e-05,0.0268775570694348,0.0268775570694348,"genotype_num"
"7506","Slc25a37","Microglia",0.354047635078685,6.69272863455253,41.5457724755918,5.88004948991009e-05,0.0380243200347519,0.0380243200347519,"genotype_num"
