"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","Tcea1","NFOL",0.413745590280214,7.8000541899004,0.810527974252002,0.391727488722796,0.994697363153367,0.994697363153367,"genotype_num"
"2","Atp6v1h","NFOL",-0.155644451836257,8.64991591976623,0.167458741252804,0.692061407868554,0.994697363153367,0.994697363153367,"genotype_num"
"3","St18","NFOL",-0.0816217463583843,7.50890359009109,0.0311695933459486,0.863826610495228,0.994697363153367,0.994697363153367,"genotype_num"
"4","Cops5","NFOL",-0.411777725866579,7.97766452389467,1.29164029469105,0.28547450583774,0.994697363153367,0.994697363153367,"genotype_num"
"5","Arfgef1","NFOL",-0.324813641126207,7.62352629011402,0.507868232543748,0.494372886483835,0.994697363153367,0.994697363153367,"genotype_num"
"7","Paqr8","NFOL",-0.215203673670508,8.78368046023095,0.101379146783966,0.757532429078645,0.994697363153367,0.994697363153367,"genotype_num"
"8","Smap1","NFOL",0.254347501891836,7.58510155431178,0.207057046833644,0.660010142103251,0.994697363153367,0.994697363153367,"genotype_num"
"9","Lmbrd1","NFOL",-0.397732802014702,8.76176435487422,1.32780059786369,0.279233601937692,0.994697363153367,0.994697363153367,"genotype_num"
"10","Zfp451","NFOL",0.322128269278449,7.2629848178062,0.309475510968371,0.591748969877473,0.994697363153367,0.994697363153367,"genotype_num"
"11","Dst","NFOL",-0.485293012955879,9.12895724288479,1.97559246495536,0.193807283750646,0.994697363153367,0.994697363153367,"genotype_num"
"12","Fam168b","NFOL",0.675131024502138,7.42713280715818,1.69253308809893,0.225993227914615,0.994697363153367,0.994697363153367,"genotype_num"
"13","Sema4c","NFOL",0.507614183744585,7.67198475355884,0.835224050505694,0.384931194188046,0.994697363153367,0.994697363153367,"genotype_num"
"14","Cox5b","NFOL",0.721934293219378,7.88140206976832,2.61404629765031,0.140838991833434,0.994697363153367,0.994697363153367,"genotype_num"
"15","Actr1b","NFOL",-0.345807150484835,7.80507581220726,0.296528880505271,0.599478483201944,0.994697363153367,0.994697363153367,"genotype_num"
"16","Inpp4a","NFOL",-0.0577732604830529,9.30795242167217,0.0260462086496322,0.875393342546835,0.994697363153367,0.994697363153367,"genotype_num"
"17","Unc50","NFOL",-1.11895370318318,7.41322811398952,4.87339566344188,0.0550796430674247,0.994697363153367,0.994697363153367,"genotype_num"
"18","Map4k4","NFOL",0.33246297042908,10.362274774476,0.981675219550639,0.347965208254976,0.994697363153367,0.994697363153367,"genotype_num"
"19","Pou3f3","NFOL",-1.07958321104897,7.09028637344016,3.64665423208945,0.0889527475665488,0.994697363153367,0.994697363153367,"genotype_num"
"20","Tmeff2","NFOL",-0.199759140828104,11.6286533905112,0.345948165327859,0.571041685998964,0.994697363153367,0.994697363153367,"genotype_num"
"21","Ankrd44","NFOL",0.781641122454597,7.76433584864951,3.2566169308333,0.105094447578673,0.994697363153367,0.994697363153367,"genotype_num"
"22","Sf3b1","NFOL",-0.131057678276692,8.49970455500246,0.138336310531068,0.718649995278058,0.994697363153367,0.994697363153367,"genotype_num"
"23","Plcl1","NFOL",-0.173790248890193,8.05382992424075,0.222924423605677,0.648199087901035,0.994697363153367,0.994697363153367,"genotype_num"
"24","Bzw1","NFOL",0.0457140834650343,9.01625549664444,0.0151490076282143,0.904778986985049,0.994697363153367,0.994697363153367,"genotype_num"
"25","Clk1","NFOL",-0.220217496099538,8.57793884925263,0.384791938847514,0.550620293450146,0.994697363153367,0.994697363153367,"genotype_num"
"26","Bmpr2","NFOL",-0.141755823678903,7.72012327124296,0.128447923813425,0.728418178717477,0.994697363153367,0.994697363153367,"genotype_num"
"27","Fam117b","NFOL",-1.13418885958057,7.20313596386959,3.12455492940824,0.111347575397123,0.994697363153367,0.994697363153367,"genotype_num"
"28","Ino80d","NFOL",1.41458892884129,6.90135945294942,1.83943285198211,0.208172506072829,0.994697363153367,0.994697363153367,"genotype_num"
"29","Ndufs1","NFOL",-0.269895223796749,7.4111178180455,0.2877741748165,0.604826256933768,0.994697363153367,0.994697363153367,"genotype_num"
"30","Klf7","NFOL",-0.421274548829602,7.33717497917641,0.583510236543813,0.464725306132459,0.994697363153367,0.994697363153367,"genotype_num"
"31","Ccnyl1","NFOL",1.4410156956696,8.33568575948626,5.58638438709179,0.0426966513768182,0.994697363153367,0.994697363153367,"genotype_num"
"32","Idh1","NFOL",0.696545143735232,9.93007473892559,3.48637677197888,0.0951061587306812,0.994697363153367,0.994697363153367,"genotype_num"
"33","Map2","NFOL",0.0696114629768007,7.74974444688546,0.0256576518489358,0.87632523449266,0.994697363153367,0.994697363153367,"genotype_num"
"34","Erbb4","NFOL",0.0517651747856907,7.5007746211389,0.0125060804196016,0.913447788923243,0.994697363153367,0.994697363153367,"genotype_num"
"35","Aamp","NFOL",0.246919174451562,8.21958867279103,0.221345461484542,0.649348772068838,0.994697363153367,0.994697363153367,"genotype_num"
"36","Pnkd","NFOL",1.02240250959959,7.34165074161093,1.55576273187543,0.244223043621324,0.994697363153367,0.994697363153367,"genotype_num"
"37","Tmbim1","NFOL",-0.386260601020386,9.66124248770214,0.951696010126484,0.355067378481801,0.994697363153367,0.994697363153367,"genotype_num"
"38","Cyp27a1","NFOL",-0.817747301938266,7.39945137969353,2.34806745931581,0.160282916408361,0.994697363153367,0.994697363153367,"genotype_num"
"39","Atg9a","NFOL",0.177884502849422,7.86385439396355,0.136154584891913,0.720781755057021,0.994697363153367,0.994697363153367,"genotype_num"
"40","Stk16","NFOL",0.324092665508504,7.41068458666672,0.216416695190279,0.652994522830388,0.994697363153367,0.994697363153367,"genotype_num"
"41","Dnajb2","NFOL",0.0982543079574105,9.03393145334278,0.0557953762505531,0.818619755915075,0.994697363153367,0.994697363153367,"genotype_num"
"42","Acsl3","NFOL",0.0443106071485298,10.6127108909289,0.00901874901978863,0.926445424991164,0.994697363153367,0.994697363153367,"genotype_num"
"43","Utp14b","NFOL",-0.0861219228602186,8.33733849290045,0.0522110852690895,0.824430409064434,0.994697363153367,0.994697363153367,"genotype_num"
"44","Wdfy1","NFOL",1.02383449143306,7.54389092694737,3.56554993847916,0.0920531786019034,0.994697363153367,0.994697363153367,"genotype_num"
"45","Serpine2","NFOL",-0.408174405927511,7.68313321649042,0.70009425093185,0.424370357361014,0.994697363153367,0.994697363153367,"genotype_num"
"46","Cul3","NFOL",0.152542265399553,7.81321598658419,0.091883922101853,0.76877652183191,0.994697363153367,0.994697363153367,"genotype_num"
