"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1326","Mgp","SMC",-1.52673917921484,10.270020168466,44.2865183561366,2.67589114601906e-06,0.00500257849748263,0.00500257849748263,"genotype_num"
"3294","Hspa1a","SMC",-1.67548666824998,9.37529071326452,46.3484506569603,1.97455087330594e-06,0.00500257849748263,0.00500257849748263,"genotype_num"
"1230","Actg2","SMC",-3.00460432198254,6.8181456250206,40.5809949737873,4.74695811887452e-06,0.00591629213549061,0.00591629213549061,"genotype_num"
"2791","Homer1","SMC",-2.09516332056855,7.16631985998246,30.577779399952,2.7545974722365e-05,0.0257485998717307,0.0257485998717307,"genotype_num"
"1087","Vps37b","SMC",-1.03649249714741,8.89722438473217,19.703415426102,0.000300493749102627,0.188926315303391,0.188926315303391,"genotype_num"
"3293","Hspa1b","SMC",-1.69908448658703,8.79006112589797,19.6683250731633,0.000303171407280114,0.188926315303391,0.188926315303391,"genotype_num"
"1151","Rasl11a","SMC",1.21634652656664,10.2987763541491,17.3298315190315,0.000558180827802418,0.298148302164749,0.298148302164749,"genotype_num"
"45","Fzd7","SMC",-1.30526179645288,7.41378012576341,16.0929286464165,0.000785049883673575,0.326144612783944,0.326144612783944,"genotype_num"
"2997","Ptp4a3","SMC",0.955024211529103,10.5337806485248,16.134442671457,0.000775654831421945,0.326144612783944,0.326144612783944,"genotype_num"
"3730","mt-Co2","SMC",0.66491385147554,11.4422409351761,14.6205917590965,0.00119845656014054,0.44810290783655,0.44810290783655,"genotype_num"
"1381","Apoe","SMC",-2.45707402095139,5.96990696079577,14.0777424030946,0.00134846635480058,0.455768172633802,0.455768172633802,"genotype_num"
"2091","Reep3","SMC",1.41552260903853,7.67576869694081,13.9522971792593,0.00146274888248345,0.455768172633802,0.455768172633802,"genotype_num"
"3421","Apc","SMC",-1.34924380426862,7.11197176391006,12.822738683734,0.00207118676106933,0.595705176895247,0.595705176895247,"genotype_num"
"2446","Fbxl20","SMC",2.18979524030005,6.77973611229957,12.5846781564223,0.00223380811026468,0.596586323162831,0.596586323162831,"genotype_num"
"1945","Zic4","SMC",-1.40938364076593,7.03769424737728,12.0098944972483,0.0026830283910787,0.619915642079967,0.619915642079967,"genotype_num"
"2438","Snf8","SMC",2.08598485627504,6.71477896695352,11.6831030021093,0.00298434917289099,0.619915642079967,0.619915642079967,"genotype_num"
"2530","C1qtnf1","SMC",2.4010258543247,6.69424034259769,11.6989076519457,0.00296692677838304,0.619915642079967,0.619915642079967,"genotype_num"
"3497","Cyb5a","SMC",1.55674934610008,7.23381113776755,11.7908793809269,0.00287964530761883,0.619915642079967,0.619915642079967,"genotype_num"
"1220","Mat2a","SMC",-0.877559982081317,8.41058678011868,11.2695787277001,0.00341807128678802,0.672640449542126,0.672640449542126,"genotype_num"
