"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1346","Hspa1b","T cells",2.33096799810156,10.1392653445676,24.5805359644412,0.000195080750412825,0.298863709632447,0.298863709632447,"genotype_num"
"110","Traf3ip3","T cells",-1.34932752053485,8.86141974832482,10.5727979524859,0.00562398283110911,0.767053783122331,0.767053783122331,"genotype_num"
"256","Rap1a","T cells",1.49483423035097,9.20542575235466,12.6448679845774,0.00305811591561022,0.767053783122331,0.767053783122331,"genotype_num"
"315","Smap2","T cells",1.29049037612172,9.45546153187665,10.8664307504994,0.00514584352621651,0.767053783122331,0.767053783122331,"genotype_num"
"478","Chn2","T cells",-1.71539018739687,8.24433274229824,10.4683893392973,0.00574357556036192,0.767053783122331,0.767053783122331,"genotype_num"
"614","Nup98","T cells",2.28525127156309,8.35244947322395,11.1520745066184,0.00462903220461662,0.767053783122331,0.767053783122331,"genotype_num"
"677","Jund","T cells",1.29455099727751,11.7975417077219,15.1118140323796,0.00156614287154878,0.767053783122331,0.767053783122331,"genotype_num"
"816","Cited2","T cells",-1.24762763473884,9.27741704352232,13.3292467717128,0.00252195995633005,0.767053783122331,0.767053783122331,"genotype_num"
"859","Gadd45b","T cells",1.72730639435931,9.08119858519247,10.3654674357925,0.00600825417589293,0.767053783122331,0.767053783122331,"genotype_num"
"974","Zfp207","T cells",-1.16324337220538,9.2498791523697,10.9706073480956,0.00498910371951993,0.767053783122331,0.767053783122331,"genotype_num"
"1149","Gzmk","T cells",-2.09027994853282,8.86448172349372,12.3098750257963,0.00325372258509908,0.767053783122331,0.767053783122331,"genotype_num"
"1153","Top2b","T cells",1.43378828599277,9.01330623399415,10.52811283931,0.00571787947912802,0.767053783122331,0.767053783122331,"genotype_num"
"49","Pdcd1","T cells",-1.25395161572244,9.06034072073383,9.74889004386758,0.00723249619036971,0.767738741508859,0.767738741508859,"genotype_num"
"113","Gata3","T cells",1.0605963625361,9.26492635993531,6.42061259177972,0.0235014349991071,0.767738741508859,0.767738741508859,"genotype_num"
"162","B2m","T cells",0.614278934474712,11.9129864207629,6.26260338628626,0.0249536292281405,0.767738741508859,0.767738741508859,"genotype_num"
"191","Ctsa","T cells",-1.03065162389164,8.97604956807936,6.37129978521409,0.0238999942627073,0.767738741508859,0.767738741508859,"genotype_num"
"240","S100a6","T cells",1.19888137887454,9.3713926042742,8.2305122561343,0.0121316297554379,0.767738741508859,0.767738741508859,"genotype_num"
"280","Pnisr","T cells",-1.11643360608177,9.17990442514366,8.79616212637156,0.00999827369933873,0.767738741508859,0.767738741508859,"genotype_num"
"335","Rsrp1","T cells",-0.822888476447079,9.90801027965161,6.44623839698447,0.0232637713661674,0.767738741508859,0.767738741508859,"genotype_num"
"362","Tnfrsf18","T cells",1.53968758900099,9.19606859167616,7.84171866802253,0.0139070397756229,0.767738741508859,0.767738741508859,"genotype_num"
"392","Fryl","T cells",-1.39021470626085,9.1153156096404,9.12497643681897,0.00887864425116605,0.767738741508859,0.767738741508859,"genotype_num"
"448","Mdfic","T cells",1.54146040654076,8.46936295649832,6.49575804506269,0.0228082408519089,0.767738741508859,0.767738741508859,"genotype_num"
"483","Cd8b1","T cells",-1.11916459946032,10.2574854926281,10.0869238706121,0.00655197961792432,0.767738741508859,0.767738741508859,"genotype_num"
"563","Tgfb1","T cells",1.37551647561397,8.84875581995813,8.72195796750607,0.0102611111723106,0.767738741508859,0.767738741508859,"genotype_num"
"599","Abhd2","T cells",-1.26236819752886,8.609379856464,7.21046967034567,0.0171141929450939,0.767738741508859,0.767738741508859,"genotype_num"
"603","Zfp592","T cells",-1.15528909948121,8.55578813173209,6.14993128359894,0.0260590173358098,0.767738741508859,0.767738741508859,"genotype_num"
