"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"293","Ttr","VLMC",7.51158755005733,12.5039465506003,57.003298458726,0.000235886090552642,0.0780782959729246,0.0780782959729246,"genotype_num"
"10","Fmod","VLMC",-1.92963528965682,11.1718107614573,15.1999395560971,0.00347297672149819,0.383185098271967,0.383185098271967,"genotype_num"
"111","Fosb","VLMC",-1.83539804303449,12.594079193594,17.0063663344729,0.00245430670949899,0.383185098271967,0.383185098271967,"genotype_num"
"115","Zfp36","VLMC",-1.96261937004183,11.4595451247278,12.3260631775152,0.00638234500002928,0.528139048752423,0.528139048752423,"genotype_num"
"63","Jun","VLMC",-1.32848267980993,12.8823805181698,10.2254195595378,0.0105451707676627,0.60996630607025,0.60996630607025,"genotype_num"
"139","Klf2","VLMC",-1.66089604086854,11.9173328199678,10.0432979702062,0.0110567910465906,0.60996630607025,0.60996630607025,"genotype_num"
"229","Fos","VLMC",-1.90782171648629,13.6727631929866,9.27909675592465,0.0135037695573747,0.638535389070148,0.638535389070148,"genotype_num"
"30","Calcrl","VLMC",-1.2925712021066,10.2017297937624,6.8950131483678,0.0271539576783613,0.664044184262348,0.664044184262348,"genotype_num"
"42","Slc13a3","VLMC",-1.30238174845936,10.1376467496024,6.78594045153813,0.0280864609657791,0.664044184262348,0.664044184262348,"genotype_num"
"64","Plpp3","VLMC",-1.69062646800948,10.2751676614607,7.40394069459044,0.0231520611009648,0.664044184262348,0.664044184262348,"genotype_num"
"126","Nupr1","VLMC",-1.06213289034269,11.8526747733826,7.24289616522854,0.0242506584606768,0.664044184262348,0.664044184262348,"genotype_num"
"224","Rhob","VLMC",-1.19545762665573,11.97200025342,7.41646729840408,0.0229949574497473,0.664044184262348,0.664044184262348,"genotype_num"
"294","Egr1","VLMC",-1.32915598113155,13.1147856128754,8.28919323008684,0.0177717523055997,0.664044184262348,0.664044184262348,"genotype_num"
"305","Aldh1a1","VLMC",-1.01185567529261,11.7135738913135,6.89850667324871,0.0269984530011252,0.664044184262348,0.664044184262348,"genotype_num"
"21","Vim","VLMC",1.41639872157415,10.1806737175935,5.69872087284509,0.0399693993404476,0.778227716569892,0.778227716569892,"genotype_num"
"23","Ptgds","VLMC",-1.61458874757879,16.5864541575849,5.72051854423475,0.0398167926420081,0.778227716569892,0.778227716569892,"genotype_num"
"141","Junb","VLMC",-1.60068632144414,11.896734595884,5.90719218584618,0.0373584609689183,0.778227716569892,0.778227716569892,"genotype_num"
"1","Col3a1","VLMC",0.963003988599047,11.2276106455861,2.26213388118481,0.166106632554578,0.815653948050268,0.815653948050268,"genotype_num"
"6","Sned1","VLMC",-1.48962827867067,9.89435699905628,4.42466443871194,0.0640918042288531,0.815653948050268,0.815653948050268,"genotype_num"
"7","Pam","VLMC",-0.964633455041032,10.7066113842091,3.34631805388867,0.0999175177285211,0.815653948050268,0.815653948050268,"genotype_num"
"9","Prelp","VLMC",0.783002495796622,12.0560441735108,3.98495890804581,0.0762800942977509,0.815653948050268,0.815653948050268,"genotype_num"
"12","Cfh","VLMC",-0.655020200139198,11.4125094287184,2.24305245967906,0.167674881480042,0.815653948050268,0.815653948050268,"genotype_num"
"13","Lamc1","VLMC",0.64302217570744,11.4919920303808,2.29367552931367,0.163449545058844,0.815653948050268,0.815653948050268,"genotype_num"
"15","Fmo1","VLMC",-0.9864557305939,10.246563752828,3.52824864895631,0.0924575476311011,0.815653948050268,0.815653948050268,"genotype_num"
"56","Cnn3","VLMC",-0.730539339170284,10.2704930038181,2.19166142637634,0.172325038814185,0.815653948050268,0.815653948050268,"genotype_num"
"58","Ccn1","VLMC",1.7867423020036,12.5363778986283,3.07991138548312,0.112399204266615,0.815653948050268,0.815653948050268,"genotype_num"
"62","Lpar1","VLMC",-0.974000574960999,10.3882996728646,4.67031003245689,0.0583972462036935,0.815653948050268,0.815653948050268,"genotype_num"
"80","Spp1","VLMC",0.875080755065668,12.6157820272842,3.00125694209274,0.116445161692223,0.815653948050268,0.815653948050268,"genotype_num"
"88","Col1a2","VLMC",0.535384237779612,13.0167032824211,2.32774112663679,0.160631528010458,0.815653948050268,0.815653948050268,"genotype_num"
"98","Ndnf","VLMC",0.73425452123565,11.3181548975198,2.2983136582348,0.163105615836928,0.815653948050268,0.815653948050268,"genotype_num"
"101","Itpr1","VLMC",1.17471298914771,10.4376176901513,3.11884997065954,0.110469507459071,0.815653948050268,0.815653948050268,"genotype_num"
"105","M6pr","VLMC",1.00065741096405,10.2032673418664,2.7608028323033,0.130181189377844,0.815653948050268,0.815653948050268,"genotype_num"
"107","Tnfrsf1a","VLMC",1.27928123602095,10.1633302792709,3.56598790066578,0.0907309826754036,0.815653948050268,0.815653948050268,"genotype_num"
"112","Apoe","VLMC",1.22921874270729,13.552049198782,4.36468594812532,0.0655442179693902,0.815653948050268,0.815653948050268,"genotype_num"
"117","Rcn3","VLMC",0.796658855494059,10.9958005191623,2.37609915541709,0.156881391762365,0.815653948050268,0.815653948050268,"genotype_num"
"118","Fcgrt","VLMC",-0.739031923124392,10.8175308658694,2.3056615265178,0.162514228477494,0.815653948050268,0.815653948050268,"genotype_num"
"123","Cemip","VLMC",1.10927513662383,11.8159547694216,4.45802534715734,0.063244715814224,0.815653948050268,0.815653948050268,"genotype_num"
"125","Zkscan2","VLMC",1.33956919078495,10.7911662288637,2.7314946197832,0.131923327615893,0.815653948050268,0.815653948050268,"genotype_num"
"127","Ifitm2","VLMC",0.834984173180714,11.1929494047142,3.10218593588394,0.111309144568004,0.815653948050268,0.815653948050268,"genotype_num"
"132","Col4a2","VLMC",0.741363714652278,11.1463499024222,2.63279268325585,0.138392038333774,0.815653948050268,0.815653948050268,"genotype_num"
"138","Jund","VLMC",-0.67055390399239,12.1027406566749,2.29736299221117,0.163108584382702,0.815653948050268,0.815653948050268,"genotype_num"
"140","Ier2","VLMC",-1.29520637343839,11.2262541640998,3.80751455144804,0.0820756953406395,0.815653948050268,0.815653948050268,"genotype_num"
"158","Ctsh","VLMC",1.13126208365345,10.408385620779,2.7333614131472,0.131879770894269,0.815653948050268,0.815653948050268,"genotype_num"
"160","Zic1","VLMC",0.826664267641202,11.6932096904666,3.37154532864113,0.0987634615657619,0.815653948050268,0.815653948050268,"genotype_num"
"162","Amotl2","VLMC",-1.34081723301608,10.167164302921,3.79226160868406,0.0827378900650541,0.815653948050268,0.815653948050268,"genotype_num"
"166","Lamb2","VLMC",0.778197927417806,10.7707704290147,2.39187720048213,0.155669155114434,0.815653948050268,0.815653948050268,"genotype_num"
"172","Ccn2","VLMC",1.28811516585789,12.5594307827813,3.20499210078994,0.106253725053635,0.815653948050268,0.815653948050268,"genotype_num"
"179","Col13a1","VLMC",0.940256145092712,10.2256612676428,2.47128013006473,0.149594317682558,0.815653948050268,0.815653948050268,"genotype_num"
"181","Col6a1","VLMC",-1.18577510491308,10.0315384100412,3.94315813198436,0.0777722925958026,0.815653948050268,0.815653948050268,"genotype_num"
